ward,30-45w,pop
E05000026,0.15245795601552392,15460
E05000027,0.12760345611641655,10995
E05000028,0.1402906742026645,14862
E05000029,0.11833111407012872,11265
E05000030,0.09962520700775734,11473
E05000031,0.12781487808665942,12878
E05000032,0.14235514602530064,12806
E05000033,0.13179504023649202,12178
E05000034,0.12381891381151919,12171
E05000035,0.11842928660826033,12784
E05000036,0.12424794895168642,10970
E05000037,0.12580498866213152,11025
E05000038,0.11909650924024641,12175
E05000039,0.13899197085216922,14821
E05000040,0.13227127901684116,10985
E05000041,0.12284316250321917,11649
E05000042,0.137137710823645,12214
E05000043,0.11428908415403669,16957
E05000044,0.13044812768569675,19548
E05000045,0.13138317413666423,21776
E05000046,0.13791378304010674,23986
E05000047,0.13370888026784292,18817
E05000048,0.12238006520726595,17176
E05000049,0.13428555039293294,17433
E05000050,0.1128174189656118,18233
E05000051,0.12311053377420879,16936
E05000052,0.11779800818720597,16367
E05000053,0.11408911558079107,20782
E05000054,0.11835813678611723,18613
E05000055,0.11960814484279633,19497
E05000056,0.11141552511415526,16425
E05000057,0.12166157238061832,19957
E05000058,0.12305684110596891,16854
E05000059,0.11651411136536995,15732
E05000060,0.1137593482093999,16447
E05000061,0.1504164353137146,18010
E05000062,0.12947412616773382,19054
E05000063,0.12956308910066136,19203
E05000064,0.10700531817348248,10906
E05000065,0.11961509992598075,13510
E05000066,0.1027872951199185,10799
E05000067,0.09562792371356603,11116
E05000068,0.09294812626915266,10834
E05000069,0.11169254525178005,11657
E05000070,0.11903904984703977,11114
E05000071,0.11853088480801335,13178
E05000072,0.11233555441653853,11706
E05000073,0.11210685049547608,11605
E05000074,0.10895417978314095,11436
E05000075,0.12334970832054037,13028
E05000076,0.10975393875022128,11298
E05000077,0.1105204492840607,11663
E05000078,0.10453778361147571,10666
E05000079,0.13038874602934503,13222
E05000080,0.10455981941309254,11075
E05000081,0.10701945808328787,10998
E05000082,0.11536775664065925,11407
E05000083,0.09972761620244266,11381
E05000084,0.12687615526802218,13525
E05000085,0.13111703777212677,16123
E05000086,0.1182508351047677,16465
E05000087,0.13413992635455024,13307
E05000088,0.10789144664264176,13597
E05000089,0.12034132262517254,15938
E05000090,0.11447290930506478,13584
E05000091,0.12377797088855094,18412
E05000092,0.13468383923370655,15451
E05000093,0.10173323285606632,11943
E05000094,0.14788814788814789,17094
E05000095,0.13104618741665655,16498
E05000096,0.1046803484423446,13546
E05000097,0.112859434777243,16206
E05000098,0.14826393508048424,15034
E05000099,0.121253832196709,15983
E05000100,0.10957792207792208,18480
E05000101,0.131412141410181,15303
E05000102,0.11601505936866494,17265
E05000103,0.11404442551983536,14091
E05000104,0.11978168727863903,17223
E05000105,0.13480266529984622,17559
E05000106,0.10674411100354954,15495
E05000107,0.0960291734197731,9872
E05000108,0.1178598967910315,16859
E05000109,0.14365700658406347,19289
E05000110,0.11148376710491012,14908
E05000111,0.11062445250907271,15982
E05000112,0.1575425790754258,16440
E05000113,0.1541501976284585,17457
E05000114,0.11724506774423579,16828
E05000115,0.11860963773840424,17722
E05000116,0.17931729799798357,13886
E05000117,0.08254805880135696,5306
E05000118,0.09820478723404255,15040
E05000119,0.09730061349693252,16300
E05000120,0.10559980690321023,16572
E05000121,0.13481722765110388,11052
E05000122,0.10177705977382875,16094
E05000123,0.15151192504258945,18784
E05000124,0.10346816641430528,13869
E05000125,0.13159369745282432,16057
E05000126,0.10453328232593725,10456
E05000127,0.08946637571910335,15123
E05000128,0.15874403281113428,14873
E05000129,0.08984145625366999,11921
E05000130,0.12622903412377096,13832
E05000131,0.11255160425870935,13807
E05000132,0.1429214494710781,13329
E05000133,0.13347753279374824,14332
E05000134,0.1286468032278088,12888
E05000135,0.12992036405005689,13185
E05000136,0.13424353732067365,14429
E05000137,0.11073142950126108,12291
E05000138,0.1099218596099547,15229
E05000139,0.15253456221198156,15190
E05000140,0.13372636422460277,13909
E05000141,0.11496294008647313,12952
E05000142,0.10622959738846573,14704
E05000143,0.11457535215418164,16967
E05000144,0.15323052898692172,15369
E05000145,0.16405256464603646,14154
E05000146,0.13922538815901722,17583
E05000147,0.1042369450816354,14822
E05000148,0.12212453330121643,16606
E05000149,0.1396713615023474,21300
E05000150,0.1010124980224648,12642
E05000151,0.10424876406104464,13957
E05000152,0.14305463725431267,16637
E05000153,0.15583054737787536,20041
E05000154,0.11817565276364869,11796
E05000155,0.10270391395279355,13388
E05000156,0.11839161286198299,15643
E05000157,0.11443755535872453,11290
E05000158,0.1204954954954955,17760
E05000159,0.11962066710268149,15290
E05000160,0.10235312211627191,13004
E05000161,0.13694480102695764,19475
E05000162,0.08621570966093031,11738
E05000163,0.09683413626978665,14530
E05000164,0.14362617237360564,18019
E05000165,0.1211174735380878,17289
E05000166,0.13227016885553472,17056
E05000167,0.13065942260573132,18774
E05000168,0.12338362068965517,18560
E05000169,0.13993309519759597,17637
E05000170,0.13753294014305434,15938
E05000171,0.11449041230596334,14237
E05000172,0.11435089470307265,14027
E05000173,0.14030700840452873,14397
E05000174,0.1371571072319202,13634
E05000175,0.12947213379579037,21047
E05000176,0.1422180043383948,14752
E05000177,0.12866640594446618,17899
E05000178,0.11709126539753639,14288
E05000179,0.1290950169448977,15934
E05000180,0.12342440801457195,13725
E05000181,0.1163232722572797,13153
E05000182,0.14019189765458423,13132
E05000183,0.1182113035677317,14491
E05000184,0.1297474581830108,15245
E05000185,0.123322310834468,15423
E05000186,0.11810275524373309,13683
E05000187,0.1213542987572914,15772
E05000188,0.1366120218579235,14823
E05000189,0.11945248006773443,14173
E05000190,0.12373598087883803,16317
E05000191,0.14416058394160583,13700
E05000192,0.13332303414181987,12946
E05000193,0.13672680412371135,15520
E05000194,0.10944827586206897,14500
E05000195,0.12510650383413802,14084
E05000196,0.10616777479134248,14138
E05000197,0.12715483970565533,19433
E05000198,0.12123883403855196,17016
E05000199,0.13237896091362394,18651
E05000200,0.11245311327831958,13330
E05000201,0.11768059752551457,17539
E05000202,0.10883002207505518,13590
E05000203,0.11591922370836612,15252
E05000204,0.1277579674615556,17948
E05000205,0.12627534954024436,15878
E05000206,0.1241449201925513,15788
E05000207,0.13579771531254012,15582
E05000208,0.13637226970560304,15795
E05000209,0.11206098169124457,14037
E05000210,0.1247144814984011,15323
E05000211,0.12343789849528182,15684
E05000212,0.12253862465919418,19806
E05000213,0.11932517558467888,13811
E05000214,0.12538334512856805,16956
E05000215,0.13964880548647224,13269
E05000216,0.14217055270507242,15397
E05000217,0.10715585644609449,13737
E05000218,0.11024219877002506,13171
E05000219,0.11264080100125157,12784
E05000220,0.1311167388285271,12241
E05000221,0.13606590932350834,19542
E05000222,0.15351382488479262,20832
E05000223,0.13030488218917635,14727
E05000224,0.12223676055368088,14521
E05000225,0.1611563893587575,19509
E05000226,0.1204442708042641,17917
E05000227,0.12276690010004288,13994
E05000228,0.1321690475181213,23591
E05000229,0.13954646017699116,18080
E05000230,0.153713298791019,22581
E05000250,0.15356732384404562,11311
E05000251,0.14801617213732612,14593
E05000252,0.13807601749075007,11892
E05000253,0.1340035236812105,9649
E05000254,0.14149070564879987,11082
E05000255,0.1316990247830366,11177
E05000256,0.13137052341597796,11616
E05000257,0.15494658615884813,10765
E05000258,0.14649069137313173,11441
E05000259,0.11834715164482482,7478
E05000260,0.13006512301013023,11056
E05000261,0.12815347721822543,10425
E05000262,0.1500634070734113,14194
E05000263,0.13662620343239848,11945
E05000264,0.14946423665170802,10919
E05000265,0.13459680416202155,13455
E05000266,0.13058331198223588,11709
E05000267,0.14687416510820198,14972
E05000268,0.12770046388336648,15090
E05000269,0.1565076798706548,12370
E05000270,0.12994040150564617,12752
E05000271,0.15675485008818343,14175
E05000272,0.1536762675991534,10867
E05000273,0.15391901491830454,12669
E05000274,0.13106567417318382,10613
E05000275,0.1389090429391201,15161
E05000276,0.1236598440545809,16416
E05000277,0.13912609860998568,16043
E05000278,0.12388778690847266,17645
E05000279,0.1627805811727858,11494
E05000280,0.1358240433865622,16595
E05000281,0.12066451411311321,19202
E05000282,0.13601092110935478,13918
E05000283,0.12094920281794587,13485
E05000284,0.14948903290129611,16048
E05000285,0.11007887817703768,11410
E05000286,0.11706670593432485,13582
E05000287,0.11619352259096362,12505
E05000288,0.15592924219261847,13737
E05000289,0.1200434546442151,12887
E05000290,0.10024385995471172,11482
E05000291,0.09627739984882842,10584
E05000292,0.10358842188739097,10088
E05000293,0.1287820015515904,11601
E05000294,0.11359061871007263,11427
E05000295,0.10326820923741785,11107
E05000296,0.13188916105327617,13064
E05000297,0.10919702532241363,10623
E05000298,0.11298371151492327,10621
E05000299,0.11771757372332774,12513
E05000300,0.11315315315315315,11100
E05000301,0.1311193816203836,13972
E05000302,0.11244532121108157,11659
E05000303,0.10575401781996836,12009
E05000304,0.11705657872905259,12054
E05000305,0.11764163979732842,10855
E05000306,0.13472699611201894,17747
E05000307,0.09557741460769886,12911
E05000308,0.11178783439981498,12971
E05000309,0.08500414250207125,12070
E05000310,0.13150554863212865,16851
E05000311,0.09620476610767872,12463
E05000312,0.11765112740351362,14458
E05000313,0.10829041851019076,13787
E05000314,0.12371063597240249,14639
E05000315,0.09261068931819891,13303
E05000316,0.11655355562112718,13556
E05000317,0.08870242732993706,13348
E05000318,0.10322240626411686,13282
E05000319,0.13392615084313833,18443
E05000320,0.09686486486486487,13875
E05000321,0.10932974065341866,14845
E05000322,0.11752002786485545,14355
E05000323,0.0876284735439665,13135
E05000324,0.1268939393939394,14784
E05000325,0.12853568320278502,18384
E05000326,0.09358047016274865,15484
E05000327,0.11779618049687342,11834
E05000328,0.11295854458693708,13412
E05000329,0.10039909226074027,12779
E05000330,0.10285714285714286,7525
E05000331,0.13794994857730544,14585
E05000332,0.12324072048421206,13713
E05000333,0.09875723365904564,10541
E05000334,0.1201979533635296,11922
E05000335,0.11523595505617977,11125
E05000336,0.11715966525809926,12069
E05000337,0.12906818463061503,16162
E05000338,0.1354912414318355,13130
E05000339,0.13120956914439155,16386
E05000340,0.1177102736781774,13958
E05000341,0.09429672203625339,15833
E05000342,0.13789980186810077,17665
E05000343,0.1204839955376298,11653
E05000344,0.13897520661157026,15125
E05000345,0.13479052823315119,14274
E05000346,0.12246382081303178,13751
E05000347,0.13567646871212605,15677
E05000348,0.12912112325602063,11253
E05000349,0.12063852058618284,11464
E05000350,0.1283418499592683,13503
E05000351,0.11702391790118348,12083
E05000352,0.1372596738865904,16436
E05000353,0.12693333333333334,13125
E05000354,0.12702790395846852,12328
E05000355,0.1241203309875493,12931
E05000356,0.1193366658732048,12603
E05000357,0.11437758383096004,13062
E05000358,0.13962518993753165,17769
E05000359,0.1377125492985065,15467
E05000360,0.12095430225418823,11401
E05000361,0.12467263955892488,14510
E05000362,0.14598362648942206,12337
E05000363,0.13209364350274114,13498
E05000364,0.14772083805209513,14128
E05000365,0.13979955834890437,11774
E05000366,0.12974141143155227,13419
E05000367,0.11222174194942727,18508
E05000368,0.11327323593410009,16085
E05000369,0.1427579288525349,12959
E05000370,0.11965878247382707,12895
E05000371,0.123826631127593,17258
E05000372,0.1447043874729053,13379
E05000373,0.15390459651598198,18427
E05000374,0.1290802348336595,12775
E05000375,0.12530213139969237,18204
E05000376,0.12951267056530213,12825
E05000377,0.14962002370494318,14343
E05000378,0.13154822137464,12847
E05000379,0.14176564036613964,13219
E05000380,0.1365402947862433,13637
E05000381,0.1360056258790436,14220
E05000400,0.11368528959507945,9755
E05000401,0.1317963888605529,9803
E05000402,0.13405141202027515,11048
E05000403,0.1533835580227333,15132
E05000404,0.11473788328387735,9099
E05000405,0.12301549576955985,10519
E05000406,0.1027031536792925,11986
E05000407,0.12074664592650204,10286
E05000408,0.1340273792933847,12199
E05000409,0.12928306663050357,11061
E05000410,0.1172744917764838,9789
E05000411,0.10916470839564196,9362
E05000412,0.12868039664378336,13110
E05000413,0.15865427978713809,11087
E05000414,0.12950536809815952,10432
E05000415,0.12161754350668946,9941
E05000416,0.10377127962857376,12277
E05000417,0.1478115283425018,16724
E05000418,0.14815089305565848,13493
E05000419,0.135125865971603,14579
E05000420,0.12967945718296678,17096
E05000421,0.13558515699333967,14714
E05000422,0.16549149730402324,14466
E05000423,0.15206426303007659,16059
E05000424,0.146376629889669,15952
E05000425,0.12906509812793393,17681
E05000426,0.1373232857943576,16057
E05000427,0.1230295566502463,16240
E05000428,0.16758434864104968,17072
E05000429,0.12895763103972502,15129
E05000430,0.16024613806807256,15601
E05000431,0.13389697208022022,15258
E05000432,0.16434557183336349,16587
E05000433,0.15379915998472699,13095
E05000434,0.1533512443438914,14144
E05000435,0.1491309457536958,16167
E05000436,0.1235230248451172,15657
E05000437,0.13496932515337423,16137
E05000438,0.15389825916141706,14763
E05000439,0.14817411942391714,18539
E05000440,0.12682414048973534,16172
E05000441,0.16651785714285713,15680
E05000442,0.12976661140160695,15682
E05000443,0.14629762760603882,19474
E05000444,0.1532716049382716,16200
E05000445,0.1343901649951472,15455
E05000446,0.13973178000541858,14764
E05000447,0.14836390679226574,16136
E05000448,0.16019439732245197,21811
E05000449,0.14507082971957214,17295
E05000450,0.1565196403789296,16573
E05000451,0.14256794061714007,16301
E05000452,0.14734171239747448,16947
E05000453,0.14228172689623872,17627
E05000454,0.1283093136943686,15751
E05000455,0.1726315789473684,10925
E05000456,0.11743584327806526,9469
E05000457,0.16993341461127262,10663
E05000458,0.13412408759124086,12056
E05000459,0.17245240761478164,9823
E05000460,0.13305120609394838,11815
E05000461,0.1380761523046092,9980
E05000462,0.15861241409403296,9167
E05000463,0.15967771470426662,10922
E05000464,0.13529355241664265,10407
E05000465,0.120342894823607,9099
E05000466,0.12432160804020101,9950
E05000467,0.11610146376943359,10999
E05000468,0.12877442273534637,10134
E05000469,0.1514458908874093,10063
E05000470,0.12996188528400113,10757
E05000471,0.1782612937847595,10249
E05000472,0.10119985456308327,8251
E05000473,0.1343990526939017,10134
E05000474,0.15443739386897845,11189
E05000475,0.13874715682055697,16267
E05000476,0.1183121575941252,17158
E05000477,0.12704754294846185,17521
E05000478,0.12912661930631006,19144
E05000479,0.12803329571106095,14176
E05000480,0.11625627126463295,17341
E05000481,0.11221945137157108,14837
E05000482,0.12110038045068774,17085
E05000483,0.12813303822456182,16717
E05000484,0.12434296977660972,18264
E05000485,0.12323476161738081,16570
E05000486,0.12056644594505998,15253
E05000487,0.12517088642204846,18287
E05000488,0.1230220776784039,15989
E05000489,0.11751937984496125,16125
E05000490,0.12571365832235398,18216
E05000491,0.14768115942028986,13800
E05000492,0.1251840942562592,33271
E05000493,0.12462812055361532,15462
E05000494,0.1143341609640889,16513
E05000495,0.12691771269177127,15774
E05000496,0.1157744575418575,13319
E05000497,0.12331204010673567,12367
E05000498,0.12821966118773223,15879
E05000499,0.13782457251424954,12632
E05000500,0.1056318098202915,14134
E05000501,0.13283459000942507,16976
E05000502,0.11403444485159399,13645
E05000503,0.12190957012398841,13469
E05000504,0.11082454676477281,13183
E05000505,0.1227632126508531,14418
E05000506,0.1253025772461911,14046
E05000507,0.13417579331648413,17805
E05000508,0.11786493815728553,15119
E05000509,0.0983361375958123,10698
E05000510,0.11965244341136753,18069
E05000511,0.1355245384961729,13326
E05000512,0.1297983479105928,16464
E05000513,0.13335987261146498,12560
E05000514,0.13706599937441352,15985
E05000515,0.11949316103046069,11917
E05000516,0.11054421768707483,9996
E05000517,0.1308183183183183,10656
E05000518,0.1384011953679492,10708
E05000519,0.12454923717059639,10815
E05000520,0.11770418568515101,10297
E05000521,0.12203567681007345,9530
E05000522,0.1179638637943016,11512
E05000523,0.11497575531518091,10724
E05000524,0.13657527159855148,11598
E05000525,0.14928868841082582,11528
E05000526,0.152979902979903,11544
E05000527,0.15663664674690683,11881
E05000528,0.1423649987081216,11611
E05000529,0.13106423777564719,10430
E05000530,0.12658463832960476,10728
E05000531,0.14380510862648851,11001
E05000532,0.1332853673891537,11119
E05000533,0.126874625074985,10002
E05000534,0.129742145820984,13496
E05000535,0.13752972093605306,15982
E05000536,0.11413701282982329,16524
E05000537,0.13173145796705085,15357
E05000538,0.1435379644588045,12380
E05000539,0.17154204536775375,13093
E05000540,0.12167730467803184,12377
E05000541,0.13353779840848806,12064
E05000542,0.14449528936742934,18575
E05000543,0.12103803486529319,15144
E05000544,0.12627818159418505,16234
E05000545,0.13146481972943233,15449
E05000546,0.12715620099543193,14667
E05000547,0.1701388888888889,14400
E05000548,0.1532532426110993,18812
E05000549,0.15342003853564548,16608
E05000550,0.13342631334263133,15057
E05000551,0.15273037542662116,14064
E05000552,0.17278381518693187,14631
E05000553,0.14860681114551083,16473
E05000554,0.12020241339042428,12845
E05000555,0.11595538759332658,10849
E05000556,0.11064773735581189,11270
E05000557,0.1177648517211786,10487
E05000558,0.13346408891379472,10707
E05000559,0.12094255701712879,10567
E05000560,0.09993413004610897,10627
E05000561,0.09774575018477458,10824
E05000562,0.13385579937304076,12760
E05000563,0.1144511858797573,10878
E05000564,0.15897230028101164,12455
E05000565,0.12139196115457243,11121
E05000566,0.14993481095176012,10738
E05000567,0.14209719592462358,11091
E05000568,0.1385929463629684,10888
E05000569,0.13824845147969717,11624
E05000570,0.122224244630506,10988
E05000571,0.14372886946483054,12127
E05000572,0.14959975834466094,13242
E05000590,0.13441898978746894,14492
E05000591,0.13720115730165983,13134
E05000592,0.14518450667364563,15284
E05000593,0.1042715911210595,10722
E05000594,0.10243150063509344,11022
E05000595,0.1270631970260223,13450
E05000596,0.15630753602945846,15751
E05000597,0.122040072859745,12627
E05000598,0.11166907821942293,11749
E05000599,0.15335593220338983,14750
E05000600,0.14187237394957983,15232
E05000601,0.15148211243611584,14675
E05000602,0.12101201368446177,12569
E05000603,0.13877952755905512,16256
E05000604,0.1390340257423219,15694
E05000605,0.13945060520402985,13797
E05000606,0.14875491480996067,13734
E05000607,0.1112970044614404,12552
E05000608,0.15850832729905864,13810
E05000609,0.14706089405139036,14205
E05000610,0.16589225166394575,15926
E05000611,0.16558300823580407,13842
E05000612,0.20393581592491675,16515
E05000613,0.1740518452304942,15662
E05000614,0.18786692759295498,15330
E05000615,0.14458116422148604,16904
E05000616,0.16936001026035655,15594
E05000617,0.16063178923710825,16018
E05000618,0.16513140070441615,14764
E05000619,0.16791483567493964,16157
E05000620,0.159543850122183,18415
E05000621,0.1169971506658138,17197
E05000622,0.1556644880174292,18360
E05000623,0.1678380295312399,15509
E05000624,0.1938648856315385,16919
E05000625,0.17096855030697908,15962
E05000626,0.15496753644493447,16326
E05000627,0.14768476718689538,15506
E05000628,0.16660575048732942,16416
E05000629,0.1499843112645121,15935
E05000630,0.14151012891344383,13575
E05000631,0.16429966270193502,11266
E05000632,0.13809166040571,13310
E05000633,0.1260281484189362,10942
E05000634,0.11825292341051653,12913
E05000635,0.14209943001899936,12632
E05000636,0.12861293775806698,13078
E05000637,0.09767964071856287,10688
E05000638,0.15927920463960232,14484
E05000639,0.14945927678269685,11836
E05000640,0.16255707762557078,10950
E05000641,0.13285620269825602,12156
E05000642,0.13184614244423035,13493
E05000643,0.13355998057309373,14413
E05000644,0.1081924577373212,11535
E05000645,0.13712737127371274,9225
E05000646,0.12697594501718212,11640
E05000647,0.1324548560273304,10245
E05000648,0.14221267454350162,13965
E05000649,0.122570281124498,12450
E05000650,0.10473973762166737,14178
E05000651,0.08917142362912991,11562
E05000652,0.10379981464318813,14027
E05000653,0.08997672388711085,13748
E05000654,0.11592153004120288,16261
E05000655,0.1060223139986439,16223
E05000656,0.10594972955774737,15715
E05000657,0.10380670475666001,14527
E05000658,0.10826440723555915,14871
E05000659,0.09218408626400733,14189
E05000660,0.10760511602971586,13057
E05000661,0.09390054707275251,12247
E05000662,0.1063932615299641,14484
E05000663,0.10581577691416104,14667
E05000664,0.10076045627376426,12624
E05000665,0.10857242017584452,17288
E05000666,0.10705307262569833,14320
E05000667,0.10219884578858938,13689
E05000668,0.10216609045367953,14173
E05000669,0.10198256576409781,12963
E05000670,0.11458333333333333,10848
E05000671,0.08893813836962806,10378
E05000672,0.11206225680933853,11565
E05000673,0.11081658828559213,11695
E05000674,0.11835058907533023,11204
E05000675,0.10857416573527064,12526
E05000676,0.0860723089564503,9736
E05000677,0.10645597255431957,9619
E05000678,0.10147938829787234,12032
E05000679,0.09730363423212192,11089
E05000680,0.11738206544836378,11765
E05000681,0.1038471424899323,11671
E05000682,0.1186496500617538,12145
E05000683,0.11217855409995148,10305
E05000684,0.10552985239039436,13617
E05000685,0.1020510758093706,9946
E05000686,0.09412880784231054,9487
E05000687,0.11188463451019394,20110
E05000688,0.08999554477501114,20201
E05000689,0.11969347619693477,14746
E05000690,0.12248166132864965,19358
E05000691,0.12204319506342132,14585
E05000692,0.12284218012542833,15467
E05000693,0.11563758389261745,14900
E05000694,0.1162837975198211,24595
E05000695,0.14103113396172523,14004
E05000696,0.1516263764080496,15802
E05000697,0.06675320588466682,25422
E05000698,0.11599130483250655,17941
E05000699,0.11919778895896818,14111
E05000700,0.1400048895770516,12271
E05000701,0.0817783343769568,15970
E05000702,0.11411706837186424,18297
E05000703,0.12872094603778714,22071
E05000704,0.116940997720942,19745
E05000705,0.11229347521702604,14284
E05000706,0.09039058919386872,19637
E05000707,0.10592772283386204,16077
E05000708,0.10466674789813574,16414
E05000709,0.11247803163444639,15932
E05000710,0.10172413793103448,22620
E05000711,0.10256410256410256,15249
E05000712,0.11981786054098138,14714
E05000713,0.10108303249097472,14958
E05000714,0.0822848012782105,15021
E05000715,0.12039709107699412,17326
E05000716,0.1318955586842442,15626
E05000717,0.07620056497175141,14160
E05000718,0.11946424713761071,13887
E05000719,0.11278831910841504,14177
E05000720,0.10464490674318508,11152
E05000721,0.103509709602708,11226
E05000722,0.09947930939983557,10947
E05000723,0.1109395677106308,13602
E05000724,0.08197199533255542,10284
E05000725,0.09596255119953188,10254
E05000726,0.09920673783175007,10211
E05000727,0.1074318124947869,11989
E05000728,0.11107124919279615,13937
E05000729,0.09024686361796844,9884
E05000730,0.09252310789786766,10927
E05000731,0.08669334154098697,9747
E05000732,0.09336366333695975,10111
E05000733,0.09211966435607442,10964
E05000734,0.11407551135904277,12369
E05000735,0.11697141725526437,15149
E05000736,0.09366121289311256,10207
E05000737,0.10600679431747993,12952
E05000738,0.11660570592538405,13670
E05000739,0.10935951716061616,11101
E05000740,0.09384439120924903,9601
E05000741,0.10551626591230552,10605
E05000742,0.11210412147505423,11525
E05000743,0.10794258373205741,10450
E05000744,0.09525627565142694,10477
E05000745,0.10951825304217369,11998
E05000746,0.11369649805447471,12850
E05000747,0.10078192875760209,9208
E05000748,0.1155929660805067,11999
E05000749,0.10015710919088766,10184
E05000750,0.09418816226051589,9343
E05000751,0.10749619482496195,10512
E05000752,0.10854725507162773,10401
E05000753,0.11395561466212285,12031
E05000754,0.09491455631047972,9714
E05000755,0.10968413745227351,11524
E05000756,0.10282846715328467,10960
E05000757,0.10673725557168474,11711
E05000758,0.11471667346106808,12265
E05000759,0.11980046047582502,13030
E05000760,0.1054896609635772,9527
E05000761,0.1159506290054593,16852
E05000762,0.11420327624720775,10744
E05000763,0.10860130203195896,10138
E05000764,0.1100102494021182,11708
E05000765,0.10198040016333197,9796
E05000766,0.1074773413897281,13240
E05000767,0.10072905817586669,13442
E05000768,0.10196792492471461,14279
E05000769,0.11038779224415511,14286
E05000770,0.12829830936956865,18987
E05000771,0.10360130956711532,13745
E05000772,0.10853594542592268,11434
E05000773,0.11470382053978269,11412
E05000774,0.10996129236116597,12659
E05000775,0.10006942378260439,10083
E05000776,0.11320610101939144,13047
E05000777,0.12062378167641326,12825
E05000778,0.1056644880174292,10098
E05000779,0.09295558958652374,13060
E05000780,0.08395306560899025,12102
E05000781,0.09851036754248073,13359
E05000782,0.09207410502855551,14358
E05000783,0.10805669755169663,16297
E05000784,0.1026694045174538,15097
E05000785,0.11297824456114028,13330
E05000786,0.10568707101834991,14278
E05000787,0.11858361992102917,15702
E05000788,0.12762586955024452,14519
E05000789,0.09959053369421889,14409
E05000790,0.09982679892930248,12702
E05000791,0.11426170972484773,14283
E05000792,0.12252578756621132,14348
E05000793,0.11253309796999117,13596
E05000794,0.08655964746616304,12708
E05000795,0.08308631211857018,11470
E05000796,0.10270078180525942,14070
E05000797,0.11300006746272684,14823
E05000798,0.1141729405745194,13681
E05000799,0.09740916517544543,12853
E05000800,0.10128116343490305,11552
E05000801,0.11377488825680618,12305
E05000802,0.10156788421778085,11608
E05000803,0.1024414384691521,12124
E05000804,0.10037208458117797,11019
E05000805,0.09683066150727843,10854
E05000806,0.09258280479210712,11352
E05000807,0.10405731900358244,12003
E05000808,0.0982223020290896,11138
E05000809,0.11365949119373776,12775
E05000810,0.09411337209302326,11008
E05000811,0.10607698063014381,12029
E05000812,0.11311928556240697,14109
E05000813,0.1049530315969257,11710
E05000814,0.08708258348330333,10002
E05000815,0.11621501554864505,11255
E05000816,0.1119685277651687,13218
E05000817,0.10262954369682908,12930
E05000818,0.1043314162473041,11128
E05000819,0.13442161993282825,12803
E05000820,0.11783720246841023,10209
E05000821,0.08472091318462666,9549
E05000822,0.13449996384409574,13829
E05000823,0.11101766190075694,10701
E05000824,0.10806223479490806,10605
E05000825,0.12916394513389942,12248
E05000826,0.10465116279069768,9804
E05000827,0.09969939879759519,9980
E05000828,0.10289627093550477,10807
E05000829,0.13098580251864925,12467
E05000830,0.09511693903513063,10219
E05000831,0.11682070240295749,10820
E05000832,0.11840193704600484,12390
E05000833,0.1407203644803576,11633
E05000834,0.10700242616916256,11953
E05000835,0.12118391660461653,10744
E05000836,0.1178186317836309,11314
E05000837,0.11091282234317837,11207
E05000838,0.10967116283170238,11343
E05000839,0.10802355539197644,10868
E05000840,0.10906327189815694,15789
E05000841,0.09503616862060364,12027
E05000842,0.09367919368700679,12799
E05000843,0.10260930888575458,11344
E05000844,0.11351125938281902,11990
E05000845,0.10438220757825371,15175
E05000846,0.09260854583046176,11608
E05000847,0.10802876853075004,13626
E05000848,0.10274939779051416,12039
E05000849,0.1026128961428676,13663
E05000850,0.09350836180543068,11122
E05000851,0.10611270966383606,14249
E05000852,0.09940809211059759,12333
E05000853,0.10492637952387505,14534
E05000854,0.11096468107538218,15176
E05000855,0.09622402030778994,12606
E05000856,0.09932576878802829,12162
E05000857,0.10751665080875357,14714
E05000858,0.09585604291028636,11559
E05000859,0.09317343173431734,11924
E05000860,0.10328638497652583,14910
E05000861,0.08891273838025263,12113
E05000862,0.10467587672688629,13174
E05000863,0.10791550012725884,11787
E05000864,0.09716201848368365,12227
E05000886,0.09519024651661308,14928
E05000887,0.10228297828048019,14411
E05000888,0.09499598608509499,14948
E05000889,0.04549178984628495,30511
E05000890,0.09411089591851374,13941
E05000891,0.10381114903299203,14064
E05000892,0.10667453448728036,15252
E05000893,0.10675443617630223,13976
E05000894,0.1085978835978836,15120
E05000895,0.10625127542344058,14701
E05000896,0.10600728529974687,16197
E05000897,0.10561136976231315,16324
E05000898,0.07552544948088123,15796
E05000899,0.10233153090295947,17199
E05000900,0.09789208385840302,17458
E05000901,0.0986305470328519,13363
E05000902,0.09901063201417602,13544
E05000903,0.12279293739967898,17444
