Area code,All categories: Age,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean age,Median age
E08000016,"231,221","13,957","7,798","4,764","13,378","2,989","5,804","5,597","13,533","14,446","45,725","48,377","14,843","22,080","13,250","3,279","1,401",40.4,41
E08000017,"302,402","19,220","10,558","6,514","17,407","3,794","7,907","7,236","19,417","20,239","58,258","61,864","18,847","27,109","17,660","4,346","2,026",39.8,40
E08000018,"257,280","15,738","8,923","5,722","15,664","3,215","6,797","6,205","15,227","15,422","49,874","52,987","16,664","24,783","14,560","3,684","1,815",40.2,41
E08000019,"552,698","33,977","18,825","11,512","30,193","6,177","12,627","23,505","56,134","38,805","110,267","96,291","28,687","44,688","29,237","7,600","4,173",37.9,36
,,,,,,,,,,,,,,,,,,,
E11000006,"2,226,058","149,793","82,390","51,325","133,949","28,737","55,632","64,029","167,366","159,007","458,343","417,385","127,348","174,913","112,676","28,744","14,421",38.0,37
E08000032,"522,452","41,167","22,903","14,579","36,268","7,414","14,248","13,706","35,679","38,810","108,439","93,087","26,760","35,488","24,300","6,493","3,111",36.2,34
E08000033,"203,826","12,906","7,403","4,579","12,563","2,730","5,163","4,736","11,421","12,089","41,938","42,482","13,344","17,593","10,585","2,831","1,463",39.6,40
E08000034,"422,458","28,331","15,976","10,051","26,177","5,614","10,669","11,264","28,826","27,475","86,893","81,187","25,845","35,035","21,092","5,316","2,707",38.4,38
E08000035,"751,485","47,844","25,177","15,404","40,167","8,901","17,178","26,756","71,874","59,860","155,762","132,786","40,178","56,455","38,561","9,600","4,982",37.6,35
E08000036,"325,837","19,545","10,931","6,712","18,774","4,078","8,374","7,567","19,566","20,773","65,311","67,843","21,221","30,342","18,138","4,504","2,158",40.2,41
,,,,,,,,,,,,,,,,,,,
E12000004,"4,533,222","270,174","151,534","96,030","264,538","56,179","114,815","124,920","307,676","278,581","895,538","908,888","291,401","414,713","256,569","67,862","33,804",40.0,40
,,,,,,,,,,,,,,,,,,,
E06000015,"248,752","17,743","9,329","5,654","14,857","3,093","6,250","7,385","20,069","18,211","51,298","44,608","12,586","18,884","13,540","3,564","1,681",37.6,36
E06000016,"329,839","24,297","12,925","7,855","20,162","4,040","8,608","11,842","35,406","29,571","68,167","55,694","14,056","18,888","12,936","3,605","1,787",34.8,31
E06000018,"305,680","19,959","10,194","6,235","15,860","3,328","6,818","16,913","42,766","26,232","61,519","47,678","12,626","17,520","12,877","3,529","1,626",34.8,30
E06000017,"37,369","1,854","1,129",721,"2,352",630,"1,434",831,"1,740","1,907","6,686","7,521","2,715","4,218","2,530",719,382,42.4,43
,,,,,,,,,,,,,,,,,,,
E10000007,"769,686","41,545","24,628","15,821","44,957","9,835","19,880","17,450","40,958","41,007","151,061","164,883","54,770","77,789","46,475","12,276","6,351",41.6,43
E07000032,"122,309","6,404","3,771","2,616","7,202","1,475","3,162","2,668","6,233","6,439","24,289","26,092","9,179","12,496","7,232","1,981","1,070",41.8,43
E07000033,"75,866","4,275","2,492","1,511","4,379","1,017","1,956","1,765","4,267","4,564","15,164","15,660","5,032","7,537","4,505","1,136",606,41.0,42
E07000034,"103,788","5,778","3,132","1,939","6,041","1,303","2,747","2,427","5,784","6,071","20,546","21,773","6,956","10,105","6,408","1,918",860,41.4,42
E07000035,"71,116","3,077","2,169","1,475","4,208",888,"1,733","1,411","3,008","2,719","12,027","16,499","6,075","8,506","5,134","1,438",749,44.5,47
E07000036,"112,081","6,527","3,637","2,298","6,188","1,483","2,945","2,600","6,714","6,407","22,876","23,199","7,211","10,657","6,704","1,714",921,40.8,41
E07000037,"90,892","4,961","2,986","1,905","5,487","1,137","2,339","2,279","5,059","4,643","17,591","20,405","6,431","8,642","5,059","1,262",706,41.1,43
E07000038,"99,023","4,799","2,977","1,932","5,370","1,246","2,471","2,239","5,020","4,764","18,062","21,570","7,655","11,679","6,707","1,674",858,43.3,45
E07000039,"94,611","5,724","3,464","2,145","6,082","1,286","2,527","2,061","4,873","5,400","20,506","19,685","6,231","8,167","4,726","1,153",581,39.5,40
,,,,,,,,,,,,,,,,,,,
E10000018,"650,489","36,154","21,369","13,677","38,100","8,081","16,703","18,515","40,925","35,050","126,581","135,543","44,354","61,791","38,436","10,182","5,028",40.8,42
E07000129,"93,915","5,446","3,263","2,061","5,590","1,221","2,462","2,189","4,990","5,005","18,953","19,503","6,357","9,099","5,657","1,447",672,40.9,42
E07000130,"166,100","9,120","5,053","3,226","8,924","1,899","4,209","6,778","16,121","10,079","31,145","31,951","10,333","14,351","9,255","2,372","1,284",39.3,39
E07000131,"85,382","4,665","3,028","1,987","5,527","1,141","2,301","1,714","3,701","3,700","16,827","19,139","6,061","8,470","5,019","1,389",713,41.6,43
E07000132,"105,078","5,778","3,377","2,142","6,014","1,292","2,575","2,117","5,376","5,767","20,825","22,572","7,910","10,574","6,316","1,674",769,41.7,43
E07000133,"50,376","2,786","1,618","1,067","3,033",635,"1,275","1,074","2,535","2,537","9,620","11,277","3,662","4,975","3,019",863,400,41.7,43
E07000134,"93,468","5,477","3,319","2,102","5,642","1,137","2,311","1,963","4,739","4,939","19,181","19,827","6,599","8,997","5,143","1,418",674,40.8,42
E07000135,"56,170","2,882","1,711","1,092","3,370",756,"1,570","2,680","3,463","3,023","10,030","11,274","3,432","5,325","4,027","1,019",516,41.0,41
,,,,,,,,,,,,,,,,,,,
E10000019,"713,653","37,351","21,222","13,864","40,470","8,971","17,408","17,545","41,556","38,933","128,490","147,211","52,781","80,273","48,767","12,467","6,344",42.5,44
E07000136,"64,637","3,841","1,980","1,243","3,527",771,"1,493","1,421","3,942","4,372","12,089","12,821","4,395","6,773","4,344","1,096",529,41.5,42
E07000137,"136,401","6,202","3,637","2,362","7,168","1,614","3,170","2,756","6,433","5,876","20,773","28,661","12,310","19,949","11,436","2,703","1,351",45.8,49
E07000138,"93,541","5,514","2,710","1,593","4,548",986,"2,057","4,663","11,198","7,915","17,846","16,311","4,874","6,713","4,547","1,335",731,37.4,34
E07000139,"107,766","5,483","3,364","2,220","6,591","1,408","2,684","2,207","5,068","5,341","20,442","22,575","7,891","12,408","7,303","1,858",923,42.7,44
