,pc_sector,EUpop
382,BB8  0,123
383,BB8  7,59
384,BB8  8,54
385,BB8  9,118
386,BB9  0,426
387,BB9  5,118
388,BB9  6,43
389,BB9  7,304
390,BB9  8,241
391,BB9  9,313
392,BD1  1,91
393,BD1  2,81
394,BD1  3,122
395,BD1  4,183
396,BD1  5,139
397,BD10 0,256
398,BD10 8,184
399,BD10 9,138
400,BD11 1,62
401,BD11 2,35
402,BD12 0,86
403,BD12 7,22
404,BD12 8,134
405,BD12 9,70
406,BD13 1,38
407,BD13 2,96
408,BD13 3,75
409,BD13 4,36
410,BD13 5,22
411,BD14 6,167
412,BD15 0,34
413,BD15 7,282
414,BD15 9,51
415,BD16 1,200
416,BD16 2,63
417,BD16 3,64
418,BD16 4,233
419,BD17 5,136
420,BD17 6,84
421,BD17 7,75
422,BD18 1,134
423,BD18 2,257
424,BD18 3,282
425,BD18 4,197
426,BD19 3,105
427,BD19 4,114
428,BD19 5,44
429,BD19 6,27
430,BD2  1,212
431,BD2  2,82
432,BD2  3,152
433,BD2  4,208
434,BD20 0,98
435,BD20 5,89
436,BD20 6,160
437,BD20 7,66
438,BD20 8,88
439,BD20 9,41
440,BD21 1,122
441,BD21 2,288
442,BD21 3,214
443,BD21 4,246
444,BD21 5,87
445,BD22 0,51
446,BD22 6,176
447,BD22 7,123
448,BD22 8,40
449,BD22 9,46
450,BD23 1,144
451,BD23 2,231
452,BD23 3,55
453,BD23 4,33
454,BD23 5,39
455,BD23 6,69
456,BD24 0,33
457,BD24 9,46
458,BD3  0,294
459,BD3  7,234
460,BD3  8,314
461,BD3  9,190
462,BD4  0,301
463,BD4  6,285
464,BD4  7,333
465,BD4  8,278
466,BD4  9,225
467,BD5  0,686
468,BD5  7,742
469,BD5  8,389
470,BD5  9,411
471,BD6  1,165
472,BD6  2,136
473,BD6  3,258
474,BD7  1,855
475,BD7  2,618
476,BD7  3,616
477,BD7  4,266
478,BD8  0,444
479,BD8  7,459
480,BD8  8,167
481,BD8  9,739
482,BD9  4,452
483,BD9  5,293
484,BD9  6,458
485,BH1  1,355
486,BH1  2,149
487,BH1  3,808
488,BH1  4,1543
489,BH10 4,152
490,BH10 5,157
491,BH10 6,122
492,BH10 7,99
493,BH11 8,335
494,BH11 9,212
495,BH12 1,337
496,BH12 2,355
497,BH12 3,274
498,BH12 4,304
499,BH12 5,161
500,BH13 6,194
501,BH13 7,158
502,BH14 0,260
503,BH14 8,267
504,BH14 9,294
505,BH15 1,479
506,BH15 2,349
507,BH15 3,331
508,BH15 4,303
509,BH16 5,263
510,BH16 6,81
511,BH17 7,210
512,BH17 8,184
513,BH17 9,191
514,BH18 8,83
515,BH18 9,124
516,BH19 1,105
517,BH19 2,167
518,BH19 3,33
519,BH2  5,952
520,BH2  6,429
521,BH20 4,118
522,BH20 5,102
523,BH20 6,261
524,BH20 7,84
525,BH21 1,201
526,BH21 2,150
527,BH21 3,181
528,BH21 4,28
529,BH21 5,42
530,BH21 6,31
531,BH21 7,51
532,BH21 8,10
533,BH22 0,124
534,BH22 8,211
535,BH22 9,140
536,BH23 1,128
537,BH23 2,229
538,BH23 3,178
539,BH23 4,144
540,BH23 5,145
541,BH23 6,8
542,BH23 7,76
543,BH23 8,80
544,BH24 1,202
545,BH24 2,149
546,BH24 3,109
547,BH24 4,26
548,BH25 5,236
549,BH25 6,192
550,BH25 7,148
551,BH3  7,369
552,BH31 6,164
553,BH31 7,52
554,BH4  8,362
555,BH4  9,344
556,BH5  1,1019
557,BH5  2,505
558,BH6  3,425
559,BH6  4,94
560,BH6  5,358
561,BH7  6,609
562,BH7  7,158
563,BH8  0,220
564,BH8  8,1379
565,BH8  9,388
566,BH9  1,729
567,BH9  2,357
568,BH9  3,249
569,BL0  0,51
570,BL0  9,134
571,BL1  1,30
572,BL1  2,275
573,BL1  3,282
574,BL1  4,374
575,BL1  5,241
576,BL1  6,105
577,BL1  7,118
578,BL1  8,281
579,BL2  1,201
580,BL2  2,174
581,BL2  3,119
582,BL2  4,45
583,BL2  5,298
584,BL2  6,165
585,BL3  1,128
586,BL3  2,345
587,BL3  3,459
588,BL3  4,398
589,BL3  5,371
590,BL3  6,204
591,BL4  0,196
592,BL4  7,155
593,BL4  8,102
594,BL4  9,146
595,BL5  1,12
596,BL5  2,131
597,BL5  3,100
598,BL6  4,68
599,BL6  5,97
600,BL6  6,120
601,BL6  7,63
602,BL7  0,27
603,BL7  8,4
604,BL7  9,98
605,BL8  1,236
606,BL8  2,114
607,BL8  3,73
608,BL8  4,39
609,BL9  0,102
610,BL9  5,145
611,BL9  6,185
612,BL9  7,280
613,BL9  8,182
614,BL9  9,473
615,BN1  1,307
616,BN1  2,808
617,BN1  3,1033
618,BN1  4,878
619,BN1  5,500
620,BN1  6,851
621,BN1  7,398
622,BN1  8,374
623,BN1  9,457
624,BN10 7,284
625,BN10 8,278
626,BN11 1,321
627,BN11 2,427
628,BN11 3,341
629,BN11 4,474
630,BN11 5,203
631,BN12 4,170
632,BN12 5,83
633,BN12 6,183
634,BN13 1,206
635,BN13 2,201
636,BN13 3,188
637,BN14 0,111
638,BN14 7,399
639,BN14 8,177
640,BN14 9,193
641,BN15 0,202
642,BN15 8,174
643,BN15 9,190
644,BN16 1,133
645,BN16 2,169
646,BN16 3,172
647,BN16 4,163
648,BN17 5,607
649,BN17 6,437
650,BN17 7,465
651,BN18 0,225
652,BN18 9,128
653,BN2  0,449
654,BN2  1,985
655,BN2  3,861
656,BN2  4,711
657,BN2  5,709
658,BN2  6,213
659,BN2  7,186
660,BN2  8,277
661,BN2  9,717
662,BN20 0,36
663,BN20 7,342
664,BN20 8,320
665,BN20 9,101
666,BN21 1,262
667,BN21 2,545
668,BN21 3,997
669,BN21 4,509
670,BN22 0,244
671,BN22 7,257
672,BN22 8,673
673,BN22 9,289
674,BN23 5,330
675,BN23 6,250
676,BN23 7,200
677,BN23 8,274
678,BN24 5,116
679,BN24 6,59
680,BN25 1,178
681,BN25 2,160
682,BN25 3,150
683,BN25 4,59
684,BN26 5,133
685,BN26 6,77
686,BN27 1,115
687,BN27 2,101
688,BN27 3,236
689,BN27 4,82
690,BN3  1,1277
691,BN3  2,690
692,BN3  3,1271
693,BN3  4,463
694,BN3  5,670
695,BN3  6,617
696,BN3  7,401
697,BN3  8,240
698,BN41 1,246
699,BN41 2,259
700,BN42 4,211
701,BN43 5,260
702,BN43 6,212
703,BN44 3,182
704,BN45 7,28
705,BN5  9,160
706,BN6  8,177
707,BN6  9,168
708,BN7  1,327
709,BN7  2,278
710,BN7  3,100
711,BN8  4,148
712,BN8  5,119
713,BN8  6,90
714,BN9  0,89
715,BN9  9,282
716,BR1  1,45
717,BR1  2,541
718,BR1  3,774
719,BR1  4,798
720,BR1  5,973
721,BR2  0,721
722,BR2  6,65
723,BR2  7,230
724,BR2  8,388
725,BR2  9,478
726,BR3  1,577
727,BR3  3,477
728,BR3  4,631
729,BR3  5,451
730,BR3  6,257
731,BR4  0,265
732,BR4  9,272
733,BR5  1,333
734,BR5  2,390
735,BR5  3,410
736,BR5  4,314
737,BR6  0,293
738,BR6  6,135
739,BR6  7,198
740,BR6  8,221
741,BR6  9,331
742,BR7  5,269
743,BR7  6,419
744,BR8  7,250
745,BR8  8,135
746,BS1  1,184
747,BS1  2,33
748,BS1  3,340
749,BS1  4,70
750,BS1  5,330
751,BS1  6,285
752,BS10 5,468
753,BS10 6,439
754,BS10 7,415
755,BS11 0,573
756,BS11 9,350
757,BS13 0,104
758,BS13 7,170
759,BS13 8,155
760,BS13 9,112
761,BS14 0,117
762,BS14 8,104
763,BS14 9,309
764,BS15 1,401
765,BS15 3,111
766,BS15 4,208
767,BS15 8,188
768,BS15 9,139
769,BS16 1,398
770,BS16 2,402
771,BS16 3,371
772,BS16 4,272
773,BS16 5,292
774,BS16 6,170
775,BS16 7,261
776,BS16 9,162
777,BS2  0,328
778,BS2  8,460
779,BS2  9,375
780,BS20 0,100
781,BS20 6,146
782,BS20 7,274
783,BS20 8,75
784,BS21 5,134
785,BS21 6,209
786,BS21 7,201
787,BS22 6,170
788,BS22 7,224
789,BS22 8,295
790,BS22 9,149
791,BS23 1,479
792,BS23 2,472
793,BS23 3,566
794,BS23 4,278
795,BS24 0,24
796,BS24 6,4
797,BS24 7,331
798,BS24 8,36
799,BS24 9,81
800,BS25 1,110
801,BS25 5,32
802,BS26 2,102
803,BS27 3,102
804,BS28 4,39
805,BS29 6,48
806,BS3  1,525
807,BS3  2,166
808,BS3  3,357
809,BS3  4,560
810,BS3  5,363
811,BS30 5,64
812,BS30 6,32
813,BS30 7,42
814,BS30 8,124
815,BS30 9,77
816,BS31 1,113
817,BS31 2,135
818,BS31 3,64
819,BS32 0,528
820,BS32 4,76
821,BS32 8,348
822,BS32 9,307
823,BS34 5,312
824,BS34 6,164
825,BS34 7,383
826,BS34 8,256
827,BS35 1,152
828,BS35 2,142
829,BS35 3,33
830,BS35 4,111
831,BS35 5,11
832,BS36 1,80
833,BS36 2,132
834,BS37 4,207
835,BS37 5,217
836,BS37 6,112
837,BS37 7,121
838,BS37 8,138
839,BS37 9,15
840,BS39 4,21
841,BS39 5,48
842,BS39 6,41
843,BS39 7,62
844,BS4  1,502
845,BS4  2,446
846,BS4  3,539
847,BS4  4,547
848,BS4  5,97
849,BS40 5,91
850,BS40 6,28
851,BS40 7,21
852,BS40 8,56
853,BS40 9,8
854,BS41 8,9
855,BS41 9,105
856,BS48 1,79
857,BS48 2,116
858,BS48 3,84
859,BS48 4,88
860,BS49 4,118
861,BS49 5,60
862,BS5  0,588
863,BS5  6,876
864,BS5  7,617
865,BS5  8,529
866,BS5  9,986
867,BS6  5,614
868,BS6  6,740
869,BS6  7,448
870,BS7  0,1014
871,BS7  8,429
872,BS7  9,773
873,BS8  1,360
874,BS8  2,427
875,BS8  3,266
876,BS8  4,475
877,BS9  1,392
878,BS9  2,198
879,BS9  3,306
880,BS9  4,283
881,CA1  1,186
882,CA1  2,640
883,CA1  3,288
884,CA10 1,47
885,CA10 2,43
886,CA10 3,38
887,CA11 0,92
888,CA11 7,185
889,CA11 8,171
890,CA11 9,147
891,CA12 4,126
892,CA12 5,131
893,CA13 0,106
894,CA13 9,82
895,CA14 1,68
896,CA14 2,81
897,CA14 3,60
898,CA14 4,69
899,CA14 5,67
900,CA15 6,64
901,CA15 7,90
902,CA15 8,72
903,CA16 6,52
904,CA17 4,62
905,CA18 1,7
906,CA19 1,15
907,CA2  4,213
908,CA2  5,286
909,CA2  6,124
910,CA2  7,350
911,CA20 1,28
912,CA21 2,17
913,CA22 2,79
914,CA23 3,17
915,CA24 3,11
916,CA25 5,68
917,CA26 3,23
918,CA27 0,26
919,CA28 6,89
920,CA28 7,39
921,CA28 8,95
922,CA28 9,50
923,CA3  0,110
924,CA3  8,8
925,CA3  9,179
926,CA4  0,26
927,CA4  8,67
928,CA4  9,1
929,CA5  6,20
930,CA5  7,34
931,CA6  4,63
932,CA6  5,59
933,CA6  6,19
934,CA7  0,7
935,CA7  1,17
936,CA7  2,19
937,CA7  3,19
938,CA7  4,30
939,CA7  5,12
940,CA7  8,10
941,CA7  9,43
942,CA8  1,87
943,CA8  2,28
944,CA8  7,11
945,CA8  9,26
946,CA9  3,21
947,CB1  1,494
948,CB1  2,1106
949,CB1  3,2184
950,CB1  7,458
951,CB1  8,499
952,CB1  9,769
953,CB10 1,164
954,CB10 2,275
955,CB11 3,354
956,CB11 4,286
957,CB2  0,145
958,CB2  1,969
959,CB2  3,254
960,CB2  7,35
961,CB2  8,454
962,CB2  9,284
963,CB21 4,204
964,CB21 5,185
965,CB21 6,54
966,CB22 3,347
967,CB22 4,153
968,CB22 5,352
969,CB22 6,24
970,CB22 7,81
971,CB23 1,73
972,CB23 2,58
973,CB23 3,118
974,CB23 4,33
975,CB23 5,119
976,CB23 6,370
977,CB23 7,348
978,CB23 8,265
979,CB24 3,188
980,CB24 4,92
981,CB24 5,156
982,CB24 6,335
983,CB24 8,257
984,CB24 9,313
985,CB25 0,185
986,CB25 9,385
987,CB3  0,848
988,CB3  9,994
989,CB4  1,2162
990,CB4  2,1746
991,CB4  3,1493
992,CB5  8,1269
993,CB6  1,510
994,CB6  2,301
995,CB6  3,515
996,CB7  4,621
997,CB7  5,922
998,CB8  0,691
999,CB8  7,500
1000,CB8  8,432
1001,CB8  9,323
1002,CB9  0,370
1003,CB9  7,240
1004,CB9  8,443
1005,CB9  9,308
1006,CH1  1,57
1007,CH1  2,36
1008,CH1  3,270
1009,CH1  4,336
1010,CH1  5,391
1011,CH1  6,91
1012,CH2  1,223
1013,CH2  2,319
1014,CH2  3,389
1015,CH2  4,139
1016,CH3  5,301
1017,CH3  6,74
1018,CH3  7,92
1019,CH3  8,38
1020,CH3  9,58
1021,CH4  0,154
1022,CH4  7,265
1023,CH4  8,392
1024,CH4  9,48
1025,CH41 0,22
1026,CH41 1,9
1027,CH41 2,84
1028,CH41 3,37
1029,CH41 4,33
1030,CH41 5,21
1031,CH41 6,5
1032,CH41 7,30
1033,CH41 8,49
1034,CH41 9,22
1035,CH42 0,77
1036,CH42 1,62
1037,CH42 2,22
1038,CH42 3,38
1039,CH42 4,33
1040,CH42 5,41
1041,CH42 6,41
1042,CH42 7,67
1043,CH42 8,30
1044,CH42 9,99
1045,CH43 0,29
1046,CH43 1,49
1047,CH43 2,54
1048,CH43 3,20
1049,CH43 4,52
1050,CH43 5,55
1051,CH43 6,25
1052,CH43 7,84
1053,CH43 8,16
1054,CH43 9,86
1055,CH44 0,59
1056,CH44 1,34
1057,CH44 2,32
1058,CH44 3,28
1059,CH44 4,61
1060,CH44 5,38
1061,CH44 6,12
1062,CH44 7,42
1063,CH44 8,66
1064,CH44 9,52
1065,CH45 0,13
1066,CH45 1,37
1067,CH45 2,89
1068,CH45 3,26
1069,CH45 4,34
1070,CH45 5,73
1071,CH45 6,18
1072,CH45 7,46
1073,CH45 8,52
1074,CH45 9,36
1075,CH46 0,41
1076,CH46 1,29
1077,CH46 2,32
1078,CH46 3,21
1079,CH46 5,4
1080,CH46 6,63
1081,CH46 7,20
1082,CH46 8,23
1083,CH46 9,25
1084,CH47 0,13
1085,CH47 1,13
1086,CH47 2,39
1087,CH47 3,34
1088,CH47 4,11
1089,CH47 5,9
1090,CH47 6,6
1091,CH47 7,13
1092,CH47 9,9
1093,CH48 0,43
1094,CH48 1,10
1095,CH48 2,33
1096,CH48 3,37
1097,CH48 4,20
1098,CH48 5,43
1099,CH48 6,45
1100,CH48 7,9
1101,CH48 8,18
1102,CH48 9,27
1103,CH49 0,13
1104,CH49 1,14
1105,CH49 2,26
1106,CH49 3,18
1107,CH49 4,48
1108,CH49 5,20
1109,CH49 6,35
1110,CH49 7,29
1111,CH49 8,27
1112,CH49 9,14
1113,CH5  1,429
1114,CH5  2,419
1115,CH5  3,171
1116,CH5  4,565
1117,CH6  5,519
1118,CH6  6,116
1119,CH60 0,20
1120,CH60 1,27
1121,CH60 2,22
1122,CH60 3,7
1123,CH60 4,7
1124,CH60 5,23
1125,CH60 6,24
1126,CH60 7,14
1127,CH60 8,12
1128,CH60 9,8
1129,CH61 0,3
1130,CH61 1,13
1131,CH61 2,3
1132,CH61 3,18
1133,CH61 4,14
1134,CH61 5,29
1135,CH61 6,18
1136,CH61 7,11
1137,CH61 8,14
1138,CH61 9,9
1139,CH62 0,8
1140,CH62 1,64
1141,CH62 2,42
1142,CH62 3,12
1143,CH62 4,28
1144,CH62 5,52
1145,CH62 6,41
1146,CH62 7,50
1147,CH62 8,51
1148,CH62 9,34
1149,CH63 0,38
1150,CH63 1,2
1151,CH63 2,50
1152,CH63 3,50
1153,CH63 4,0
1154,CH63 5,36
1155,CH63 6,7
1156,CH63 7,52
1157,CH63 8,25
1158,CH63 9,27
1159,CH64 0,26
1160,CH64 1,12
1161,CH64 2,14
1162,CH64 3,38
1163,CH64 4,32
1164,CH64 5,17
1165,CH64 6,33
1166,CH64 7,7
1167,CH64 8,0
1168,CH64 9,69
1169,CH65 0,21
1170,CH65 2,75
1171,CH65 3,35
1172,CH65 4,55
1173,CH65 5,89
1174,CH65 6,27
1175,CH65 7,69
1176,CH65 8,176
1177,CH65 9,91
1178,CH66 1,93
1179,CH66 2,125
1180,CH66 3,112
1181,CH66 4,95
1182,CH66 5,14
1183,CH66 6,4
1184,CH66 7,5
1185,CH7  1,193
1186,CH7  2,160
1187,CH7  3,110
1188,CH7  4,68
1189,CH7  5,71
1190,CH7  6,133
1191,CH8  7,134
1192,CH8  8,62
1193,CH8  9,68
1194,CM0  7,81
1195,CM0  8,106
1196,CM1  1,192
1197,CM1  2,490
1198,CM1  3,269
1199,CM1  4,301
1200,CM1  6,264
1201,CM1  7,205
1202,CM11 1,87
1203,CM11 2,204
1204,CM12 0,251
1205,CM12 9,133
1206,CM13 1,165
1207,CM13 2,251
1208,CM13 3,102
1209,CM14 4,344
1210,CM14 5,323
1211,CM15 0,86
1212,CM15 8,156
1213,CM15 9,186
1214,CM16 4,128
1215,CM16 5,81
1216,CM16 6,150
1217,CM16 7,133
1218,CM17 0,154
1219,CM17 9,351
1220,CM18 6,505
1221,CM18 7,515
1222,CM19 4,524
1223,CM19 5,296
1224,CM2  0,280
1225,CM2  6,434
1226,CM2  7,180
1227,CM2  8,249
1228,CM2  9,328
1229,CM20 1,289
1230,CM20 2,177
1231,CM20 3,488
1232,CM21 0,82
1233,CM21 9,140
1234,CM22 6,183
1235,CM22 7,151
1236,CM23 1,44
1237,CM23 2,469
1238,CM23 3,707
1239,CM23 4,376
1240,CM23 5,653
1241,CM24 8,230
1242,CM3  1,70
1243,CM3  2,77
1244,CM3  3,76
1245,CM3  4,148
1246,CM3  5,212
1247,CM3  6,99
1248,CM3  7,13
1249,CM3  8,39
1250,CM4  0,88
1251,CM4  9,89
1252,CM5  0,76
1253,CM5  9,65
1254,CM6  1,348
1255,CM6  2,99
1256,CM6  3,245
1257,CM7  1,334
1258,CM7  2,168
1259,CM7  3,678
1260,CM7  4,67
1261,CM7  5,216
1262,CM7  9,255
1263,CM77 6,53
1264,CM77 7,149
1265,CM77 8,88
1266,CM8  1,448
1267,CM8  2,360
1268,CM8  3,101
1269,CM9  4,127
1270,CM9  5,114
1271,CM9  6,142
1272,CM9  8,130
1273,CO1  1,353
1274,CO1  2,784
1275,CO10 0,232
1276,CO10 1,257
1277,CO10 2,126
1278,CO10 5,39
1279,CO10 7,106
1280,CO10 8,65
1281,CO10 9,122
1282,CO11 1,85
1283,CO11 2,125
1284,CO12 3,200
1285,CO12 4,177
1286,CO12 5,64
1287,CO13 0,97
1288,CO13 9,81
1289,CO14 8,125
1290,CO15 1,195
1291,CO15 2,79
1292,CO15 3,193
1293,CO15 4,102
1294,CO15 5,72
1295,CO15 6,183
1296,CO16 0,44
1297,CO16 7,57
1298,CO16 8,116
1299,CO16 9,56
1300,CO2  0,102
1301,CO2  7,429
1302,CO2  8,788
1303,CO2  9,358
1304,CO3  0,212
1305,CO3  3,376
1306,CO3  4,174
1307,CO3  8,24
1308,CO3  9,113
1309,CO4  0,290
1310,CO4  3,1553
1311,CO4  5,576
1312,CO4  9,379
1313,CO5  0,120
1314,CO5  7,86
1315,CO5  8,149
1316,CO5  9,106
1317,CO6  1,158
1318,CO6  2,91
1319,CO6  3,104
1320,CO6  4,126
1321,CO6  5,18
1322,CO7  0,136
1323,CO7  6,86
1324,CO7  7,92
1325,CO7  8,76
1326,CO7  9,284
1327,CO8  5,39
1328,CO9  1,154
1329,CO9  2,115
1330,CO9  3,97
1331,CO9  4,66
1332,CR0  0,610
1333,CR0  1,1029
1334,CR0  2,1553
1335,CR0  3,1258
1336,CR0  4,1072
1337,CR0  5,661
1338,CR0  6,1746
1339,CR0  7,705
1340,CR0  8,537
1341,CR0  9,385
1342,CR2  0,430
1343,CR2  6,755
1344,CR2  7,508
1345,CR2  8,332
1346,CR2  9,164
1347,CR3  0,113
1348,CR3  5,294
1349,CR3  6,330
1350,CR3  7,97
1351,CR4  1,1333
1352,CR4  2,1931
1353,CR4  3,2383
1354,CR4  4,837
1355,CR5  1,245
1356,CR5  2,274
1357,CR5  3,209
1358,CR6  9,204
1359,CR7  6,492
1360,CR7  7,1215
1361,CR7  8,1175
1362,CR8  1,184
1363,CR8  2,458
1364,CR8  3,194
1365,CR8  4,253
1366,CR8  5,320
1367,CT1  1,1156
1368,CT1  2,592
1369,CT1  3,925
1370,CT10 1,271
1371,CT10 2,247
1372,CT10 3,168
1373,CT11 0,182
1374,CT11 7,268
1375,CT11 8,449
1376,CT11 9,410
1377,CT12 4,60
