posstcode sector,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
DE14 1,2468,2194.0,88.9,58.0,2.4,136.0,5.5,66.0,2.7
DE14 2,12501,8610.0,68.9,340.0,2.7,3255.0,26.0,212.0,1.7
DE14 3,13875,10539.0,76.0,292.0,2.1,2661.0,19.2,296.0,2.1
DE15 0,9676,9174.0,94.8,152.0,1.6,255.0,2.6,69.0,0.7
DE15 9,14516,13968.0,96.2,191.0,1.3,220.0,1.5,100.0,0.7
DE21 2,10435,9808.0,94.0,186.0,1.8,308.0,3.0,111.0,1.1
DE21 4,13248,12565.0,94.8,272.0,2.1,180.0,1.4,184.0,1.4
DE21 5,3623,3560.0,98.3,31.0,0.9,20.0,0.6,10.0,0.3
DE21 6,17333,16448.0,94.9,347.0,2.0,293.0,1.7,181.0,1.0
DE21 7,12377,11925.0,96.3,183.0,1.5,133.0,1.1,106.0,0.9
DE22 1,6464,6131.0,94.8,107.0,1.7,140.0,2.2,63.0,1.0
DE22 2,13622,13028.0,95.6,127.0,0.9,308.0,2.3,87.0,0.6
DE22 3,17663,14901.0,84.4,677.0,3.8,1217.0,6.9,655.0,3.7
DE22 4,7862,7439.0,94.6,157.0,2.0,106.0,1.3,135.0,1.7
DE22 5,933,875.0,93.8,21.0,2.3,28.0,3.0,8.0,0.9
DE23 1,8516,5497.0,64.5,281.0,3.3,2161.0,25.4,375.0,4.4
DE23 2,3042,2411.0,79.3,126.0,4.1,339.0,11.1,130.0,4.3
DE23 3,6045,3756.0,62.1,167.0,2.8,1774.0,29.3,159.0,2.6
DE23 4,2686,1973.0,73.5,83.0,3.1,481.0,17.9,90.0,3.4
DE23 6,18975,9056.0,47.7,604.0,3.2,7841.0,41.3,849.0,4.5
DE23 8,20636,7965.0,38.6,975.0,4.7,9443.0,45.8,1444.0,7.0
DE24 0,15565,14499.0,93.2,409.0,2.6,363.0,2.3,253.0,1.6
DE24 1,1010,821.0,81.3,50.0,5.0,84.0,8.3,37.0,3.7
DE24 3,6249,4126.0,66.0,189.0,3.0,1629.0,26.1,196.0,3.1
DE24 5,1287,1144.0,88.9,30.0,2.3,88.0,6.8,18.0,1.4
DE24 8,16740,13754.0,82.2,795.0,4.7,1162.0,6.9,855.0,5.1
DE24 9,13672,10677.0,78.1,571.0,4.2,1568.0,11.5,664.0,4.9
DE3  0,7926,7364.0,92.9,139.0,1.8,299.0,3.8,85.0,1.1
DE3  9,9082,8062.0,88.8,132.0,1.5,691.0,7.6,111.0,1.2
DE4  2,9049,8931.0,98.7,63.0,0.7,52.0,0.6,1.0,0.0
DE4  3,12089,11908.0,98.5,85.0,0.7,80.0,0.7,8.0,0.1
DE4  4,6817,6749.0,99.0,45.0,0.7,17.0,0.2,4.0,0.1
DE4  5,5211,5167.0,99.2,29.0,0.6,5.0,0.1,7.0,0.1
DE45 1,8676,8584.0,98.9,55.0,0.6,31.0,0.4,3.0,0.0
DE5  3,13279,13044.0,98.2,99.0,0.7,96.0,0.7,26.0,0.2
DE5  8,3907,3858.0,98.7,18.0,0.5,22.0,0.6,7.0,0.2
DE5  9,4847,4805.0,99.1,15.0,0.3,13.0,0.3,9.0,0.2
DE55 1,6751,6672.0,98.8,31.0,0.5,35.0,0.5,6.0,0.1
DE55 2,7161,6994.0,97.7,65.0,0.9,56.0,0.8,45.0,0.6
DE55 3,3781,3686.0,97.5,30.0,0.8,56.0,1.5,7.0,0.2
DE55 4,8558,8418.0,98.4,55.0,0.6,51.0,0.6,27.0,0.3
DE55 5,8176,8042.0,98.4,62.0,0.8,55.0,0.7,17.0,0.2
DE55 6,7312,7203.0,98.5,29.0,0.4,55.0,0.8,17.0,0.2
DE55 7,9485,9300.0,98.0,68.0,0.7,94.0,1.0,9.0,0.1
DE56 0,12408,12150.0,97.9,121.0,1.0,95.0,0.8,28.0,0.2
DE56 1,13418,13074.0,97.4,161.0,1.2,126.0,0.9,36.0,0.3
DE56 2,9172,9074.0,98.9,60.0,0.7,24.0,0.3,7.0,0.1
DE56 4,5376,5166.0,96.1,88.0,1.6,101.0,1.9,9.0,0.2
DE6  1,11115,10970.0,98.7,53.0,0.5,66.0,0.6,13.0,0.1
DE6  2,5392,5351.0,99.2,13.0,0.2,23.0,0.4,5.0,0.1
DE6  3,3518,3480.0,98.9,24.0,0.7,8.0,0.2,3.0,0.1
DE6  4,1060,1025.0,96.7,11.0,1.0,20.0,1.9,2.0,0.2
DE6  5,4508,4286.0,95.1,71.0,1.6,98.0,2.2,44.0,1.0
DE65 5,11968,11431.0,95.5,227.0,1.9,232.0,1.9,46.0,0.4
DE65 6,11488,11098.0,96.6,140.0,1.2,159.0,1.4,60.0,0.5
DE7  4,12656,12454.0,98.4,103.0,0.8,58.0,0.5,28.0,0.2
DE7  5,9980,9802.0,98.2,58.0,0.6,92.0,0.9,21.0,0.2
DE7  6,10477,10341.0,98.7,68.0,0.6,50.0,0.5,15.0,0.1
DE7  8,13685,13389.0,97.8,145.0,1.1,94.0,0.7,36.0,0.3
DE7  9,3118,3080.0,98.8,18.0,0.6,14.0,0.4,4.0,0.1
DE72 2,4120,4032.0,97.9,24.0,0.6,36.0,0.9,20.0,0.5
DE72 3,16105,15695.0,97.5,165.0,1.0,184.0,1.1,48.0,0.3
DE73 5,4815,4010.0,83.3,99.0,2.1,618.0,12.8,73.0,1.5
DE73 6,6566,5962.0,90.8,214.0,3.3,283.0,4.3,78.0,1.2
DE73 7,1799,1741.0,96.8,13.0,0.7,36.0,2.0,4.0,0.2
DE73 8,5872,5765.0,98.2,51.0,0.9,32.0,0.5,16.0,0.3
DE74 2,11491,11177.0,97.3,96.0,0.8,169.0,1.5,25.0,0.2
DE75 7,18713,18379.0,98.2,136.0,0.7,138.0,0.7,46.0,0.2
DH1  1,9337,8870.0,95.0,104.0,1.1,266.0,2.8,44.0,0.5
DH1  2,8622,8295.0,96.2,79.0,0.9,184.0,2.1,22.0,0.3
DH1  3,9701,8531.0,87.9,214.0,2.2,767.0,7.9,88.0,0.9
DH1  4,7661,7121.0,93.0,171.0,2.2,286.0,3.7,35.0,0.5
DH1  5,14544,13608.0,93.6,211.0,1.5,488.0,3.4,89.0,0.6
DH2  1,10749,10620.0,98.8,32.0,0.3,91.0,0.8,3.0,0.0
DH2  2,10239,10087.0,98.5,46.0,0.4,85.0,0.8,12.0,0.1
DH2  3,9439,9297.0,98.5,53.0,0.6,70.0,0.7,11.0,0.1
DH3  1,7331,7107.0,96.9,48.0,0.7,131.0,1.8,26.0,0.4
DH3  2,5578,5475.0,98.2,28.0,0.5,51.0,0.9,8.0,0.1
DH3  3,6677,6535.0,97.9,59.0,0.9,69.0,1.0,6.0,0.1
DH3  4,6318,6190.0,98.0,51.0,0.8,74.0,1.2,1.0,0.0
DH4  4,8240,8112.0,98.4,34.0,0.4,52.0,0.6,27.0,0.3
DH4  5,6848,6762.0,98.7,30.0,0.4,38.0,0.6,9.0,0.1
DH4  6,8944,8804.0,98.4,48.0,0.5,73.0,0.8,17.0,0.2
DH4  7,9439,9230.0,97.8,37.0,0.4,140.0,1.5,16.0,0.2
DH5  0,7166,7081.0,98.8,26.0,0.4,38.0,0.5,9.0,0.1
DH5  8,5870,5770.0,98.3,35.0,0.6,41.0,0.7,16.0,0.3
DH5  9,6498,6427.0,98.9,33.0,0.5,24.0,0.4,9.0,0.1
DH6  1,6792,6725.0,99.0,19.0,0.3,37.0,0.5,6.0,0.1
DH6  2,9222,9073.0,98.4,44.0,0.5,84.0,0.9,5.0,0.1
DH6  3,5601,5512.0,98.4,40.0,0.7,40.0,0.7,8.0,0.1
DH6  4,7027,6939.0,98.7,28.0,0.4,50.0,0.7,1.0,0.0
DH6  5,4750,4547.0,95.7,36.0,0.8,131.0,2.8,3.0,0.1
DH7  0,5646,5567.0,98.6,34.0,0.6,31.0,0.5,10.0,0.2
DH7  6,8411,8303.0,98.7,26.0,0.3,66.0,0.8,5.0,0.1
DH7  7,7936,7802.0,98.3,35.0,0.4,74.0,0.9,9.0,0.1
DH7  8,9980,9762.0,97.8,69.0,0.7,87.0,0.9,28.0,0.3
DH7  9,9402,9325.0,99.2,36.0,0.4,26.0,0.3,13.0,0.1
DH8  0,6805,6719.0,98.7,41.0,0.6,30.0,0.4,8.0,0.1
DH8  5,6301,6216.0,98.7,33.0,0.5,47.0,0.7,3.0,0.0
DH8  6,6940,6861.0,98.9,43.0,0.6,28.0,0.4,3.0,0.0
DH8  7,9034,8901.0,98.5,39.0,0.4,87.0,1.0,2.0,0.0
DH8  8,6616,6550.0,99.0,31.0,0.5,29.0,0.4,4.0,0.1
DH8  9,2855,2833.0,99.2,13.0,0.5,8.0,0.3,1.0,0.0
DH9  0,4757,4691.0,98.6,22.0,0.5,33.0,0.7,3.0,0.1
DH9  6,10256,10172.0,99.2,31.0,0.3,39.0,0.4,10.0,0.1
DH9  7,7979,7888.0,98.9,36.0,0.5,35.0,0.4,11.0,0.1
DH9  8,6866,6766.0,98.5,13.0,0.2,77.0,1.1,3.0,0.0
DH9  9,6834,6772.0,99.1,31.0,0.5,19.0,0.3,7.0,0.1
DL1  1,5013,4765.0,95.1,82.0,1.6,105.0,2.1,39.0,0.8
DL1  2,11974,11594.0,96.8,157.0,1.3,163.0,1.4,44.0,0.4
DL1  3,8602,8425.0,97.9,73.0,0.8,84.0,1.0,15.0,0.2
DL1  4,14290,13671.0,95.7,154.0,1.1,358.0,2.5,75.0,0.5
DL1  5,6492,6190.0,95.3,110.0,1.7,154.0,2.4,26.0,0.4
DL10 4,5249,5117.0,97.5,43.0,0.8,67.0,1.3,11.0,0.2
DL10 5,3414,3371.0,98.7,20.0,0.6,18.0,0.5,4.0,0.1
DL10 6,2858,2800.0,98.0,20.0,0.7,16.0,0.6,8.0,0.3
DL10 7,6903,6670.0,96.6,60.0,0.9,88.0,1.3,70.0,1.0
DL11 6,2030,1985.0,97.8,12.0,0.6,16.0,0.8,15.0,0.7
DL11 7,3278,3244.0,99.0,11.0,0.3,19.0,0.6,4.0,0.1
DL12 0,2494,2466.0,98.9,20.0,0.8,2.0,0.1,0.0,0.0
DL12 8,6802,6712.0,98.7,30.0,0.4,52.0,0.8,5.0,0.1
DL12 9,3111,3031.0,97.4,39.0,1.3,21.0,0.7,11.0,0.4
DL13 1,1481,1467.0,99.1,8.0,0.5,6.0,0.4,0.0,0.0
DL13 2,3100,3068.0,99.0,18.0,0.6,9.0,0.3,4.0,0.1
DL13 3,3119,3084.0,98.9,10.0,0.3,22.0,0.7,1.0,0.0
DL13 4,3154,3120.0,98.9,19.0,0.6,14.0,0.4,0.0,0.0
DL13 5,3304,3283.0,99.4,11.0,0.3,7.0,0.2,1.0,0.0
DL14 0,6311,6256.0,99.1,22.0,0.3,28.0,0.4,1.0,0.0
DL14 6,11580,11408.0,98.5,56.0,0.5,88.0,0.8,11.0,0.1
DL14 7,4682,4587.0,98.0,46.0,1.0,33.0,0.7,10.0,0.2
DL14 8,6803,6729.0,98.9,36.0,0.5,31.0,0.5,3.0,0.0
DL14 9,7696,7574.0,98.4,56.0,0.7,58.0,0.8,7.0,0.1
DL15 0,8730,8645.0,99.0,33.0,0.4,41.0,0.5,4.0,0.0
DL15 8,5297,5253.0,99.2,20.0,0.4,21.0,0.4,2.0,0.0
DL15 9,8470,8380.0,98.9,41.0,0.5,36.0,0.4,11.0,0.1
DL16 6,11219,11101.0,98.9,41.0,0.4,50.0,0.4,17.0,0.2
DL16 7,8597,8507.0,99.0,34.0,0.4,37.0,0.4,11.0,0.1
DL17 0,4954,4913.0,99.2,25.0,0.5,7.0,0.1,2.0,0.0
DL17 8,8942,8834.0,98.8,45.0,0.5,45.0,0.5,11.0,0.1
DL17 9,3776,3724.0,98.6,16.0,0.4,24.0,0.6,9.0,0.2
DL2  1,5868,5719.0,97.5,48.0,0.8,72.0,1.2,9.0,0.2
DL2  2,7198,7057.0,98.0,53.0,0.7,65.0,0.9,14.0,0.2
DL2  3,3914,3877.0,99.1,22.0,0.6,9.0,0.2,5.0,0.1
DL3  0,15145,14764.0,97.5,140.0,0.9,180.0,1.2,41.0,0.3
DL3  6,8624,7783.0,90.2,110.0,1.3,617.0,7.2,52.0,0.6
DL3  7,4094,3886.0,94.9,51.0,1.2,120.0,2.9,19.0,0.5
DL3  8,7742,7519.0,97.1,52.0,0.7,148.0,1.9,10.0,0.1
DL3  9,9107,8846.0,97.1,95.0,1.0,121.0,1.3,18.0,0.2
DL4  1,4942,4893.0,99.0,28.0,0.6,16.0,0.3,2.0,0.0
DL4  2,5034,4984.0,99.0,22.0,0.4,18.0,0.4,9.0,0.2
DL5  4,9515,9382.0,98.6,48.0,0.5,69.0,0.7,8.0,0.1
DL5  5,6185,6137.0,99.2,30.0,0.5,14.0,0.2,4.0,0.1
DL5  6,3997,3925.0,98.2,33.0,0.8,28.0,0.7,3.0,0.1
DL5  7,9643,9498.0,98.5,67.0,0.7,52.0,0.5,15.0,0.2
DL6  1,8869,8594.0,96.9,90.0,1.0,141.0,1.6,25.0,0.3
DL6  2,3981,3917.0,98.4,22.0,0.6,30.0,0.8,4.0,0.1
DL6  3,2665,2623.0,98.4,24.0,0.9,7.0,0.3,5.0,0.2
DL7  0,3135,3114.0,99.3,8.0,0.3,6.0,0.2,7.0,0.2
DL7  8,7726,7569.0,98.0,66.0,0.9,72.0,0.9,15.0,0.2
DL7  9,5357,5241.0,97.8,40.0,0.7,42.0,0.8,28.0,0.5
DL8  1,4562,4533.0,99.4,14.0,0.3,8.0,0.2,4.0,0.1
DL8  2,4514,4458.0,98.8,27.0,0.6,21.0,0.5,5.0,0.1
DL8  3,2928,2852.0,97.4,7.0,0.2,52.0,1.8,11.0,0.4
DL8  4,3071,3002.0,97.8,17.0,0.6,46.0,1.5,5.0,0.2
DL8  5,3575,3523.0,98.5,12.0,0.3,15.0,0.4,18.0,0.5
DL9  3,7423,6644.0,89.5,131.0,1.8,399.0,5.4,205.0,2.8
DL9  4,8436,7581.0,89.9,156.0,1.8,500.0,5.9,138.0,1.6
DN1  1,307,257.0,83.7,6.0,2.0,35.0,11.4,5.0,1.6
DN1  2,6392,4986.0,78.0,155.0,2.4,975.0,15.3,146.0,2.3
DN1  3,2036,1545.0,75.9,63.0,3.1,232.0,11.4,108.0,5.3
DN10 4,5286,5250.0,99.3,12.0,0.2,10.0,0.2,12.0,0.2
DN10 5,1631,1590.0,97.5,10.0,0.6,8.0,0.5,23.0,1.4
DN10 6,5169,5064.0,98.0,19.0,0.4,64.0,1.2,17.0,0.3
DN11 0,13537,13288.0,98.2,74.0,0.5,89.0,0.7,77.0,0.6
DN11 8,8294,8104.0,97.7,72.0,0.9,92.0,1.1,12.0,0.1
DN11 9,6521,6406.0,98.2,36.0,0.6,45.0,0.7,22.0,0.3
DN12 1,7856,7672.0,97.7,72.0,0.9,60.0,0.8,42.0,0.5
DN12 2,5928,5844.0,98.6,42.0,0.7,19.0,0.3,14.0,0.2
DN12 3,5803,5705.0,98.3,39.0,0.7,43.0,0.7,13.0,0.2
DN12 4,4532,4440.0,98.0,42.0,0.9,26.0,0.6,16.0,0.4
DN14 0,7301,7149.0,97.9,93.0,1.3,44.0,0.6,10.0,0.1
DN14 5,7850,7713.0,98.3,70.0,0.9,44.0,0.6,11.0,0.1
DN14 6,12960,12683.0,97.9,111.0,0.9,113.0,0.9,16.0,0.1
DN14 7,7172,7087.0,98.8,33.0,0.5,42.0,0.6,2.0,0.0
DN14 8,4824,4787.0,99.2,25.0,0.5,10.0,0.2,1.0,0.0
DN14 9,6135,6064.0,98.8,27.0,0.4,25.0,0.4,13.0,0.2
DN15 0,1067,1038.0,97.3,4.0,0.4,15.0,1.4,2.0,0.2
DN15 6,5106,4070.0,79.7,89.0,1.7,802.0,15.7,79.0,1.5
DN15 7,8581,6705.0,78.1,127.0,1.5,1568.0,18.3,100.0,1.2
DN15 8,12187,11336.0,93.0,116.0,1.0,578.0,4.7,102.0,0.8
DN15 9,9662,9532.0,98.7,64.0,0.7,56.0,0.6,4.0,0.0
DN16 1,9044,8713.0,96.3,77.0,0.9,202.0,2.2,21.0,0.2
DN16 2,8659,8410.0,97.1,54.0,0.6,155.0,1.8,19.0,0.2
DN16 3,13964,13549.0,97.0,112.0,0.8,253.0,1.8,24.0,0.2
DN17 1,12004,11664.0,97.2,96.0,0.8,197.0,1.6,29.0,0.2
DN17 2,11511,11244.0,97.7,92.0,0.8,137.0,1.2,20.0,0.2
DN17 3,7315,7184.0,98.2,38.0,0.5,81.0,1.1,11.0,0.2
DN17 4,6358,6273.0,98.7,29.0,0.5,50.0,0.8,5.0,0.1
DN18 5,8684,8576.0,98.8,52.0,0.6,42.0,0.5,5.0,0.1
DN18 6,3033,2983.0,98.4,21.0,0.7,22.0,0.7,7.0,0.2
DN19 7,6282,6202.0,98.7,42.0,0.7,22.0,0.4,12.0,0.2
DN2  4,8183,7420.0,90.7,143.0,1.7,441.0,5.4,137.0,1.7
DN2  5,8087,7272.0,89.9,119.0,1.5,558.0,6.9,100.0,1.2
DN2  6,8281,7458.0,90.1,159.0,1.9,457.0,5.5,136.0,1.6
DN20 0,6875,6792.0,98.8,44.0,0.6,28.0,0.4,4.0,0.1
DN20 8,6812,6654.0,97.7,39.0,0.6,92.0,1.4,10.0,0.1
DN20 9,5500,5396.0,98.1,29.0,0.5,45.0,0.8,14.0,0.3
DN21 1,11713,11405.0,97.4,118.0,1.0,110.0,0.9,70.0,0.6
DN21 2,6795,6627.0,97.5,59.0,0.9,92.0,1.4,12.0,0.2
DN21 3,7346,7238.0,98.5,23.0,0.3,76.0,1.0,6.0,0.1
DN21 4,5138,5068.0,98.6,33.0,0.6,33.0,0.6,4.0,0.1
DN21 5,6229,6145.0,98.7,35.0,0.6,41.0,0.7,4.0,0.1
DN22 0,4803,4568.0,95.1,40.0,0.8,129.0,2.7,57.0,1.2
DN22 6,7447,7219.0,96.9,80.0,1.1,128.0,1.7,15.0,0.2
DN22 7,14903,14623.0,98.1,116.0,0.8,115.0,0.8,34.0,0.2
DN22 8,5826,5451.0,93.6,115.0,2.0,136.0,2.3,107.0,1.8
DN22 9,3107,3061.0,98.5,26.0,0.8,9.0,0.3,7.0,0.2
DN3  1,8327,8182.0,98.3,38.0,0.5,64.0,0.8,33.0,0.4
DN3  2,11824,11459.0,96.9,105.0,0.9,167.0,1.4,78.0,0.7
DN3  3,9918,9690.0,97.7,93.0,0.9,89.0,0.9,35.0,0.4
DN31 1,1928,1820.0,94.4,41.0,2.1,53.0,2.7,13.0,0.7
DN31 2,7481,7271.0,97.2,71.0,0.9,95.0,1.3,20.0,0.3
DN31 3,210,207.0,98.6,2.0,1.0,1.0,0.5,0.0,0.0
DN32 0,6619,6326.0,95.6,74.0,1.1,170.0,2.6,29.0,0.4
DN32 7,6663,6386.0,95.8,76.0,1.1,111.0,1.7,35.0,0.5
DN32 8,8466,8347.0,98.6,58.0,0.7,43.0,0.5,9.0,0.1
DN32 9,8509,8232.0,96.7,64.0,0.8,150.0,1.8,33.0,0.4
DN33 1,7111,6992.0,98.3,53.0,0.7,34.0,0.5,20.0,0.3
DN33 2,5126,4811.0,93.9,43.0,0.8,220.0,4.3,24.0,0.5
DN33 3,7301,7023.0,96.2,53.0,0.7,169.0,2.3,21.0,0.3
DN34 4,8407,8227.0,97.9,54.0,0.6,106.0,1.3,6.0,0.1
DN34 5,10594,10362.0,97.8,76.0,0.7,111.0,1.0,25.0,0.2
DN35 0,8606,8486.0,98.6,46.0,0.5,46.0,0.5,9.0,0.1
DN35 7,11839,11577.0,97.8,118.0,1.0,87.0,0.7,24.0,0.2
DN35 8,8185,7837.0,95.7,65.0,0.8,221.0,2.7,27.0,0.3
DN35 9,5931,5863.0,98.9,24.0,0.4,29.0,0.5,7.0,0.1
DN36 4,10848,10543.0,97.2,55.0,0.5,166.0,1.5,36.0,0.3
DN36 5,8255,8148.0,98.7,42.0,0.5,35.0,0.4,14.0,0.2
DN37 0,7975,7809.0,97.9,36.0,0.5,81.0,1.0,21.0,0.3
DN37 7,3542,3462.0,97.7,29.0,0.8,47.0,1.3,3.0,0.1
DN37 8,400,399.0,99.8,0.0,0.0,1.0,0.2,0.0,0.0
DN37 9,9828,9671.0,98.4,68.0,0.7,52.0,0.5,16.0,0.2
DN38 6,3023,2952.0,97.7,29.0,1.0,31.0,1.0,8.0,0.3
DN39 6,2846,2802.0,98.5,6.0,0.2,34.0,1.2,1.0,0.0
DN4  0,10620,9555.0,90.0,212.0,2.0,515.0,4.8,206.0,1.9
DN4  5,5407,4397.0,81.3,140.0,2.6,675.0,12.5,112.0,2.1
DN4  6,11640,10866.0,93.4,132.0,1.1,480.0,4.1,92.0,0.8
DN4  7,7766,6938.0,89.3,102.0,1.3,633.0,8.2,44.0,0.6
DN4  8,7638,7029.0,92.0,141.0,1.8,275.0,3.6,162.0,2.1
DN4  9,10344,9985.0,96.5,85.0,0.8,186.0,1.8,84.0,0.8
DN40 1,5650,5573.0,98.6,31.0,0.5,36.0,0.6,5.0,0.1
DN40 2,3992,3929.0,98.4,25.0,0.6,15.0,0.4,12.0,0.3
DN40 3,2657,2607.0,98.1,14.0,0.5,22.0,0.8,2.0,0.1
DN41 7,2940,2829.0,96.2,16.0,0.5,79.0,2.7,11.0,0.4
DN41 8,3326,3303.0,99.3,12.0,0.4,4.0,0.1,6.0,0.2
DN5  0,9827,9498.0,96.7,171.0,1.7,76.0,0.8,70.0,0.7
DN5  7,8833,8691.0,98.4,44.0,0.5,62.0,0.7,23.0,0.3
DN5  8,11474,11019.0,96.0,117.0,1.0,209.0,1.8,74.0,0.6
DN5  9,10730,10367.0,96.6,116.0,1.1,131.0,1.2,92.0,0.9
DN6  0,6283,6138.0,97.7,77.0,1.2,55.0,0.9,10.0,0.2
DN6  7,10737,10491.0,97.7,95.0,0.9,89.0,0.8,56.0,0.5
DN6  8,8688,8577.0,98.7,55.0,0.6,36.0,0.4,11.0,0.1
DN6  9,5440,5372.0,98.8,33.0,0.6,28.0,0.5,3.0,0.1
DN7  4,8354,8180.0,97.9,67.0,0.8,82.0,1.0,14.0,0.2
DN7  5,7284,7080.0,97.2,58.0,0.8,105.0,1.4,36.0,0.5
DN7  6,8972,8292.0,92.4,167.0,1.9,308.0,3.4,177.0,2.0
DN8  4,9796,9647.0,98.5,45.0,0.5,77.0,0.8,11.0,0.1
DN8  5,7499,7379.0,98.4,52.0,0.7,52.0,0.7,8.0,0.1
DN9  1,8575,8443.0,98.5,44.0,0.5,64.0,0.7,10.0,0.1
DN9  2,5039,4977.0,98.8,15.0,0.3,37.0,0.7,7.0,0.1
DN9  3,6404,6218.0,97.1,85.0,1.3,79.0,1.2,15.0,0.2
DT1  1,5930,5706.0,96.2,70.0,1.2,100.0,1.7,31.0,0.5
DT1  2,10864,10531.0,96.9,112.0,1.0,190.0,1.7,21.0,0.2
DT1  3,2266,2177.0,96.1,33.0,1.5,51.0,2.3,4.0,0.2
DT10 1,6104,6033.0,98.8,36.0,0.6,30.0,0.5,3.0,0.0
DT10 2,5737,5660.0,98.7,34.0,0.6,28.0,0.5,13.0,0.2
DT11 0,7206,7088.0,98.4,48.0,0.7,38.0,0.5,20.0,0.3
DT11 7,10325,10017.0,97.0,98.0,0.9,183.0,1.8,13.0,0.1
DT11 8,7905,7507.0,95.0,66.0,0.8,263.0,3.3,55.0,0.7
DT11 9,4720,4653.0,98.6,29.0,0.6,32.0,0.7,3.0,0.1
DT2  0,3582,3541.0,98.9,16.0,0.4,15.0,0.4,4.0,0.1
DT2  7,5738,5650.0,98.5,45.0,0.8,38.0,0.7,4.0,0.1
DT2  8,7849,7746.0,98.7,54.0,0.7,43.0,0.5,2.0,0.0
DT2  9,7657,7585.0,99.1,33.0,0.4,26.0,0.3,8.0,0.1
DT3  4,5626,5544.0,98.5,42.0,0.7,37.0,0.7,2.0,0.0
DT3  5,8977,8838.0,98.5,59.0,0.7,70.0,0.8,7.0,0.1
DT3  6,8535,8403.0,98.5,55.0,0.6,62.0,0.7,9.0,0.1
DT4  0,12649,12376.0,97.8,127.0,1.0,120.0,0.9,15.0,0.1
DT4  7,7697,7400.0,96.1,82.0,1.1,172.0,2.2,29.0,0.4
DT4  8,4597,4418.0,96.1,58.0,1.3,87.0,1.9,19.0,0.4
DT4  9,12350,12156.0,98.4,100.0,0.8,76.0,0.6,14.0,0.1
DT5  1,6580,6164.0,93.7,127.0,1.9,50.0,0.8,219.0,3.3
DT5  2,6264,6174.0,98.6,63.0,1.0,16.0,0.3,11.0,0.2
DT6  3,6302,6194.0,98.3,53.0,0.8,30.0,0.5,16.0,0.3
DT6  4,5789,5714.0,98.7,46.0,0.8,19.0,0.3,5.0,0.1
DT6  5,5928,5844.0,98.6,41.0,0.7,25.0,0.4,14.0,0.2
DT6  6,3540,3499.0,98.8,23.0,0.6,11.0,0.3,0.0,0.0
DT7  3,5696,5577.0,97.9,52.0,0.9,57.0,1.0,4.0,0.1
DT8  3,6000,5955.0,99.2,26.0,0.4,10.0,0.2,6.0,0.1
DT9  3,3568,3375.0,94.6,49.0,1.4,112.0,3.1,20.0,0.6
DT9  4,5651,5461.0,96.6,38.0,0.7,130.0,2.3,16.0,0.3
DT9  5,4950,4908.0,99.2,24.0,0.5,13.0,0.3,0.0,0.0
DT9  6,6621,6530.0,98.6,28.0,0.4,49.0,0.7,11.0,0.2
DY1  1,748,510.0,68.2,11.0,1.5,147.0,19.7,67.0,9.0
DY1  2,14344,11557.0,80.6,377.0,2.6,1754.0,12.2,567.0,4.0
DY1  3,11246,9489.0,84.4,411.0,3.7,909.0,8.1,390.0,3.5
DY1  4,5793,5162.0,89.1,123.0,2.1,268.0,4.6,216.0,3.7
DY10 1,7077,6767.0,95.6,104.0,1.5,162.0,2.3,36.0,0.5
DY10 2,11110,10489.0,94.4,166.0,1.5,409.0,3.7,32.0,0.3
DY10 3,10247,10049.0,98.1,98.0,1.0,69.0,0.7,17.0,0.2
DY10 4,7380,7057.0,95.6,83.0,1.1,216.0,2.9,19.0,0.3
DY11 5,9960,9841.0,98.8,51.0,0.5,54.0,0.5,10.0,0.1
DY11 6,12434,12061.0,97.0,160.0,1.3,175.0,1.4,29.0,0.2
DY11 7,7683,7514.0,97.8,72.0,0.9,61.0,0.8,31.0,0.4
DY12 1,4960,4877.0,98.3,39.0,0.8,32.0,0.6,8.0,0.2
DY12 2,5976,5863.0,98.1,64.0,1.1,32.0,0.5,6.0,0.1
DY12 3,1369,1343.0,98.1,4.0,0.3,13.0,0.9,7.0,0.5
DY13 0,6755,6659.0,98.6,42.0,0.6,35.0,0.5,9.0,0.1
DY13 8,8832,8700.0,98.5,56.0,0.6,63.0,0.7,7.0,0.1
DY13 9,6622,6455.0,97.5,69.0,1.0,69.0,1.0,16.0,0.2
DY14 0,1775,1764.0,99.4,3.0,0.2,7.0,0.4,1.0,0.1
DY14 8,3843,3773.0,98.2,28.0,0.7,39.0,1.0,3.0,0.1
DY14 9,2911,2857.0,98.1,31.0,1.1,19.0,0.7,2.0,0.1
DY2  0,11024,9473.0,85.9,356.0,3.2,894.0,8.1,267.0,2.4
DY2  7,7648,4784.0,62.6,359.0,4.7,1950.0,25.5,490.0,6.4
DY2  8,7069,4353.0,61.6,269.0,3.8,1950.0,27.6,429.0,6.1
DY2  9,8720,7554.0,86.6,265.0,3.0,650.0,7.5,218.0,2.5
DY3  1,9578,9179.0,95.8,151.0,1.6,109.0,1.1,121.0,1.3
DY3  2,11240,10916.0,97.1,139.0,1.2,97.0,0.9,75.0,0.7
DY3  3,11109,10786.0,97.1,104.0,0.9,171.0,1.5,43.0,0.4
DY3  4,1803,1764.0,97.8,11.0,0.6,21.0,1.2,7.0,0.4
