posstcode sector,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
B20  3,14975,1783.0,11.9,535.0,3.6,9054.0,60.5,3311.0,22.1
B21  0,10012,1334.0,13.3,533.0,5.3,5620.0,56.1,2138.0,21.4
B21  8,9576,1730.0,18.1,473.0,4.9,4903.0,51.2,2037.0,21.3
B21  9,10738,1245.0,11.6,510.0,4.7,6586.0,61.3,2028.0,18.9
B23  5,15189,11396.0,75.0,819.0,5.4,1300.0,8.6,1584.0,10.4
B23  6,11113,7615.0,68.5,741.0,6.7,1326.0,11.9,1314.0,11.8
B23  7,16568,9786.0,59.1,1052.0,6.3,2910.0,17.6,2680.0,16.2
B24  0,10567,8560.0,81.0,453.0,4.3,795.0,7.5,677.0,6.4
B24  8,8028,4147.0,51.7,566.0,7.1,1958.0,24.4,1231.0,15.3
B24  9,10275,7888.0,76.8,537.0,5.2,1024.0,10.0,770.0,7.5
B25  8,16005,8850.0,55.3,798.0,5.0,5070.0,31.7,1018.0,6.4
B26  1,10895,8792.0,80.7,297.0,2.7,1472.0,13.5,267.0,2.5
B26  2,11456,9542.0,83.3,345.0,3.0,1117.0,9.8,399.0,3.5
B26  3,10475,9102.0,86.9,284.0,2.7,763.0,7.3,261.0,2.5
B27  6,9604,6327.0,65.9,425.0,4.4,2244.0,23.4,501.0,5.2
B27  7,15230,10077.0,66.2,724.0,4.8,3487.0,22.9,769.0,5.0
B28  0,14567,9657.0,66.3,428.0,2.9,3972.0,27.3,295.0,2.0
B28  8,7734,3293.0,42.6,254.0,3.3,3701.0,47.9,286.0,3.7
B28  9,7735,4239.0,54.8,274.0,3.5,2902.0,37.5,203.0,2.6
B29  4,6122,4733.0,77.3,307.0,5.0,591.0,9.7,293.0,4.8
B29  5,10203,8175.0,80.1,585.0,5.7,727.0,7.1,596.0,5.8
B29  6,13598,9332.0,68.6,542.0,4.0,2751.0,20.2,655.0,4.8
B29  7,12101,8968.0,74.1,522.0,4.3,2018.0,16.7,430.0,3.6
