postcode sector,EUpassport2011,%
CH1  3,244.0,6.7
CH1  4,275.0,4.1
CH1  5,285.0,2.1
CH1  6,50.0,1.0
CH2  1,151.0,1.6
CH2  2,272.0,3.5
CH2  3,318.0,3.3
CH2  4,61.0,0.8
CH3  5,219.0,1.8
CH3  6,58.0,1.2
CH3  7,59.0,0.9
CH3  8,18.0,0.5
CH3  9,41.0,1.0
CH4  0,88.0,0.9
CH4  7,198.0,2.8
CH4  8,330.0,2.9
CH4  9,38.0,1.1
CH41 0,8.0,0.2
CH41 1,5.0,1.0
CH41 2,59.0,2.0
CH41 3,29.0,2.3
CH41 4,20.0,0.7
CH41 5,16.0,2.2
CH41 6,4.0,2.7
CH41 7,23.0,1.0
CH41 8,29.0,1.1
CH41 9,14.0,0.9
CH42 0,62.0,2.3
CH42 1,46.0,1.4
CH42 2,14.0,0.6
CH42 3,26.0,1.0
CH42 4,12.0,0.3
CH42 5,29.0,0.9
CH42 6,19.0,0.4
CH42 7,51.0,2.2
CH42 8,10.0,0.4
CH42 9,69.0,1.8
CH43 0,12.0,0.2
CH43 1,29.0,1.1
CH43 2,34.0,0.8
CH43 3,9.0,0.3
CH43 4,41.0,1.4
CH43 5,37.0,1.0
CH43 6,17.0,1.0
CH43 7,54.0,0.9
CH43 8,14.0,0.8
CH43 9,52.0,0.6
CH44 0,45.0,1.4
CH44 1,18.0,0.7
CH44 2,17.0,0.6
CH44 3,21.0,0.9
CH44 4,36.0,0.8
CH44 5,21.0,0.7
CH44 6,8.0,0.3
CH44 7,24.0,1.3
CH44 8,46.0,1.4
CH44 9,41.0,1.1
CH45 0,2.0,0.1
CH45 1,21.0,0.8
CH45 2,70.0,2.8
CH45 3,9.0,0.4
CH45 4,15.0,0.4
CH45 5,35.0,0.7
CH45 6,5.0,0.2
CH45 7,16.0,0.5
CH45 8,41.0,0.9
CH45 9,36.0,1.7
CH46 0,22.0,0.6
CH46 1,18.0,0.7
CH46 2,19.0,0.7
CH46 3,24.0,1.3
CH46 5,2.0,0.4
CH46 6,37.0,0.7
CH46 7,2.0,0.1
CH46 8,6.0,0.2
CH46 9,14.0,0.5
CH47 0,10.0,1.6
CH47 1,6.0,0.9
CH47 2,22.0,1.0
CH47 3,12.0,0.5
CH47 4,4.0,0.4
CH47 5,3.0,0.4
CH47 6,5.0,0.5
CH47 7,4.0,0.3
CH47 9,1.0,0.1
CH48 0,40.0,2.3
CH48 1,7.0,0.8
CH48 2,15.0,1.1
CH48 3,31.0,2.2
CH48 4,22.0,2.7
CH48 5,21.0,0.8
CH48 6,28.0,1.3
CH48 7,1.0,0.2
CH48 8,12.0,0.9
CH48 9,13.0,0.6
CH49 0,7.0,0.4
CH49 1,4.0,0.2
CH49 2,13.0,0.4
CH49 3,8.0,0.2
CH49 4,17.0,0.3
CH49 5,6.0,0.4
CH49 6,13.0,0.3
CH49 7,13.0,0.6
CH49 8,12.0,0.4
CH49 9,4.0,0.2
CH5  1,350.0,4.1
CH5  2,369.0,5.1
CH5  3,97.0,1.0
CH5  4,452.0,2.7
CH6  5,419.0,3.2
CH6  6,109.0,2.8
CH60 0,11.0,0.9
CH60 1,17.0,0.9
CH60 2,8.0,0.5
CH60 3,8.0,0.8
CH60 4,3.0,0.4
CH60 5,12.0,0.6
CH60 6,23.0,1.8
CH60 7,12.0,1.0
CH60 8,7.0,0.7
CH60 9,3.0,0.2
CH61 0,3.0,0.6
CH61 1,7.0,0.6
CH61 2,1.0,0.2
CH61 3,9.0,0.6
CH61 4,5.0,0.2
CH61 5,14.0,0.5
CH61 6,7.0,0.3
CH61 7,5.0,0.3
CH61 8,4.0,0.2
CH61 9,4.0,0.2
CH62 0,3.0,0.3
CH62 1,49.0,1.6
CH62 2,33.0,0.9
CH62 3,4.0,0.3
CH62 4,15.0,0.8
CH62 5,43.0,1.8
CH62 6,12.0,0.3
CH62 7,27.0,0.8
CH62 8,21.0,0.4
CH62 9,11.0,0.3
CH63 0,9.0,0.2
CH63 1,1.0,0.3
CH63 2,26.0,0.5
CH63 3,30.0,0.7
CH63 4,0.0,0.0
CH63 5,31.0,0.8
CH63 6,5.0,0.9
CH63 7,33.0,0.8
CH63 8,18.0,0.6
CH63 9,13.0,0.3
CH64 0,13.0,0.5
CH64 1,10.0,0.7
CH64 2,3.0,0.3
CH64 3,24.0,1.2
CH64 4,30.0,1.1
CH64 5,14.0,1.5
CH64 6,22.0,0.8
CH64 7,5.0,1.7
CH64 8,0.0,0.0
CH64 9,45.0,1.0
CH65 0,18.0,1.5
CH65 2,47.0,1.8
CH65 3,33.0,2.9
CH65 4,45.0,5.1
CH65 5,79.0,2.3
CH65 6,15.0,0.5
CH65 7,48.0,1.3
CH65 8,145.0,3.1
CH65 9,62.0,1.1
CH66 1,68.0,1.1
CH66 2,71.0,0.6
CH66 3,74.0,1.2
CH66 4,60.0,0.7
CH66 5,9.0,0.9
CH66 6,2.0,0.5
CH66 7,6.0,3.2
CH7  1,127.0,1.3
CH7  2,108.0,1.1
CH7  3,60.0,1.0
CH7  4,35.0,0.6
CH7  5,37.0,0.6
CH7  6,69.0,0.6
CH8  7,83.0,0.9
CH8  8,35.0,0.6
CH8  9,38.0,0.7
CM0  7,37.0,0.4
CM0  8,61.0,0.8
CM1  1,186.0,5.2
CM1  2,426.0,2.7
CM1  3,216.0,2.5
CM1  4,246.0,1.9
CM1  6,200.0,1.5
CM1  7,140.0,1.7
CM11 1,53.0,0.7
CM11 2,132.0,1.1
CM12 0,188.0,1.5
CM12 9,81.0,1.1
CM13 1,110.0,1.3
CM13 2,168.0,1.6
CM13 3,75.0,1.3
CM14 4,285.0,2.7
CM14 5,263.0,2.9
CM15 0,55.0,0.6
CM15 8,120.0,2.1
CM15 9,127.0,1.4
CM16 4,98.0,2.7
CM16 5,47.0,1.3
CM16 6,113.0,1.4
CM16 7,83.0,1.2
CM17 0,106.0,1.5
CM17 9,322.0,2.2
CM18 6,410.0,3.2
CM18 7,464.0,4.0
CM19 4,507.0,4.7
CM19 5,221.0,2.8
CM2  0,245.0,4.6
CM2  6,298.0,2.0
CM2  7,133.0,1.6
CM2  8,171.0,1.1
CM2  9,241.0,1.6
CM20 1,286.0,4.5
CM20 2,171.0,4.3
CM20 3,435.0,3.9
CM21 0,60.0,1.4
CM21 9,103.0,1.6
CM22 6,180.0,2.6
CM22 7,115.0,1.8
CM23 1,26.0,1.7
CM23 2,432.0,5.9
CM23 3,680.0,7.3
CM23 4,342.0,2.6
CM23 5,616.0,6.8
CM24 8,187.0,2.8
CM3  1,45.0,0.8
CM3  2,49.0,0.9
CM3  3,45.0,0.9
CM3  4,84.0,0.9
CM3  5,142.0,1.0
CM3  6,46.0,0.5
CM3  7,14.0,0.9
CM3  8,34.0,1.1
CM4  0,64.0,1.4
CM4  9,35.0,0.6
CM5  0,62.0,1.1
CM5  9,39.0,0.8
CM6  1,280.0,2.4
CM6  2,71.0,1.1
CM6  3,195.0,2.7
CM7  1,283.0,3.0
CM7  2,132.0,2.4
CM7  3,597.0,5.4
CM7  4,41.0,1.0
CM7  5,167.0,1.8
CM7  9,188.0,2.0
CM77 6,39.0,1.5
CM77 7,121.0,1.6
CM77 8,52.0,1.0
CM8  1,370.0,2.6
CM8  2,303.0,2.5
CM8  3,58.0,0.8
CM9  4,44.0,0.5
CM9  5,96.0,2.3
CM9  6,86.0,0.8
CM9  8,75.0,0.8
CO1  1,305.0,6.5
CO1  2,632.0,6.1
CO10 0,159.0,1.2
CO10 1,169.0,2.0
CO10 2,75.0,1.7
CO10 5,23.0,1.0
CO10 7,69.0,1.1
CO10 8,42.0,0.8
CO10 9,66.0,1.1
CO11 1,43.0,0.8
CO11 2,54.0,0.7
CO12 3,153.0,2.2
CO12 4,88.0,0.8
CO12 5,34.0,0.9
CO13 0,43.0,0.5
CO13 9,52.0,1.3
CO14 8,73.0,1.1
CO15 1,123.0,1.7
CO15 2,47.0,0.7
CO15 3,123.0,1.4
CO15 4,45.0,0.6
CO15 5,45.0,0.7
CO15 6,115.0,2.0
CO16 0,23.0,0.8
CO16 7,27.0,0.5
CO16 8,51.0,0.5
CO16 9,21.0,0.4
CO2  0,28.0,0.6
CO2  7,260.0,2.8
CO2  8,489.0,3.9
CO2  9,120.0,1.4
CO3  0,99.0,1.3
CO3  3,273.0,3.4
CO3  4,94.0,1.4
CO3  8,11.0,1.3
CO3  9,65.0,1.3
CO4  0,165.0,2.3
CO4  3,1277.0,7.1
CO4  5,471.0,3.4
CO4  9,282.0,3.2
CO5  0,77.0,0.8
CO5  7,42.0,0.9
CO5  8,71.0,1.0
CO5  9,51.0,0.8
CO6  1,91.0,0.9
CO6  2,35.0,0.6
CO6  3,39.0,0.6
CO6  4,72.0,1.2
CO6  5,17.0,2.0
CO7  0,51.0,0.6
CO7  6,51.0,0.9
CO7  7,50.0,0.9
CO7  8,41.0,0.7
CO7  9,218.0,2.9
CO8  5,26.0,1.1
CO9  1,107.0,1.1
CO9  2,78.0,1.3
CO9  3,62.0,1.1
CO9  4,42.0,1.0
CR0  0,510.0,2.8
CR0  1,1010.0,11.3
CR0  2,1601.0,8.3
CR0  3,1443.0,7.7
CR0  4,1029.0,6.1
CR0  5,518.0,4.8
CR0  6,1644.0,7.5
CR0  7,559.0,3.5
CR0  8,409.0,3.2
CR0  9,347.0,3.3
CR2  0,351.0,3.2
CR2  6,725.0,6.7
CR2  7,443.0,5.4
CR2  8,228.0,2.0
CR2  9,115.0,1.6
CR3  0,91.0,2.1
CR3  5,206.0,1.6
CR3  6,226.0,2.4
CR3  7,77.0,3.6
CR4  1,1454.0,8.6
CR4  2,2078.0,15.5
CR4  3,2519.0,13.4
CR4  4,847.0,8.8
CR5  1,210.0,2.0
CR5  2,192.0,2.1
CR5  3,138.0,1.5
CR6  9,155.0,1.6
CR7  6,557.0,6.2
CR7  7,1312.0,7.4
CR7  8,1212.0,6.7
CR8  1,128.0,2.6
CR8  2,391.0,4.7
CR8  3,133.0,2.7
CR8  4,221.0,3.6
CR8  5,243.0,2.9
CT1  1,945.0,6.5
CT1  2,505.0,11.8
CT1  3,744.0,6.2
CT10 1,173.0,2.5
CT10 2,128.0,1.2
CT10 3,109.0,1.5
CT11 0,106.0,1.4
CT11 7,179.0,2.0
CT11 8,343.0,6.0
CT11 9,329.0,4.8
CT12 4,30.0,0.8
CT12 5,27.0,1.0
CT12 6,151.0,1.3
CT13 0,46.0,0.8
CT13 9,93.0,3.2
CT14 0,57.0,1.9
CT14 6,80.0,1.5
CT14 7,176.0,1.9
CT14 8,49.0,1.8
CT14 9,141.0,0.9
CT15 4,49.0,1.3
CT15 5,70.0,2.1
CT15 6,29.0,1.2
CT15 7,40.0,1.1
CT16 1,258.0,7.5
CT16 2,275.0,2.6
CT16 3,66.0,1.2
CT17 0,330.0,2.7
CT17 9,566.0,5.8
CT18 7,148.0,1.4
CT18 8,35.0,1.1
CT19 4,109.0,1.2
CT19 5,247.0,2.4
CT19 6,202.0,2.1
CT2  0,95.0,1.6
CT2  7,943.0,7.0
CT2  8,427.0,5.6
CT2  9,150.0,4.0
CT20 1,525.0,7.5
CT20 2,419.0,5.6
CT20 3,101.0,1.3
CT21 4,49.0,1.1
CT21 5,117.0,1.8
CT21 6,97.0,1.5
CT3  1,99.0,1.7
CT3  2,35.0,1.0
CT3  3,34.0,0.8
CT3  4,95.0,2.6
CT4  5,92.0,2.2
CT4  6,68.0,1.3
CT4  7,128.0,2.3
CT4  8,28.0,1.5
CT5  1,128.0,1.7
CT5  2,82.0,1.0
CT5  3,74.0,1.1
CT5  4,108.0,1.0
CT6  5,88.0,1.2
CT6  6,78.0,0.8
CT6  7,77.0,0.6
CT6  8,57.0,0.7
CT7  0,41.0,1.0
CT7  9,93.0,1.3
CT8  8,103.0,1.4
CT9  1,536.0,7.9
CT9  2,1422.0,13.2
CT9  3,182.0,1.6
CT9  4,68.0,1.8
CT9  5,203.0,1.8
CV1  1,69.0,15.8
CV1  2,680.0,10.1
CV1  3,465.0,9.3
CV1  4,679.0,8.3
CV1  5,999.0,9.2
CV10 0,126.0,1.0
CV10 7,132.0,1.2
CV10 8,178.0,1.5
CV10 9,199.0,1.4
CV11 4,167.0,1.4
CV11 5,405.0,3.6
CV11 6,125.0,0.8
CV12 0,129.0,1.4
CV12 8,46.0,0.4
CV12 9,78.0,0.7
CV13 0,48.0,0.7
CV13 6,23.0,0.5
CV2  1,537.0,4.5
CV2  2,382.0,3.1
CV2  3,553.0,4.3
CV2  4,1499.0,11.0
CV2  5,292.0,2.4
CV21 1,669.0,6.8
CV21 2,892.0,11.2
CV21 3,916.0,9.0
CV21 4,181.0,2.4
CV22 5,222.0,2.4
CV22 6,379.0,3.6
CV22 7,697.0,4.5
CV23 0,262.0,2.7
CV23 8,60.0,1.1
CV23 9,152.0,2.3
CV3  1,901.0,10.1
CV3  2,331.0,2.0
CV3  3,498.0,6.3
CV3  4,129.0,3.0
CV3  5,400.0,3.0
CV3  6,225.0,1.8
CV31 1,829.0,6.8
CV31 2,482.0,3.9
CV31 3,461.0,6.5
CV32 4,212.0,6.7
CV32 5,447.0,5.4
CV32 6,232.0,3.1
CV32 7,292.0,2.1
CV33 9,65.0,1.1
CV34 4,126.0,2.6
CV34 5,271.0,1.9
CV34 6,273.0,2.2
CV35 0,57.0,1.0
CV35 7,75.0,1.4
CV35 8,54.0,1.0
CV35 9,98.0,1.3
CV36 4,88.0,1.4
CV36 5,26.0,0.9
CV37 0,327.0,4.9
CV37 6,433.0,6.5
CV37 7,273.0,3.2
CV37 8,110.0,1.6
CV37 9,442.0,3.7
CV4  7,536.0,6.0
CV4  8,316.0,3.9
CV4  9,451.0,2.7
CV47 0,28.0,1.3
CV47 1,44.0,1.0
CV47 2,74.0,1.4
CV47 7,12.0,1.6
CV47 8,14.0,0.6
CV47 9,22.0,1.1
CV5  6,515.0,4.3
CV5  7,124.0,1.0
CV5  8,397.0,3.2
CV5  9,100.0,1.0
CV6  1,510.0,3.7
CV6  2,254.0,2.1
CV6  3,729.0,6.7
CV6  4,741.0,5.7
CV6  5,1127.0,8.4
CV6  6,549.0,5.1
CV6  7,556.0,4.5
CV7  7,89.0,0.8
CV7  8,194.0,2.3
CV7  9,183.0,2.1
CV8  1,186.0,1.7
CV8  2,236.0,1.8
CV8  3,88.0,1.3
CV9  1,73.0,1.3
CV9  2,72.0,0.8
CV9  3,38.0,0.6
CW1  2,140.0,9.3
CW1  3,1104.0,6.4
CW1  4,319.0,2.7
CW1  5,109.0,1.0
CW1  6,20.0,1.7
CW10 0,90.0,1.2
CW10 9,128.0,1.9
CW11 1,48.0,0.7
CW11 2,10.0,0.5
CW11 3,55.0,0.8
CW11 4,33.0,0.5
CW12 1,71.0,1.8
CW12 2,35.0,0.7
CW12 3,48.0,0.5
CW12 4,69.0,0.7
CW2  5,63.0,0.8
CW2  6,530.0,5.0
CW2  7,1129.0,12.2
CW2  8,254.0,1.9
CW3  0,15.0,0.5
CW3  9,47.0,0.7
CW4  7,46.0,0.8
CW4  8,33.0,0.9
CW5  5,88.0,1.1
CW5  6,66.0,0.9
CW5  7,103.0,1.1
CW5  8,30.0,0.7
CW6  0,47.0,0.7
CW6  9,24.0,0.5
CW7  1,81.0,0.9
CW7  2,91.0,0.8
CW7  3,92.0,1.0
CW7  4,6.0,0.3
CW8  1,127.0,1.5
CW8  2,59.0,0.6
CW8  3,32.0,0.4
CW8  4,62.0,0.6
CW9  5,123.0,3.6
CW9  6,26.0,0.5
CW9  7,246.0,2.3
CW9  8,113.0,0.8
DA1  1,465.0,4.8
DA1  2,554.0,4.7
DA1  3,251.0,2.1
DA1  4,144.0,1.7
DA1  5,475.0,4.3
DA10 0,187.0,2.8
DA11 0,958.0,10.8
DA11 7,250.0,2.8
DA11 8,275.0,2.5
DA11 9,697.0,7.6
DA12 1,645.0,9.6
DA12 2,991.0,11.1
DA12 3,42.0,1.8
DA12 4,272.0,1.9
DA12 5,411.0,2.7
DA13 0,86.0,1.0
DA13 9,42.0,0.8
DA14 4,181.0,1.9
DA14 5,77.0,1.8
DA14 6,184.0,2.5
DA15 7,91.0,1.7
DA15 8,223.0,1.5
DA15 9,148.0,1.6
DA16 1,270.0,2.1
DA16 2,287.0,2.0
DA16 3,229.0,2.5
DA17 5,537.0,5.1
DA17 6,242.0,3.6
DA18 4,302.0,6.1
DA2  6,356.0,3.7
DA2  7,115.0,1.0
DA2  8,32.0,1.9
DA3  7,73.0,0.9
DA3  8,85.0,1.0
DA4  0,41.0,1.3
DA4  9,56.0,0.9
DA5  1,98.0,1.4
DA5  2,54.0,1.0
DA5  3,83.0,1.0
DA6  7,69.0,1.6
DA6  8,116.0,2.1
DA7  4,228.0,1.9
DA7  5,137.0,1.1
DA7  6,137.0,1.2
DA8  1,479.0,3.6
DA8  2,382.0,3.5
DA8  3,209.0,2.0
DA9  9,503.0,3.8
DE1  1,273.0,5.4
DE1  2,215.0,8.9
DE1  3,297.0,4.7
DE11 0,88.0,0.6
DE11 7,89.0,0.9
DE11 8,51.0,0.8
DE11 9,102.0,0.8
DE12 6,34.0,0.4
DE12 7,240.0,2.6
DE12 8,56.0,1.5
DE13 0,367.0,1.9
DE13 7,16.0,0.4
DE13 8,41.0,0.5
DE13 9,72.0,0.8
DE14 1,232.0,9.4
DE14 2,776.0,6.2
DE14 3,1265.0,9.1
DE15 0,299.0,3.1
DE15 9,353.0,2.4
DE21 2,118.0,1.1
DE21 4,249.0,1.9
DE21 5,25.0,0.7
DE21 6,428.0,2.5
DE21 7,95.0,0.8
DE22 1,166.0,2.6
DE22 2,144.0,1.1
DE22 3,1218.0,6.9
DE22 4,119.0,1.5
DE22 5,6.0,0.6
DE23 1,198.0,2.3
DE23 2,43.0,1.4
DE23 3,97.0,1.6
DE23 4,39.0,1.5
DE23 6,1099.0,5.8
DE23 8,1921.0,9.3
DE24 0,223.0,1.4
DE24 1,38.0,3.8
DE24 3,70.0,1.1
DE24 5,21.0,1.6
DE24 8,879.0,5.3
DE24 9,415.0,3.0
DE3  0,84.0,1.1
DE3  9,109.0,1.2
DE4  2,58.0,0.6
DE4  3,93.0,0.8
DE4  4,49.0,0.7
DE4  5,40.0,0.8
DE45 1,79.0,0.9
DE5  3,80.0,0.6
DE5  8,14.0,0.4
DE5  9,34.0,0.7
DE55 1,51.0,0.8
DE55 2,87.0,1.2
DE55 3,42.0,1.1
DE55 4,115.0,1.3
DE55 5,39.0,0.5
DE55 6,29.0,0.4
DE55 7,190.0,2.0
DE56 0,66.0,0.5
DE56 1,111.0,0.8
DE56 2,40.0,0.4
DE56 4,58.0,1.1
DE6  1,169.0,1.5
DE6  2,45.0,0.8
DE6  3,13.0,0.4
DE6  4,12.0,1.1
DE6  5,40.0,0.9
DE65 5,135.0,1.1
DE65 6,88.0,0.8
DE7  4,68.0,0.5
DE7  5,148.0,1.5
DE7  6,44.0,0.4
DE7  8,82.0,0.6
DE7  9,20.0,0.6
DE72 2,14.0,0.3
DE72 3,102.0,0.6
DE73 5,53.0,1.1
DE73 6,56.0,0.9
DE73 7,11.0,0.6
DE73 8,47.0,0.8
DE74 2,210.0,1.8
DE75 7,178.0,1.0
DH1  1,259.0,2.8
DH1  2,162.0,1.9
DH1  3,329.0,3.4
DH1  4,261.0,3.4
DH1  5,187.0,1.3
DH2  1,48.0,0.4
DH2  2,47.0,0.5
DH2  3,26.0,0.3
DH3  1,87.0,1.2
DH3  2,31.0,0.6
DH3  3,48.0,0.7
DH3  4,33.0,0.5
DH4  4,44.0,0.5
DH4  5,18.0,0.3
DH4  6,31.0,0.3
DH4  7,38.0,0.4
DH5  0,21.0,0.3
DH5  8,33.0,0.6
DH5  9,19.0,0.3
DH6  1,47.0,0.7
DH6  2,28.0,0.3
DH6  3,33.0,0.6
DH6  4,35.0,0.5
DH6  5,77.0,1.6
DH7  0,39.0,0.7
DH7  6,48.0,0.6
DH7  7,70.0,0.9
DH7  8,68.0,0.7
DH7  9,51.0,0.5
DH8  0,42.0,0.6
DH8  5,135.0,2.1
DH8  6,159.0,2.3
DH8  7,190.0,2.1
DH8  8,113.0,1.7
DH8  9,18.0,0.6
DH9  0,29.0,0.6
DH9  6,51.0,0.5
DH9  7,22.0,0.3
DH9  8,22.0,0.3
DH9  9,35.0,0.5
DL1  1,98.0,2.0
DL1  2,124.0,1.0
DL1  3,64.0,0.7
DL1  4,388.0,2.7
DL1  5,133.0,2.0
DL10 4,50.0,1.0
DL10 5,24.0,0.7
DL10 6,13.0,0.5
DL10 7,47.0,0.7
DL11 6,22.0,1.1
DL11 7,21.0,0.6
DL12 0,4.0,0.2
DL12 8,38.0,0.6
DL12 9,23.0,0.7
DL13 1,4.0,0.3
DL13 2,6.0,0.2
DL13 3,9.0,0.3
DL13 4,5.0,0.2
DL13 5,6.0,0.2
DL14 0,26.0,0.4
DL14 6,78.0,0.7
DL14 7,35.0,0.7
DL14 8,38.0,0.6
DL14 9,115.0,1.5
DL15 0,26.0,0.3
DL15 8,22.0,0.4
DL15 9,49.0,0.6
DL16 6,34.0,0.3
DL16 7,45.0,0.5
DL17 0,14.0,0.3
DL17 8,31.0,0.3
DL17 9,27.0,0.7
DL2  1,20.0,0.3
DL2  2,54.0,0.8
DL2  3,20.0,0.5
DL3  0,150.0,1.0
DL3  6,286.0,3.3
DL3  7,108.0,2.6
DL3  8,53.0,0.7
DL3  9,48.0,0.5
DL4  1,27.0,0.5
DL4  2,30.0,0.6
DL5  4,79.0,0.8
DL5  5,48.0,0.8
DL5  6,16.0,0.4
DL5  7,120.0,1.2
DL6  1,82.0,0.9
DL6  2,32.0,0.8
DL6  3,22.0,0.8
DL7  0,12.0,0.4
DL7  8,62.0,0.8
DL7  9,73.0,1.4
DL8  1,44.0,1.0
DL8  2,42.0,0.9
DL8  3,60.0,2.0
DL8  4,40.0,1.3
DL8  5,17.0,0.5
DL9  3,63.0,0.8
DL9  4,133.0,1.6
DN1  1,75.0,24.4
DN1  2,1106.0,17.3
DN1  3,162.0,8.0
DN10 4,23.0,0.4
DN10 5,6.0,0.4
DN10 6,47.0,0.9
DN11 0,108.0,0.8
DN11 8,66.0,0.8
DN11 9,26.0,0.4
DN12 1,141.0,1.8
DN12 2,28.0,0.5
DN12 3,16.0,0.3
DN12 4,31.0,0.7
DN14 0,50.0,0.7
DN14 5,504.0,6.4
DN14 6,1092.0,8.4
DN14 7,58.0,0.8
DN14 8,36.0,0.7
DN14 9,53.0,0.9
DN15 0,18.0,1.7
DN15 6,927.0,18.2
DN15 7,976.0,11.4
DN15 8,836.0,6.9
DN15 9,75.0,0.8
DN16 1,346.0,3.8
DN16 2,177.0,2.0
DN16 3,266.0,1.9
DN17 1,403.0,3.4
DN17 2,210.0,1.8
DN17 3,69.0,0.9
DN17 4,15.0,0.2
DN18 5,31.0,0.4
DN18 6,33.0,1.1
DN19 7,42.0,0.7
DN2  4,542.0,6.6
DN2  5,314.0,3.9
DN2  6,315.0,3.8
DN20 0,46.0,0.7
DN20 8,87.0,1.3
DN20 9,102.0,1.9
DN21 1,195.0,1.7
DN21 2,80.0,1.2
DN21 3,49.0,0.7
DN21 4,44.0,0.9
DN21 5,37.0,0.6
DN22 0,55.0,1.1
DN22 6,124.0,1.7
DN22 7,196.0,1.3
DN22 8,69.0,1.2
DN22 9,33.0,1.1
DN3  1,74.0,0.9
DN3  2,307.0,2.6
DN3  3,206.0,2.1
DN31 1,86.0,4.5
DN31 2,252.0,3.4
DN31 3,10.0,4.8
DN32 0,157.0,2.4
DN32 7,260.0,3.9
DN32 8,102.0,1.2
DN32 9,256.0,3.0
DN33 1,85.0,1.2
DN33 2,43.0,0.8
DN33 3,35.0,0.5
DN34 4,80.0,1.0
DN34 5,141.0,1.3
DN35 0,33.0,0.4
DN35 7,140.0,1.2
DN35 8,155.0,1.9
DN35 9,19.0,0.3
DN36 4,65.0,0.6
DN36 5,88.0,1.1
DN37 0,32.0,0.4
DN37 7,15.0,0.4
DN37 8,1.0,0.2
DN37 9,82.0,0.8
DN38 6,15.0,0.5
DN39 6,11.0,0.4
DN4  0,767.0,7.2
DN4  5,455.0,8.4
DN4  6,136.0,1.2
DN4  7,144.0,1.9
DN4  8,449.0,5.9
DN4  9,180.0,1.7
DN40 1,64.0,1.1
DN40 2,42.0,1.1
DN40 3,15.0,0.6
DN41 7,20.0,0.7
DN41 8,18.0,0.5
DN5  0,117.0,1.2
DN5  7,42.0,0.5
DN5  8,178.0,1.6
DN5  9,144.0,1.3
DN6  0,42.0,0.7
DN6  7,100.0,0.9
DN6  8,47.0,0.5
DN6  9,17.0,0.3
DN7  4,71.0,0.8
DN7  5,54.0,0.7
DN7  6,75.0,0.8
DN8  4,123.0,1.3
DN8  5,117.0,1.6
DN9  1,42.0,0.5
DN9  2,20.0,0.4
DN9  3,54.0,0.8
DT1  1,72.0,1.2
DT1  2,102.0,0.9
DT1  3,34.0,1.5
DT10 1,117.0,1.9
DT10 2,54.0,0.9
DT11 0,69.0,1.0
DT11 7,154.0,1.5
DT11 8,95.0,1.2
DT11 9,55.0,1.2
DT2  0,50.0,1.4
DT2  7,55.0,1.0
DT2  8,54.0,0.7
DT2  9,85.0,1.1
DT3  4,44.0,0.8
DT3  5,115.0,1.3
DT3  6,69.0,0.8
DT4  0,168.0,1.3
DT4  7,236.0,3.1
DT4  8,119.0,2.6
DT4  9,94.0,0.8
DT5  1,120.0,1.8
DT5  2,22.0,0.4
DT6  3,69.0,1.1
DT6  4,43.0,0.7
DT6  5,48.0,0.8
DT6  6,19.0,0.5
DT7  3,46.0,0.8
DT8  3,49.0,0.8
DT9  3,57.0,1.6
DT9  4,79.0,1.4
DT9  5,40.0,0.8
DT9  6,37.0,0.6
DY1  1,47.0,6.3
DY1  2,207.0,1.4
DY1  3,103.0,0.9
DY1  4,89.0,1.5
DY10 1,232.0,3.3
DY10 2,237.0,2.1
DY10 3,106.0,1.0
DY10 4,74.0,1.0
DY11 5,52.0,0.5
DY11 6,174.0,1.4
DY11 7,100.0,1.3
DY12 1,24.0,0.5
DY12 2,51.0,0.9
DY12 3,22.0,1.6
DY13 0,45.0,0.7
DY13 8,58.0,0.7
DY13 9,62.0,0.9
DY14 0,5.0,0.3
DY14 8,38.0,1.0
DY14 9,10.0,0.3
DY2  0,80.0,0.7
DY2  7,177.0,2.3
DY2  8,130.0,1.8
DY2  9,51.0,0.6
DY3  1,33.0,0.3
DY3  2,26.0,0.2
DY3  3,27.0,0.2
DY3  4,7.0,0.4
DY4  0,244.0,1.8
DY4  7,481.0,4.9
DY4  8,311.0,2.8
DY4  9,189.0,2.4
DY5  1,62.0,1.0
DY5  2,86.0,0.6
DY5  3,101.0,0.8
DY5  4,63.0,0.7
DY6  0,4.0,0.1
DY6  7,15.0,0.4
DY6  8,33.0,0.3
DY6  9,19.0,0.2
DY7  5,17.0,0.8
DY7  6,25.0,0.4
DY8  1,73.0,1.3
DY8  2,36.0,0.6
DY8  3,60.0,0.5
DY8  4,65.0,0.5
DY8  5,41.0,0.3
DY9  0,62.0,0.6
DY9  7,49.0,1.0
DY9  8,85.0,1.4
DY9  9,33.0,0.4
E1   0,758.0,6.8
E1   1,725.0,11.5
E1   2,648.0,8.2
E1   3,555.0,7.5
E1   4,1227.0,8.0
E1   5,1018.0,9.1
E1   6,722.0,16.7
E1   7,453.0,18.2
E1   8,588.0,13.4
E10  5,2429.0,16.3
E10  6,2940.0,18.0
E10  7,1857.0,15.6
E11  1,1404.0,12.0
E11  2,658.0,5.8
E11  3,2813.0,17.1
E11  4,2717.0,17.9
E12  5,1433.0,8.6
E12  6,1936.0,7.5
E13  0,2084.0,10.9
E13  8,2104.0,15.3
E13  9,1885.0,13.1
E14  0,777.0,7.2
E14  2,188.0,10.7
E14  3,2214.0,13.0
E14  4,74.0,15.8
