postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
SW16 1,E14000998,69.71,0.1644845638687632,15.9,4,0.8,1.5,1.4,7.7,14.3,29.3
SW18 4,E14000998,69.71,0.1644845638687632,10.2,3.7,0.7,1.8,1.6,7,17.3,35.6
SW17 0,E14000998,69.71,0.1644845638687632,12.1,4.1,0.7,1.8,3,12.9,14.3,28.4
SW18 9,E14000998,69.71,0.1644845638687632,NA,NA,NA,NA,NA,NA,NA,NA
SW18 3,E14000998,69.71,0.1644845638687632,7.1,3.8,0.6,1.5,1.2,5.5,13.4,33.9
SW18 2,E14000998,69.71,0.1644845638687632,8.9,3.7,0.7,1.3,1.2,5.3,14.8,34
SW18 1,E14000998,69.71,0.1644845638687632,9.9,2.7,0.5,0.9,0.9,6.3,18.9,35.8
SW18 5,E14000998,69.71,0.1644845638687632,11.4,5.1,0.9,1.7,1.3,4.9,11.1,31.5
SW16 6,E14000998,69.71,0.1644845638687632,14.3,5.5,1.2,2.2,2.8,7.3,10.5,28.9
SW17 9,E14000998,69.71,0.1644845638687632,14.1,4.6,1,1.8,1.9,7.8,12.9,30.2
SW17 1,E14000998,69.71,0.1644845638687632,NA,NA,NA,NA,NA,NA,NA,NA
SW12 8,E14000998,69.71,0.1644845638687632,7.7,4.1,0.5,1.2,1.2,6.4,15.1,31
SW11 1,E14000998,69.71,0.1644845638687632,8.8,2.4,0.3,0.9,0.9,7.7,23.4,37
SW15 2,E14000887,66.97,0.16180893252184197,10.5,2.6,0.5,0.8,0.7,6,21,35.2
SW15 6,E14000887,66.97,0.16180893252184197,10.6,4.1,0.6,1.5,1.3,6.2,15.9,29.6
SW15 9,E14000887,66.97,0.16180893252184197,NA,NA,NA,NA,NA,NA,NA,NA
SW15 1,E14000887,66.97,0.16180893252184197,8.3,3.5,0.6,1.3,0.9,5.3,15,32.1
SW15 3,E14000887,66.97,0.16180893252184197,12.5,4.5,1,1.7,2.1,7.8,12.5,26
SW18 1,E14000887,66.97,0.16180893252184197,9.9,2.7,0.5,0.9,0.9,6.3,18.9,35.8
SW18 5,E14000887,66.97,0.16180893252184197,11.4,5.1,0.9,1.7,1.3,4.9,11.1,31.5
SW15 4,E14000887,66.97,0.16180893252184197,14.3,5.4,1.1,2.1,6.1,15,10.1,20.9
SW15 5,E14000887,66.97,0.16180893252184197,11.3,4.4,0.9,1.8,6.1,11,9.5,22.4
SW18 4,E14000887,66.97,0.16180893252184197,10.2,3.7,0.7,1.8,1.6,7,17.3,35.6
SW18 2,E14000887,66.97,0.16180893252184197,8.9,3.7,0.7,1.3,1.2,5.3,14.8,34
SW19 5,E14000887,66.97,0.16180893252184197,11.5,6,1,1.8,1.4,3.7,7.2,23
SW19 6,E14000887,66.97,0.16180893252184197,16.5,5.4,1,2.1,2,6.9,13.9,27.9
N1   4,E14000721,55.99000000000001,0.1616587816287476,9.2,3.7,0.8,1.4,1.6,8.9,18.8,29.9
N1   5,E14000721,55.99000000000001,0.1616587816287476,8.4,5.1,0.8,2.1,2.2,9.6,14.9,29.1
E8   4,E14000721,55.99000000000001,0.1616587816287476,9.8,5.3,1.1,2.1,2,9.5,15.2,28.6
N1   3,E14000721,55.99000000000001,0.1616587816287476,8.5,4,0.8,1.9,1.8,8.7,15.3,30.3
E8   1,E14000721,55.99000000000001,0.1616587816287476,9.3,4.4,0.7,2,1.8,8.6,16,31.3
E5   8,E14000721,55.99000000000001,0.1616587816287476,9.2,5.8,1.1,2.4,2,7.9,12.4,28.1
E8   2,E14000721,55.99000000000001,0.1616587816287476,10.1,5,0.9,2.1,1.7,9.2,16.5,30.6
E8   3,E14000721,55.99000000000001,0.1616587816287476,10,4.4,0.9,1.8,1.8,7.7,16.2,30.4
E8   9,E14000721,55.99000000000001,0.1616587816287476,NA,NA,NA,NA,NA,NA,NA,NA
E9   5,E14000721,55.99000000000001,0.1616587816287476,7.2,7,1.4,2.5,2.3,7.8,10.8,24.9
E9   7,E14000721,55.99000000000001,0.1616587816287476,7.7,5.7,1,1.9,2.7,7.9,12.6,28.5
E15  2,E14000721,55.99000000000001,0.1616587816287476,17,4.8,0.9,1.5,2,13.5,18.9,27.6
E9   6,E14000721,55.99000000000001,0.1616587816287476,8.5,6.5,1.3,2.2,2.6,8.5,11.5,26.9
E20  3,E14000721,55.99000000000001,0.1616587816287476,NA,NA,NA,NA,NA,NA,NA,NA
E2   8,E14000721,55.99000000000001,0.1616587816287476,11.1,4.7,1,2.1,1.9,10.7,18.3,28.8
E2   9,E14000721,55.99000000000001,0.1616587816287476,8.4,5.3,1.2,2.1,2,10.7,15.5,28.6
E5   0,E14000721,55.99000000000001,0.1616587816287476,10,5.7,1.2,2.2,2.2,8,12.7,27.4
EC2A 4,E14000721,55.99000000000001,0.1616587816287476,20.2,2.7,0.4,0.5,2.3,13.1,20.1,40.5
E1   6,E14000721,55.99000000000001,0.1616587816287476,16.7,2.7,0.6,1,2,14.5,23.7,32
N1   6,E14000721,55.99000000000001,0.1616587816287476,11.8,4.5,0.7,2,4.4,16,16.3,25.3
E2   7,E14000721,55.99000000000001,0.1616587816287476,10.1,4.7,1,1.7,1.8,11.2,16.4,28.7
EC2A 3,E14000721,55.99000000000001,0.1616587816287476,24.6,0,0,0,1,17.2,26.3,47.2
EC2A 2,E14000721,55.99000000000001,0.1616587816287476,NA,NA,NA,NA,NA,NA,NA,NA
EC1V 9,E14000721,55.99000000000001,0.1616587816287476,11.9,4.6,0.9,1.4,2.9,11.9,12.2,23.7
EC2M 2,E14000721,55.99000000000001,0.1616587816287476,NA,NA,NA,NA,NA,NA,NA,NA
N1   7,E14000721,55.99000000000001,0.1616587816287476,10.6,4.5,0.9,2,2.1,9.9,14.9,29.6
EC1V 1,E14000721,55.99000000000001,0.1616587816287476,9,4.5,1.3,0.9,1.8,9,21.5,26.5
E5   9,E14000721,55.99000000000001,0.1616587816287476,11.6,7.5,1.5,2.6,2.3,7.8,10.3,24.2
N4   2,E14000720,56.59,0.15812593248649195,11.6,4.4,1,2,2.1,9.5,16.7,30
N5   2,E14000720,56.59,0.15812593248649195,8.4,4,0.8,1.7,1.9,7,14.1,30.4
N16  7,E14000720,56.59,0.15812593248649195,9.4,4.1,0.7,1.7,1.8,9.1,16.4,31.2
E5   8,E14000720,56.59,0.15812593248649195,9.2,5.8,1.1,2.4,2,7.9,12.4,28.1
N16  6,E14000720,56.59,0.15812593248649195,10.7,8.7,1.7,2.8,2.5,8.2,10.2,22.4
E5   9,E14000720,56.59,0.15812593248649195,11.6,7.5,1.5,2.6,2.3,7.8,10.3,24.2
N16  0,E14000720,56.59,0.15812593248649195,7.7,5.2,1,1.8,1.8,6,11.7,31
N16  9,E14000720,56.59,0.15812593248649195,8.8,4.3,0.9,1.7,1.7,6.4,13.9,33.1
N16  8,E14000720,56.59,0.15812593248649195,8.6,5,1.2,2,2.2,7.3,13.4,29.8
N16  5,E14000720,56.59,0.15812593248649195,9.4,7.5,1.5,2.5,2.4,9,10.2,22.2
E8   4,E14000720,56.59,0.15812593248649195,9.8,5.3,1.1,2.1,2,9.5,15.2,28.6
E8   3,E14000720,56.59,0.15812593248649195,10,4.4,0.9,1.8,1.8,7.7,16.2,30.4
E8   2,E14000720,56.59,0.15812593248649195,10.1,5,0.9,2.1,1.7,9.2,16.5,30.6
E8   1,E14000720,56.59,0.15812593248649195,9.3,4.4,0.7,2,1.8,8.6,16,31.3
E8   9,E14000720,56.59,0.15812593248649195,NA,NA,NA,NA,NA,NA,NA,NA
E5   5,E14000720,56.59,0.15812593248649195,NA,NA,NA,NA,NA,NA,NA,NA
E5   0,E14000720,56.59,0.15812593248649195,10,5.7,1.2,2.2,2.2,8,12.7,27.4
N15  6,E14000720,56.59,0.15812593248649195,16.1,8.4,1.5,2.6,2.4,6.7,9.7,24.5
N16  1,E14000720,56.59,0.15812593248649195,NA,NA,NA,NA,NA,NA,NA,NA
N4   1,E14000720,56.59,0.15812593248649195,19.5,4,0.5,1.6,1.7,11,16.4,30.1
BR3  4,E14000788,66.57,0.15376586324771457,4,4.5,0.7,2,1.5,4.9,7,28.4
SE20 7,E14000788,66.57,0.15376586324771457,6.1,5.3,1.1,2.7,2.2,6.2,7.5,28.2
BR3  1,E14000788,66.57,0.15376586324771457,4.6,3.8,0.8,1.6,1.3,5.6,9.2,27.8
BR3  9,E14000788,66.57,0.15376586324771457,NA,NA,NA,NA,NA,NA,NA,NA
SE19 2,E14000788,66.57,0.15376586324771457,7.8,4.5,0.9,1.7,1.6,5.2,8.7,33.6
SE26 6,E14000788,66.57,0.15376586324771457,7.6,5.6,1.2,2,2.1,5.2,7.8,27.9
SE20 8,E14000788,66.57,0.15376586324771457,8.3,5.8,1.1,2.4,2.2,7.3,9.1,29.2
SE19 1,E14000788,66.57,0.15376586324771457,8.2,5.2,1.1,1.9,1.6,5.4,8.7,30.6
SE26 5,E14000788,66.57,0.15376586324771457,10.1,5.3,1.3,2.3,1.8,6.3,9.8,26.9
SE20 9,E14000788,66.57,0.15376586324771457,NA,NA,NA,NA,NA,NA,NA,NA
SE6  3,E14000788,66.57,0.15376586324771457,5.9,7,1.6,3.1,2.6,6.2,6.9,23.2
SE26 4,E14000788,66.57,0.15376586324771457,9.1,4.9,1,2.1,2,6.4,8.5,26.8
SE6  4,E14000788,66.57,0.15376586324771457,9.2,5.2,1.1,2.5,1.9,6.1,8.6,26.2
SE23 2,E14000788,66.57,0.15376586324771457,7.7,5.7,1.2,2.1,2.1,5.8,8.6,28.5
SE23 3,E14000788,66.57,0.15376586324771457,8.9,5.3,0.9,1.7,1.7,5.3,8.6,30.7
SE23 9,E14000788,66.57,0.15376586324771457,NA,NA,NA,NA,NA,NA,NA,NA
SE26 9,E14000788,66.57,0.15376586324771457,NA,NA,NA,NA,NA,NA,NA,NA
SE23 1,E14000788,66.57,0.15376586324771457,7.7,4.4,1,1.7,1.8,6.3,9.5,31.4
