postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%
BD14 6,E14000588,59.05,0.11081689017966459,1.2,9.3,2.3,3.6,2.5,6,5.8,19.2
BD99 2,E14000588,59.05,0.11081689017966459,NA,NA,NA,NA,NA,NA,NA,NA
BD99 9,E14000588,59.05,0.11081689017966459,NA,NA,NA,NA,NA,NA,NA,NA
BD13 1,E14000588,59.05,0.11081689017966459,0.4,5.9,1.5,2.7,2.2,6,6.3,21.7
BD13 2,E14000588,59.05,0.11081689017966459,0.6,6.3,1.4,3,2.4,5.8,5.9,20.5
BD7  1,E14000588,59.05,0.11081689017966459,12.9,3.6,1,1.7,13.6,34.1,12.3,14.5
BD13 3,E14000588,59.05,0.11081689017966459,0.9,5.6,1.3,2.6,2.2,5.9,5.8,20.6
HX3  6,E14000588,59.05,0.11081689017966459,3,5.1,1.2,2.1,2.5,6.6,8.3,21.6
BD12 0,E14000588,59.05,0.11081689017966459,0.8,6,1.2,2.3,2.2,5.7,6.2,20
BD6  2,E14000588,59.05,0.11081689017966459,1.2,7.1,1.5,2.6,2.3,7,7.3,20.7
BD6  1,E14000588,59.05,0.11081689017966459,1.1,5.6,1.2,2.5,2.2,6.6,6.6,18.8
BD4  9,E14000588,59.05,0.11081689017966459,3.4,7.3,1.7,3.3,3.1,7.8,7.8,18
BD4  0,E14000588,59.05,0.11081689017966459,4.5,7.4,1.6,2.5,2.3,5.7,8.5,20.8
BD4  6,E14000588,59.05,0.11081689017966459,3.6,7,1.3,2.5,2.2,5.9,7.4,22.7
BD4  8,E14000588,59.05,0.11081689017966459,4,7.3,1.2,2.7,2.4,7,8.4,20.4
BD5  8,E14000588,59.05,0.11081689017966459,4.6,7.8,1.5,3,2.3,6.5,8.5,22.2
BD4  7,E14000588,59.05,0.11081689017966459,6,6.9,1.7,3.2,3.2,7.8,8.3,20.7
BD12 7,E14000588,59.05,0.11081689017966459,0.7,6.3,1.2,2.3,1.8,6.9,7,21.2
BD11 2,E14000588,59.05,0.11081689017966459,0.2,6.3,1.4,2.3,2,4.4,5.6,20.7
BD3  8,E14000588,59.05,0.11081689017966459,3.1,9.2,1.8,3.5,3.2,8.1,9.1,22.9
BD12 9,E14000588,59.05,0.11081689017966459,0.9,5.5,1.3,2.1,2.2,5.6,6,19
BD12 8,E14000588,59.05,0.11081689017966459,2.2,6.6,1,3.2,2.7,7.4,7.1,20
NA,E14000563,54.49000000000001,0.11080595998824094,NA,NA,NA,NA,NA,NA,NA,NA
CF5  5,W07000079,65.59,0.11074674211248285,1.3,7.1,1.5,3,3.2,6.6,6.8,19.8
CF5  4,W07000079,65.59,0.11074674211248285,1.7,7.4,1.5,2.9,2.5,6.9,7.2,19.1
CF5  1,W07000079,65.59,0.11074674211248285,3.6,4.6,1,2,1.8,6,9.6,26
CF5  9,W07000079,65.59,0.11074674211248285,NA,NA,NA,NA,NA,NA,NA,NA
CF11 8,W07000079,65.59,0.11074674211248285,4.8,5.9,0.8,1.9,2.3,6.7,8.8,21.4
CF11 9,W07000079,65.59,0.11074674211248285,4.9,3.5,0.9,1.5,1.6,6.8,14.2,28.5
CF5  3,W07000079,65.59,0.11074674211248285,1.3,5.8,1.4,2.4,3,6.1,6.4,19.7
CF5  2,W07000079,65.59,0.11074674211248285,1.2,5.2,1.1,2.5,3.7,6.2,5.7,18.8
CF11 6,W07000079,65.59,0.11074674211248285,6.4,5.8,1,2.3,4.4,9.8,11.5,23.9
CF15 9,W07000079,65.59,0.11074674211248285,0.9,6.9,1.6,3,2,3.5,3.7,17.6
CF5  6,W07000079,65.59,0.11074674211248285,0.9,6.3,1.5,2.7,2.2,3.2,2.1,17.2
CF72 8,W07000079,65.59,0.11074674211248285,0.9,5.5,1.1,2.1,1.9,4.8,4.8,23.1
CF15 8,W07000079,65.59,0.11074674211248285,1.2,7,1.4,2.7,2.1,3.9,4.8,20.7
CF15 7,W07000079,65.59,0.11074674211248285,0.8,5.2,1.4,2.6,2.2,6,6.6,21.3
CF15 5,W07000079,65.59,0.11074674211248285,NA,NA,NA,NA,NA,NA,NA,NA
ME4  5,E14000626,64.91,0.11052636765908799,11,7.4,1.4,3.1,2.8,8.1,8.5,23.4
ME4  6,E14000626,64.91,0.11052636765908799,5.4,6.2,1.2,2.7,3,9.3,8.2,22.1
ME4  4,E14000626,64.91,0.11052636765908799,6.5,2.9,0.4,1.8,8.2,20.5,14.1,20.1
ME5  8,E14000626,64.91,0.11052636765908799,0.9,6.9,1.5,3,2.5,6.5,7.1,20.8
ME5  7,E14000626,64.91,0.11052636765908799,3.7,7,1.5,2.7,2.9,7.7,7.9,23
ME7  3,E14000626,64.91,0.11052636765908799,0.9,6.7,1.5,2.9,2.2,5.5,4.3,18
ME5  0,E14000626,64.91,0.11052636765908799,1.2,6.2,1.4,3.1,2.9,6.1,6,19.2
ME5  9,E14000626,64.91,0.11052636765908799,1.2,6.1,1.3,2.8,1.9,5.1,5,20.2
ME20 7,E14000626,64.91,0.11052636765908799,1.1,5.9,1.3,2.7,2.4,5.8,6.3,21.1
ME20 6,E14000626,64.91,0.11052636765908799,0.9,6.6,1.3,2.7,2.3,5.4,5.6,20
ME16 0,E14000626,64.91,0.11052636765908799,2.5,5.8,1.2,2.3,1.7,4.9,6.1,21.5
ME16 9,E14000626,64.91,0.11052636765908799,1.7,7.2,1.5,2.8,2.4,4.7,3.8,20
ME1  3,E14000626,64.91,0.11052636765908799,1.9,5.5,1.4,3.4,5.1,7.8,5.4,19.2
ME19 6,E14000626,64.91,0.11052636765908799,1.4,6.2,1.3,2.7,2.3,4.4,4.6,21
ME6  5,E14000626,64.91,0.11052636765908799,1.7,6.1,1.3,2.8,2.5,6.3,7,22.7
ME6  9,E14000626,64.91,0.11052636765908799,NA,NA,NA,NA,NA,NA,NA,NA
ME19 4,E14000626,64.91,0.11052636765908799,2.2,9.1,1.2,2.5,1.6,3.5,4,29
ME19 5,E14000626,64.91,0.11052636765908799,1.1,6.2,1.4,3,2.1,4.9,4,18.8
DA13 0,E14000626,64.91,0.11052636765908799,1,6.6,1.4,2.8,1.9,5,3.6,17.5
ME2  1,E14000626,64.91,0.11052636765908799,0.6,6,1.1,2.8,2,4.8,4.2,21.2
M30  0,E14001054,58.25,0.11047278937970655,4.3,5.3,1.1,1.9,2.3,6.6,8.7,21.6
M30  7,E14001054,58.25,0.11047278937970655,3.5,5.8,1.5,2.6,2.6,6.3,8.5,21.4
M30  8,E14001054,58.25,0.11047278937970655,3,5.9,1.4,3,2.6,6.9,8.1,21.7
M30  3,E14001054,58.25,0.11047278937970655,NA,NA,NA,NA,NA,NA,NA,NA
M28  1,E14001054,58.25,0.11047278937970655,0.8,5.9,1.2,2.5,2.1,4.8,5.1,20.6
M28  7,E14001054,58.25,0.11047278937970655,0.8,6.3,1.5,2.7,2.2,4.4,5,20.8
M28  2,E14001054,58.25,0.11047278937970655,1.3,4.6,1.1,2,1.4,4.1,5,20.7
M29  7,E14001054,58.25,0.11047278937970655,0.6,6.1,1.3,2.9,2.6,5.8,5.3,20.6
M44  5,E14001054,58.25,0.11047278937970655,0.9,6.7,1.3,2.8,2.7,6.5,6.7,20.3
M44  6,E14001054,58.25,0.11047278937970655,1.8,6.3,1.5,2.5,2.8,5.5,6.8,21.4
WA3  5,E14001054,58.25,0.11047278937970655,0.6,6.1,1,3.3,2.6,5.2,4.7,19
M44  0,E14001054,58.25,0.11047278937970655,NA,NA,NA,NA,NA,NA,NA,NA
M38  9,E14001054,58.25,0.11047278937970655,1.8,6.9,1.7,3,2.9,7,7.3,18.3
M28  0,E14001054,58.25,0.11047278937970655,2.5,6,1.5,2.8,2.8,6,7.1,19.2
M38  0,E14001054,58.25,0.11047278937970655,3.7,7.6,1.4,2.2,2.8,6.5,8.9,18.6
M29  8,E14001054,58.25,0.11047278937970655,0.8,6.2,1.3,2.4,2.4,6.4,6.8,21.7
M28  3,E14001054,58.25,0.11047278937970655,1.5,5.2,1.3,2.5,2.4,6.7,8,21.5
M27  0,E14001054,58.25,0.11047278937970655,1.3,5.9,1.1,2.5,2.2,4.9,5.6,22.8
NA,E14000937,70.36,0.11046106353316072,NA,NA,NA,NA,NA,NA,NA,NA
RH19 3,E14000817,70.94,0.11037101593625498,3.2,7.1,1.1,2.6,2.1,5.1,6.2,20.8
RH19 4,E14000817,70.94,0.11037101593625498,3.6,6.2,1.3,2.4,2.1,4.6,4.6,18.4
RH17 5,E14000817,70.94,0.11037101593625498,1.5,7.3,1.5,2.8,1.9,3.8,2.8,17.8
BN5  9,E14000817,70.94,0.11037101593625498,1.5,5.3,1.2,2.5,2.1,3.7,3.3,15.8
BN6  9,E14000817,70.94,0.11037101593625498,1.4,7.5,1.3,2.9,2.1,4.2,3.3,20
RH17 6,E14000817,70.94,0.11037101593625498,3.3,6.8,2.2,4.3,2.6,3.1,4.5,19.4
RH13 6,E14000817,70.94,0.11037101593625498,2.2,6,1.1,2.6,1.7,4.4,4.5,17.6
RH15 8,E14000817,70.94,0.11037101593625498,1.7,6.2,1.4,2.7,2.1,5.2,6.4,22.7
RH15 9,E14000817,70.94,0.11037101593625498,2,7.1,1.4,2.6,2,4.8,5.6,23.4
RH15 0,E14000817,70.94,0.11037101593625498,2.1,5.8,1.2,2.8,1.9,4.5,5.1,18.2
RH15 5,E14000817,70.94,0.11037101593625498,NA,NA,NA,NA,NA,NA,NA,NA
RH16 4,E14000817,70.94,0.11037101593625498,3.1,5.2,1,1.9,1.6,5.1,8.6,26.6
RH16 1,E14000817,70.94,0.11037101593625498,3,5.3,1.2,2.1,1.3,5.2,7.1,21.2
RH19 2,E14000817,70.94,0.11037101593625498,2.1,6.7,1.2,3.1,2.2,4.5,4.6,18
RH19 1,E14000817,70.94,0.11037101593625498,4.2,4.9,1,2.4,1.8,5.2,6.9,20.1
RH19 9,E14000817,70.94,0.11037101593625498,NA,NA,NA,NA,NA,NA,NA,NA
RH18 5,E14000817,70.94,0.11037101593625498,7,7.3,1.5,3.3,2.5,4,4.2,16
RH16 3,E14000817,70.94,0.11037101593625498,2.9,6,1.1,2.2,1.8,5.6,6.9,22
RH16 2,E14000817,70.94,0.11037101593625498,1.9,5.8,1,2,1.3,2.9,3.4,18.5
RH17 7,E14000817,70.94,0.11037101593625498,2.1,7.2,1.4,2.5,1.8,4.2,3.5,16.2
RH16 9,E14000817,70.94,0.11037101593625498,NA,NA,NA,NA,NA,NA,NA,NA
RH10 4,E14000817,70.94,0.11037101593625498,2.4,6.6,2.1,4,2.3,4.3,4.1,17.1
BN8  4,E14000817,70.94,0.11037101593625498,1.8,6.2,1.5,2.6,2,4.7,4.2,17.3
NA,E14000561,53.25,0.11027445051750204,NA,NA,NA,NA,NA,NA,NA,NA
NN13 5,E14000942,70.95,0.11007965977974547,0.9,6.3,1.2,2.3,1.9,4.5,4.2,19
NN13 7,E14000942,70.95,0.11007965977974547,2,4.4,0.9,2.4,2.3,4.9,6,19.4
NN12 8,E14000942,70.95,0.11007965977974547,1.2,6.1,1.1,2.2,1.6,3.8,3.4,18.1
NN12 7,E14000942,70.95,0.11007965977974547,0.8,6.1,1.1,2.4,1.9,3.3,3.9,21.6
NN7  3,E14000942,70.95,0.11007965977974547,0.7,6,1.3,2.7,2.4,4.3,3.5,16.8
NN7  2,E14000942,70.95,0.11007965977974547,0.9,6,1.2,2.8,1.9,4.1,4,18.9
NN4  0,E14000942,70.95,0.11007965977974547,3.9,6.3,1.3,2.5,2.3,5.6,6.7,24.8
NN13 6,E14000942,70.95,0.11007965977974547,1.4,8,1.6,2.7,2.3,5.1,5.1,23.1
NN13 9,E14000942,70.95,0.11007965977974547,NA,NA,NA,NA,NA,NA,NA,NA
NN7  1,E14000942,70.95,0.11007965977974547,0.6,6.6,1.4,2.3,1.8,3.4,2.9,17.1
MK19 7,E14000942,70.95,0.11007965977974547,1.6,5.5,1,1.9,1.7,3.6,4.2,20.5
NN12 6,E14000942,70.95,0.11007965977974547,1.5,5.8,1.2,2.8,2.5,5.3,5.9,20.3
OX17 2,E14000942,70.95,0.11007965977974547,0.8,6.6,1.3,2.8,2,4.2,3,18.2
OX17 1,E14000942,70.95,0.11007965977974547,0.9,5,0.8,1.8,1.1,3.3,3.2,17.8
NN11 6,E14000942,70.95,0.11007965977974547,0.9,5.9,1.5,2.5,1.3,3.5,2.5,17.1
NN11 3,E14000942,70.95,0.11007965977974547,1,6.4,1.6,2.4,2.1,3.5,3.7,20.1
MK19 6,E14000942,70.95,0.11007965977974547,1.5,6.6,1,2.7,2,4.3,4.5,23.4
NN4  5,E14000942,70.95,0.11007965977974547,2.2,7.6,1.5,2.3,1.6,3.8,6.3,34.4
NN4  6,E14000942,70.95,0.11007965977974547,2,9.3,1.7,3.1,2,4,4.6,25.8
MK16 8,E14000942,70.95,0.11007965977974547,1.8,5.5,1,2.5,2.2,5.2,5.7,20
OX17 3,E14000942,70.95,0.11007965977974547,1.1,6.2,1.3,2.2,1.6,3,3.9,19.6
OX27 7,E14000942,70.95,0.11007965977974547,1.3,6.2,1.3,1.9,1.6,3.3,5.1,21.6
NN12 9,E14000942,70.95,0.11007965977974547,NA,NA,NA,NA,NA,NA,NA,NA
NN4  8,E14000942,70.95,0.11007965977974547,8.7,5.9,1.2,2.1,2.3,7.3,10.1,24.8
NN4  9,E14000942,70.95,0.11007965977974547,3.3,6.5,1.5,2.5,1.6,5.2,6.3,21.7
NN4  7,E14000942,70.95,0.11007965977974547,0.2,5.5,0.3,1.7,1.2,3.1,3.3,17.4
NN6  9,E14000942,70.95,0.11007965977974547,1,8,1.5,3,2.5,4.1,3.2,18.7
NN3  9,E14000942,70.95,0.11007965977974547,4.3,6.6,1.3,2.5,2.4,6.1,6.6,20.3
NN2  1,E14000942,70.95,0.11007965977974547,NA,NA,NA,NA,NA,NA,NA,NA
NN6  8,E14000942,70.95,0.11007965977974547,0.8,6.5,1.3,2.7,2,3.3,3,17.4
NN3  8,E14000942,70.95,0.11007965977974547,6.8,7.5,1.4,3.1,2.7,6.8,8.1,21.9
NN7  9,E14000942,70.95,0.11007965977974547,NA,NA,NA,NA,NA,NA,NA,NA
NN3  0,E14000942,70.95,0.11007965977974547,NA,NA,NA,NA,NA,NA,NA,NA
NN3  5,E14000942,70.95,0.11007965977974547,5,6.6,1.6,2.7,2.4,6.2,7.8,21.8
NN3  2,E14000942,70.95,0.11007965977974547,5.3,7.1,1.6,3.1,2.5,4.9,6,21.1
NN3  7,E14000942,70.95,0.11007965977974547,1.5,5.6,1.5,3.8,3.1,5.5,4,16.1
NN3  3,E14000942,70.95,0.11007965977974547,2.5,6.1,1.2,2.7,1.9,4.2,3.4,16.7
NN2  6,E14000942,70.95,0.11007965977974547,9,4.4,0.8,2.7,3.7,11.8,10.3,23.2
NN2  8,E14000942,70.95,0.11007965977974547,1.6,5,0.9,2.3,2.2,6,5.3,17.1
NN2  7,E14000942,70.95,0.11007965977974547,5.8,4.9,1,2.4,7.2,11.4,7.7,20.3
NN3  6,E14000942,70.95,0.11007965977974547,2.7,4.2,0.9,2.3,1.9,4.7,4.9,16.5
NN7  4,E14000942,70.95,0.11007965977974547,1,5.5,1.2,2.4,2.1,4.1,3.8,19.6
NN6  0,E14000942,70.95,0.11007965977974547,1.2,5.6,1.3,2.5,2.2,3.9,4,18.7
NN1  5,E14000942,70.95,0.11007965977974547,9.4,3.8,1.1,2.2,2.2,8.8,11.7,25.9
NN5  4,E14000942,70.95,0.11007965977974547,3.8,6.2,0.8,1.9,1.7,5.8,10.7,28.2
NN5  6,E14000942,70.95,0.11007965977974547,2.6,5.2,1,2.2,2,5,5.9,20.2
LE4  5,E14000782,63.72,0.11005807836730504,7,5.3,1.1,3.1,3,8.5,8.8,20.4
LE4  6,E14000782,63.72,0.11005807836730504,7.7,6.4,1.3,3,3,7.8,8.4,20.1
LE1  2,E14000782,63.72,0.11005807836730504,17.6,8.7,1.4,2.4,2,5,7.7,22.6
LE4  7,E14000782,63.72,0.11005807836730504,5.1,5.8,1.4,2.6,2.5,6.9,7.9,18
LE5  6,E14000782,63.72,0.11005807836730504,2.6,6.5,1.4,2.7,2.1,5.9,6.4,16.2
LE5  4,E14000782,63.72,0.11005807836730504,5.5,7.2,1.6,2.9,2.5,7.4,8.4,21.6
LE2  2,E14000782,63.72,0.11005807836730504,3.8,4.1,0.9,2.1,19.9,10.3,6.3,14.6
LE5  2,E14000782,63.72,0.11005807836730504,2.1,6.2,1.3,2.6,2.5,6.3,6.3,17.7
LE5  1,E14000782,63.72,0.11005807836730504,3.3,7.2,1.3,2.7,2.1,6.4,9,23.6
LE7  9,E14000782,63.72,0.11005807836730504,0.7,6.6,1.5,2.6,1.9,4.3,3.8,16.3
LE5  0,E14000782,63.72,0.11005807836730504,9.4,7.2,1.5,2.9,2.5,7.5,9.2,22.4
LE5  3,E14000782,63.72,0.11005807836730504,9.3,7.8,1.4,3.4,2.9,8.5,8.8,21
LE4  9,E14000782,63.72,0.11005807836730504,6.8,7.8,1.4,2.5,2.2,6.2,7.8,23.3
DE24 8,E14000663,58.11,0.110038643492124,5.3,6.9,1.5,2.9,2.9,8.1,9,21.8
DE24 0,E14000663,58.11,0.110038643492124,1.4,5.6,1.3,2.7,2.6,6,6,18.7
DE24 1,E14000663,58.11,0.110038643492124,3.8,3,0.6,0.9,2.5,17,22.1,25.8
DE21 7,E14000663,58.11,0.110038643492124,0.8,5.5,1.2,2.2,2.2,5.5,5.1,19
DE23 8,E14000663,58.11,0.110038643492124,9.3,7.1,1.4,2.8,3.2,8.7,9.5,22.7
DE1  3,E14000663,58.11,0.110038643492124,4.7,2.8,0.5,1.2,9.3,20.5,11,20.9
DE1  2,E14000663,58.11,0.110038643492124,8.9,2.4,0.7,0.9,2.6,14.5,12.7,22.3
DE1  9,E14000663,58.11,0.110038643492124,NA,NA,NA,NA,NA,NA,NA,NA
DE1  1,E14000663,58.11,0.110038643492124,5.4,1.6,0.5,0.8,7.3,23.6,14.5,22.3
DE23 6,E14000663,58.11,0.110038643492124,5.8,7.1,1.5,2.8,2.8,6.7,7.4,21.8
DE22 3,E14000663,58.11,0.110038643492124,6.9,3.3,0.9,1.5,5.3,20.8,12.1,20.3
DE1  0,E14000663,58.11,0.110038643492124,NA,NA,NA,NA,NA,NA,NA,NA
DE72 3,E14000663,58.11,0.110038643492124,0.6,5.1,1.2,2.5,2.1,4.7,4.4,18.8
DE74 2,E14000663,58.11,0.110038643492124,1.8,5.8,1.1,2,1.8,6.5,5.1,20.7
DE99 3,E14000663,58.11,0.110038643492124,NA,NA,NA,NA,NA,NA,NA,NA
DE21 2,E14000663,58.11,0.110038643492124,1.1,6.2,1.3,2.5,2.2,6.2,7,23.6
DE21 6,E14000663,58.11,0.110038643492124,2.5,6.4,1.4,2.7,2.6,6.5,6.3,20
DE21 5,E14000663,58.11,0.110038643492124,0.7,6.3,1.4,2.8,1.5,4.1,2.8,17.9
DE22 1,E14000663,58.11,0.110038643492124,2.6,5,0.9,1.8,2,6.6,5.9,20.4
DE23 2,E14000663,58.11,0.110038643492124,1.4,6.3,1.7,3.2,2.6,5.2,5.7,18.9
DE23 1,E14000663,58.11,0.110038643492124,2.3,5.7,1.2,2.6,2.3,5.3,6,19.7
DE23 3,E14000663,58.11,0.110038643492124,1.6,9.2,1.5,3.1,2.3,4.7,5.6,24.9
DE24 9,E14000663,58.11,0.110038643492124,3,6.6,1.2,2.8,2.9,6.3,6.9,19.9
DE73 5,E14000663,58.11,0.110038643492124,1.1,7.6,1.3,2.3,2,3.7,6.5,28.5
DE73 6,E14000663,58.11,0.110038643492124,0.9,7.6,1.8,2.9,2.3,5.2,4.7,21.6
DE24 3,E14000663,58.11,0.110038643492124,1.1,6.2,1.2,2.4,2.3,6,7.9,22.6
IP4  1,E14000761,65.36,0.10993633469758982,7.2,5.2,0.7,2.4,3.3,11.3,12.3,26.7
IP1  1,E14000761,65.36,0.10993633469758982,15.1,1.6,0.2,0.5,2.7,17.3,24,25.5
IP4  2,E14000761,65.36,0.10993633469758982,6.8,5.4,1.1,2.4,2.1,8,8.8,23.6
IP1  9,E14000761,65.36,0.10993633469758982,NA,NA,NA,NA,NA,NA,NA,NA
IP5  3,E14000761,65.36,0.10993633469758982,1.2,5.6,1.3,2.5,2.1,3.8,4.7,15.6
IP9  2,E14000761,65.36,0.10993633469758982,0.8,8.5,2.2,4.9,2.6,3.3,2.9,14
IP1  3,E14000761,65.36,0.10993633469758982,8,4.9,1.1,3.2,2.4,7,9.2,20.9
IP4  5,E14000761,65.36,0.10993633469758982,2,6.7,1.6,2.5,2,5.1,5.3,21.2
IP1  2,E14000761,65.36,0.10993633469758982,18.9,3.6,0.7,2.7,4.9,11.5,13.7,23
IP3  0,E14000761,65.36,0.10993633469758982,3.7,4.7,1,2.3,4.4,8.8,9.8,21.4
IP8  3,E14000761,65.36,0.10993633469758982,0.9,5.4,1.2,2.4,1.8,4.7,6.1,23.1
IP4  4,E14000761,65.36,0.10993633469758982,2.9,7,1.3,2.6,2.3,4.7,5.4,23.4
IP2  8,E14000761,65.36,0.10993633469758982,8.4,5.1,0.8,2,2.4,8.8,10.4,23.1
IP3  8,E14000761,65.36,0.10993633469758982,3.9,5.7,1,2.4,2.1,6.2,7.6,21.8
IP8  4,E14000761,65.36,0.10993633469758982,0.7,5.3,1.3,2.1,1.9,4.2,3.3,16.7
IP2  0,E14000761,65.36,0.10993633469758982,3.4,5.9,1.3,3.1,2.6,6.6,8.5,19.4
IP6  9,E14000761,65.36,0.10993633469758982,0.7,5.6,1.4,2.4,1.7,3.6,2.9,17.9
IP1  6,E14000761,65.36,0.10993633469758982,1.5,6.4,1.5,3.3,2.7,5.5,5.1,17.8
IP2  9,E14000761,65.36,0.10993633469758982,2.8,5,1.1,2.6,2.5,7.2,6.9,18.2
IP6  0,E14000761,65.36,0.10993633469758982,0.5,6.4,1.3,2.5,1.9,4,4.9,20
IP1  4,E14000761,65.36,0.10993633469758982,6.5,5.6,1.2,2.4,2.4,7.1,7.5,22.9
IP4  3,E14000761,65.36,0.10993633469758982,1.3,7,1.6,3.5,1.9,3.8,3.1,16.8
IP3  9,E14000761,65.36,0.10993633469758982,3,6.1,1.2,3,2.5,6.7,8.3,22.1
IP10 0,E14000761,65.36,0.10993633469758982,0.9,7,0.8,2.2,1.7,3.7,3.3,13.6
IP5  2,E14000761,65.36,0.10993633469758982,1.6,8.1,1.5,2.8,2,4.3,5.4,27
NA,E14000826,63.63,0.10982171864847304,NA,NA,NA,NA,NA,NA,NA,NA
BS32 4,E14000702,68.85,0.10979881399915145,1.3,6.8,1.3,2.5,1.8,4.1,4,17.5
BS35 5,E14000702,68.85,0.10979881399915145,1.4,5.1,0.8,3.2,2.2,4.5,2.9,17.4
BS10 7,E14000702,68.85,0.10979881399915145,4.5,5.4,1.2,2.4,2.2,6.7,7.6,19.2
BS35 4,E14000702,68.85,0.10979881399915145,1.8,6.5,1.5,2.6,2.1,4.5,5.1,19.4
BS34 9,E14000702,68.85,0.10979881399915145,NA,NA,NA,NA,NA,NA,NA,NA
BS34 6,E14000702,68.85,0.10979881399915145,2.2,6,1.3,2.6,2,5.6,5.9,19.9
BS34 8,E14000702,68.85,0.10979881399915145,2.3,6.2,1.4,2.5,2.1,6,6.9,22.7
BS32 9,E14000702,68.85,0.10979881399915145,6.3,5.6,1.2,2.2,1.5,6.9,13.2,31.3
BS32 0,E14000702,68.85,0.10979881399915145,6.8,6.6,1.5,2.5,1.8,6.2,10.3,30.4
BS34 5,E14000702,68.85,0.10979881399915145,3.4,5.3,1.3,2.6,2.6,6.5,8.6,21.6
BS34 7,E14000702,68.85,0.10979881399915145,5,4.9,1.1,2.2,3,9.6,9.4,20.1
BS32 8,E14000702,68.85,0.10979881399915145,3.7,6.9,1.7,3,2.2,5.8,7.8,27.9
BS16 1,E14000702,68.85,0.10979881399915145,2.7,3.7,0.8,1.8,12.9,15.2,5.8,16.4
BS16 6,E14000702,68.85,0.10979881399915145,1,6.5,1.3,2.5,2.1,4.2,3.6,19.8
BS16 2,E14000702,68.85,0.10979881399915145,3.7,5.5,1.2,2.3,3,9,6.7,19.1
BS16 5,E14000702,68.85,0.10979881399915145,2.5,4.9,1.1,2.1,2.2,6.6,6.3,20.5
BS7  0,E14000702,68.85,0.10979881399915145,6.1,4.9,1.1,2.2,3,13.9,11,21.3
BS7  9,E14000702,68.85,0.10979881399915145,4.7,4.9,0.9,1.9,2.3,12.3,9.7,24.3
BS10 6,E14000702,68.85,0.10979881399915145,3.9,5.9,1,2.3,2.1,5.7,7.2,21
BS16 4,E14000702,68.85,0.10979881399915145,3.1,6.7,1.6,2.6,2.7,6.5,6.8,21.6
BS15 4,E14000702,68.85,0.10979881399915145,1.3,5.9,1.3,2.6,2.6,6.2,6.2,19
BS36 1,E14000702,68.85,0.10979881399915145,0.7,6.9,1.7,2.9,2.2,4.1,2.8,16
BS36 2,E14000702,68.85,0.10979881399915145,0.9,6.7,1.4,2.9,2.2,3.9,3.1,16.7
BS36 9,E14000702,68.85,0.10979881399915145,NA,NA,NA,NA,NA,NA,NA,NA
CF64 2,W07000080,61.39,0.1096286613629022,1,5.9,1.4,2.5,2,4.8,4.8,20.4
CF64 1,W07000080,61.39,0.1096286613629022,2.4,4.7,1,2.1,1.6,6.1,8.9,24.3
CF64 5,W07000080,61.39,0.1096286613629022,1,5.8,1.2,2.6,2,3.8,4,15.5
CF64 4,W07000080,61.39,0.1096286613629022,0.9,5.5,1.4,2.3,2.2,4.7,3.9,16.4
CF64 9,W07000080,61.39,0.1096286613629022,NA,NA,NA,NA,NA,NA,NA,NA
CF64 3,W07000080,61.39,0.1096286613629022,1.1,7,1.5,2.7,2.1,4.8,4.2,19.1
CF10 5,W07000080,61.39,0.1096286613629022,5.3,4.1,0.7,1.8,2,11.7,18.2,24.8
CF10 4,W07000080,61.39,0.1096286613629022,5.7,1.3,0.3,0.6,1,14.4,27.8,32.4
CF11 1,W07000080,61.39,0.1096286613629022,NA,NA,NA,NA,NA,NA,NA,NA
CF24 5,W07000080,61.39,0.1096286613629022,2.1,10.1,2.1,4.5,2.7,9.3,7.2,18.5
CF99 1,W07000080,61.39,0.1096286613629022,NA,NA,NA,NA,NA,NA,NA,NA
CF11 6,W07000080,61.39,0.1096286613629022,6.4,5.8,1,2.3,4.4,9.8,11.5,23.9
CF10 3,W07000080,61.39,0.1096286613629022,4.9,1.1,0.1,0.4,20.3,49.6,9.8,4.8
CF24 3,W07000080,61.39,0.1096286613629022,7,2.4,0.4,0.9,4.1,30.2,16.1,19.9
CF24 0,W07000080,61.39,0.1096286613629022,6.9,3.7,0.7,1.8,13.1,20.3,12.2,19.9
CF11 8,W07000080,61.39,0.1096286613629022,4.8,5.9,0.8,1.9,2.3,6.7,8.8,21.4
CF11 0,W07000080,61.39,0.1096286613629022,6.3,0.5,0.1,0.4,0.9,17.6,29.5,32.1
CF11 7,W07000080,61.39,0.1096286613629022,5.6,6.2,1.3,2.3,2.7,8.2,11.4,24.5
CF10 2,W07000080,61.39,0.1096286613629022,6,2.5,0,0.5,2.8,22.1,23.9,24.2
CF91 5,W07000080,61.39,0.1096286613629022,NA,NA,NA,NA,NA,NA,NA,NA
CF11 9,W07000080,61.39,0.1096286613629022,4.9,3.5,0.9,1.5,1.6,6.8,14.2,28.5
CF10 1,W07000080,61.39,0.1096286613629022,8.7,1,0.1,0.1,2.7,27.6,26.1,24.6
CF24 2,W07000080,61.39,0.1096286613629022,3.9,6,1.4,2.4,2.6,7,10.7,24.7
CF91 1,W07000080,61.39,0.1096286613629022,NA,NA,NA,NA,NA,NA,NA,NA
CF23 8,W07000080,61.39,0.1096286613629022,2.1,6.6,1.2,2.5,2.2,5.6,9.1,28.7
