Area code,All categories: Ethnic Group,White2,"Gypsy / Traveller / Irish Traveller3,4",Mixed / Multiple Ethnic Groups5,Asian / Asian British: Indian,Asian / Asian British: Pakistani,Asian / Asian British: Bangladeshi,Asian / Asian British: Chinese,Asian / Asian British: Other Asian,Black / African / Caribbean / Black British6,Other Ethnic Group
E10000016,"1,463,740","1,366,417","4,685","22,107","18,136","2,406","3,381","5,978","17,713","16,216","6,701"
E07000105,"117,956","109,989",531,"1,682",958,161,185,431,"2,256","1,375",388
E07000106,"151,145","140,246",374,"2,551","1,448",306,251,"1,436","1,694","1,937",902
E07000107,"97,365","84,826",244,"2,161","2,670",179,431,538,"1,981","3,578",757
E07000108,"111,674","107,732",234,"1,029",397,40,151,274,"1,169",386,262
E07000109,"101,720","83,906",320,"2,066","7,538",550,477,326,"1,713","2,885","1,939"
E07000110,"155,143","145,158",838,"2,345","1,226",340,381,461,"2,535","1,380",479
E07000111,"114,893","109,638",391,"1,675",712,106,146,500,621,853,251
E07000112,"107,969","102,051",164,"1,267",413,93,226,281,"2,686",458,330
E07000113,"135,835","130,425",730,"1,575",545,107,206,233,398,"1,395",221
E07000114,"134,186","128,007",187,"2,186",738,184,178,450,954,910,392
E07000115,"120,805","115,522",350,"1,677",755,165,236,496,779,421,404
E07000116,"115,049","108,917",322,"1,893",736,175,513,552,927,638,376
,,,,,,,,,,,
E10000025,"653,798","593,381",623,"13,233","8,140","7,846","2,491","5,618","7,562","11,424","3,480"
E07000177,"141,868","130,656",105,"2,560","1,681","2,382",184,657,"1,135","1,961",547
E07000178,"151,906","117,865",92,"6,035","4,449","4,825","1,791","3,559","4,203","7,028","2,059"
E07000179,"134,257","128,858",135,"1,801",814,194,179,443,775,768,290
E07000180,"120,988","114,715",109,"1,574",842,350,185,649,936,"1,230",398
E07000181,"104,779","101,287",182,"1,263",354,95,152,310,513,437,186
,,,,,,,,,,,
E10000030,"1,132,390","1,021,421","2,261","23,554","20,232","10,818","3,400","9,461","19,587","12,430","9,226"
E07000207,"130,875","117,970",153,"3,411","2,489",555,504,"1,143","2,384","1,010","1,256"
E07000208,"75,102","64,370",132,"1,922","1,828",667,325,922,"2,742","1,128","1,066"
E07000209,"137,183","124,216",491,"2,501","1,661",487,320,"1,884","2,264","1,656","1,703"
E07000210,"85,375","81,040",128,"1,257",707,152,206,358,754,399,374
E07000211,"137,835","124,700",179,"3,037","2,192","1,189",532,914,"2,165","2,166",761
E07000212,"80,510","71,413",220,"1,671","2,022",378,235,"1,173","1,753",862,783
E07000213,"95,598","83,263",192,"2,382","4,013",656,259,621,"1,746","1,545",921
E07000214,"86,144","77,530",162,"1,626","1,713",667,298,535,"2,176",861,576
E07000215,"82,998","77,594",286,"1,789",746,139,102,418,759,882,283
E07000216,"121,572","116,550",167,"1,623",533,246,169,623,712,538,411
E07000217,"99,198","82,775",151,"2,335","2,328","5,682",450,870,"2,132","1,383","1,092"
,,,,,,,,,,,
E10000032,"806,892","755,426","1,073","12,155","9,659","5,236","2,346","2,960","8,133","7,146","2,758"
E07000223,"61,182","58,542",121,886,234,55,269,242,258,313,262
E07000224,"149,518","144,956",162,"1,502",498,107,367,412,732,538,244
E07000225,"113,794","110,084",238,"1,092",470,36,131,339,641,518,245
E07000226,"106,597","85,103",77,"3,098","5,530","4,548",427,496,"2,824","3,469","1,025"
E07000227,"131,301","125,828",234,"1,774",734,165,209,472,"1,005",651,229
E07000228,"139,860","132,876",142,"1,967","1,410",154,399,525,"1,273",788,326
E07000229,"104,640","98,037",99,"1,836",783,171,544,474,"1,400",869,427
,,,,,,,,,,,
E12000009,"5,288,935","5,040,798","5,631","71,884","34,188","11,622","8,416","22,243","29,068","49,476","15,609"
,,,,,,,,,,,
E06000022,"176,016","166,415",58,"2,898","1,116",170,219,"1,912","1,160","1,326",742
E06000028,"183,491","168,579",218,"4,191","1,940",213,408,"1,840","2,665","1,764","1,673"
E06000023,"428,234","359,233",359,"15,438","6,547","6,863","2,104","3,886","4,255","25,734","3,815"
E06000052,"532,273","522,213",635,"4,400",837,107,280,"1,004","1,206",762,829
E06000053,"2,203","2,177",0,18,0,0,0,0,2,2,4
E06000024,"202,566","196,900",176,"2,033",817,111,299,619,590,632,389
E06000026,"256,384","246,356",153,"3,287",875,202,359,"1,251","1,219","1,678","1,004"
E06000029,"147,645","141,309",214,"1,916","1,098",96,382,698,"1,002",520,410
E06000025,"262,767","249,303",271,"3,667","2,699",698,238,"1,312","1,493","2,218",868
E06000030,"209,156","187,718",180,"4,226","6,901","1,292",936,954,"3,282","2,861",806
E06000027,"130,959","127,662",37,"1,420",403,79,99,261,511,251,236
E06000054,"470,981","454,214",757,"5,568","1,547",215,595,"1,210","2,611","3,228","1,036"
,,,,,,,,,,,
E10000008,"746,399","727,519",554,"6,520","1,873",280,570,"3,195","2,792","1,413","1,683"
E07000040,"132,457","130,257",90,904,220,6,71,210,423,146,130
E07000041,"117,773","109,497",93,"1,938",946,164,227,"1,998","1,260",667,983
E07000042,"77,750","76,608",88,484,116,7,18,167,120,94,48
E07000043,"93,667","91,697",45,785,215,67,78,152,323,158,147
E07000044,"83,140","81,739",45,653,115,12,64,102,165,121,124
E07000045,"124,220","122,045",118,925,165,17,78,347,286,117,122
E07000046,"63,839","62,967",54,429,39,3,17,126,86,51,67
E07000047,"53,553","52,709",21,402,57,4,17,93,129,59,62
,,,,,,,,,,,
E10000009,"412,905","403,762",555,"3,400",737,151,525,943,"1,477",924,431
E07000048,"47,752","46,543",48,505,97,5,44,179,170,83,78
E07000049,"87,166","85,474",171,594,157,43,198,167,172,106,84
E07000050,"68,583","66,882",95,552,111,11,76,128,470,197,61
E07000051,"44,973","44,251",89,326,33,12,27,54,105,48,28
E07000052,"99,264","97,180",104,770,242,59,87,242,304,169,107
E07000053,"65,167","63,432",48,653,97,21,93,173,256,321,73
,,,,,,,,,,,
E10000013,"596,984","568,916",731,"8,661","5,729",942,960,"1,911","2,891","5,150","1,093"
E07000078,"115,732","109,016",68,"1,878","1,584",179,315,760,837,721,374
E07000079,"82,881","80,988",87,698,218,16,38,223,299,229,85
E07000080,"81,961","80,621",78,528,159,25,1,129,159,199,62
E07000081,"121,688","108,326",136,"3,565","3,204",639,490,448,"1,058","3,486",336
E07000082,"112,779","110,369",57,"1,216",177,28,53,193,300,260,126
E07000083,"81,943","79,596",305,776,387,55,63,158,238,255,110
,,,,,,,,,,,
E10000027,"529,972","518,522",733,"4,241","1,069",203,442,"1,247","1,912","1,013",590
E07000187,"109,279","106,811",246,996,227,21,69,256,356,210,87
E07000188,"114,588","112,592",132,869,144,34,150,139,268,140,120
E07000189,"161,243","157,982",148,"1,158",342,87,90,378,512,357,189
E07000190,"110,187","106,923",193,"1,010",324,59,108,448,669,286,167
E07000191,"34,675","34,214",14,208,32,2,25,26,107,20,27
,,,,,,,,,,,
W92000004,"3,063,456","2,925,468","2,785","31,521","17,256","12,229","10,687","13,638","16,318","18,276","15,278"
,,,,,,,,,,,
W06000001,"69,751","68,455",65,480,135,33,53,153,117,81,179
W06000002,"121,874","117,420",153,964,461,220,176,905,408,289,878
W06000003,"115,228","112,484",65,894,317,101,134,376,324,199,334
W06000004,"93,734","91,220",34,751,240,157,111,346,576,161,138
W06000005,"152,506","150,066",95,851,296,87,223,323,272,142,151
W06000006,"134,844","130,543",104,"1,010",857,181,206,426,651,625,241
W06000023,"132,976","130,699",128,760,145,9,67,171,750,132,115
W06000008,"75,922","73,369",74,736,367,81,91,322,238,266,378
W06000009,"122,439","119,667",454,733,341,69,103,205,474,179,214
W06000010,"183,777","179,988",335,"1,033",563,159,117,298,700,279,305
W06000011,"239,023","224,612",85,"2,160","1,477",591,"1,944","2,052","1,739","1,983","2,380"
W06000012,"139,812","136,962",125,910,280,125,311,280,373,299,147
W06000013,"139,178","136,027",63,998,337,122,114,356,620,315,226
W06000014,"126,336","121,817",21,"1,695",566,216,121,454,610,489,347
W06000015,"346,090","292,593",521,"10,031","7,886","6,354","4,838","4,168","4,639","8,201","6,859"
W06000016,"234,410","228,188",53,"1,506",656,267,106,"1,065",936,"1,308",325
W06000024,"58,802","57,329",62,462,168,50,45,120,313,143,110
W06000018,"178,806","175,814",31,"1,174",327,123,32,495,369,242,199
W06000019,"69,814","68,678",72,394,202,39,26,122,96,95,90
W06000020,"91,075","89,076",155,603,172,64,80,208,453,169,95
W06000021,"91,323","89,520",6,624,245,54,40,193,368,144,129
W06000022,"145,736","130,941",84,"2,752","1,218","3,127","1,749",600,"1,292","2,535","1,438"
,,,,,,,,,,,
S92000003 ,"5,295,403","5,080,195","4,212","19,815","32,706","49,381","3,788","33,706","21,097","36,178","14,325"
,,,,,,,,,,,
S12000033,"222,793","204,436",279,"1,488","3,384","1,042",587,"2,187","2,319","5,630","1,441"
S12000034,"252,973","248,937",175,771,473,253,138,424,749,759,294
S12000041,"115,978","114,279",189,264,163,266,17,264,211,200,125
S12000035,"88,166","86,971",96,277,115,102,41,146,161,191,66
S12000005,"51,442","50,580",68,128,80,312,6,90,48,108,22
S12000006,"151,324","149,451",102,413,301,167,55,279,230,199,127
S12000042,"147,268","138,362",98,685,"1,417","2,047",310,"1,274",790,"1,439",846
S12000008,"122,767","121,304",60,253,189,272,10,315,123,147,94
S12000045,"105,026","100,595",27,420,"1,569",752,44,701,371,241,306
S12000010,"99,717","97,998",13,363,275,288,43,209,140,286,102
S12000011,"90,574","85,195",16,386,"1,061","2,779",14,476,241,168,238
S12000036,"476,626","436,779",388,"4,087","6,470","5,858","1,277","8,076","4,583","5,505","3,603"
S12000013,"27,684","27,429",10,67,41,26,12,12,51,18,18
S12000014,"155,990","152,892",145,334,413,"1,148",11,275,226,331,215
S12000015,"365,198","356,234",316,"1,257","1,066","1,902",118,"1,735",927,"1,126",517
S12000046 ,"593,245","524,154",407,"2,879","8,640","22,405",458,"10,689","5,566","14,246","3,801"
S12000017,"232,132","228,690",291,664,462,234,217,379,574,407,214
S12000018,"81,485","80,368",8,179,256,171,5,196,120,133,49
S12000019,"83,187","81,643",72,210,180,371,41,130,188,258,94
S12000020,"93,295","92,184",79,232,101,149,16,164,169,145,56
S12000021,"138,146","136,590",58,319,328,108,22,315,175,148,83
S12000044,"337,727","330,474",205,708,997,"3,003",42,898,445,703,252
S12000023,"21,349","21,190",3,39,18,15,7,18,31,17,11
S12000024,"146,652","143,261",415,471,585,331,73,461,402,383,270
S12000038,"174,908","170,057",70,437,"1,028",965,19,823,275,923,311
S12000026,"113,870","112,336",64,316,184,124,45,200,180,298,123
S12000027,"23,167","22,805",8,72,21,45,18,73,77,31,17
S12000028,"112,799","111,282",98,282,278,159,13,276,169,139,103
S12000029,"313,830","306,422",203,779,"1,344","2,117",93,"1,012",590,871,399
S12000030,"90,247","87,322",68,323,349,299,20,951,443,262,210
S12000039,"90,720","89,204",102,178,277,251,5,160,152,291,100
S12000040,"175,118","170,771",79,534,641,"1,420",11,498,371,575,218
,,,,,,,,,,,
N92000002 ,"1,810,863","1,778,449","1,301","6,014","6,198","1,091",540,"6,303","4,998","3,616","2,353"
,,,,,,,,,,,
95T ,"53,428","52,291",20,213,366,46,3,168,146,141,34
95X ,"78,078","77,267",11,200,61,11,134,161,128,41,64
95O ,"59,340","58,814",75,99,105,13,4,117,49,13,51
95G ,"64,044","63,350",81,99,86,52,6,128,120,47,75
95D ,"31,224","31,054",9,54,32,0,0,45,9,10,11
95Q ,"48,339","47,944",11,119,32,21,6,76,63,18,49
95Z ,"280,962","270,743",202,"1,401","2,203",222,202,"2,226","1,932","1,255",576
95V ,"39,114","38,617",4,169,77,16,5,93,61,43,29
95Y ,"67,242","65,266",10,308,317,96,38,496,463,129,119
95C ,"59,067","58,168",11,199,131,36,8,222,132,76,84
95I ,"37,013","36,697",6,61,20,15,0,89,17,98,10
95N ,"93,023","91,043",50,388,237,162,15,336,352,303,137
95A ,"107,877","106,005",74,388,608,47,12,258,189,171,125
95R ,"69,731","68,929",20,214,123,4,21,137,64,145,74
95M ,"57,852","56,405",230,244,101,7,5,94,144,370,252
95L ,"61,805","61,195",37,125,136,37,5,75,94,29,72
95F ,"32,180","31,981",7,73,30,3,1,54,12,13,6
95B ,"33,536","33,285",20,66,21,3,3,43,60,14,21
95S ,"120,165","118,097",100,447,460,53,7,348,273,239,141
95H ,"45,038","44,675",22,94,66,1,1,87,37,9,46
95E ,"17,050","16,915",0,37,41,0,0,29,12,5,11
95P ,"99,480","98,498",163,191,144,40,8,163,93,79,101
95U ,"85,139","83,344",7,307,442,111,12,503,224,114,75
95W ,"78,937","77,428",11,357,231,83,43,245,194,231,114
95K ,"51,356","50,897",78,87,66,11,1,67,97,14,38
95J ,"39,843","39,541",42,74,62,1,0,43,33,9,38
