postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
HP19 9,E14000538,69,11.8297419,4.9,7.3,1.4,2.7,2.4,6.4,8,23.3,10894,8299,76.2,519,4.8,1510,13.9,504,4.6
HP17 8,E14000538,69,11.8297419,1.7,5.4,1,2.1,1.7,3.9,3.7,19.2,7994,7703,96.4,118,1.5,122,1.5,31,0.4
HP22 7,E14000538,69,11.8297419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HP18 1,E14000538,69,11.8297419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HP19 0,E14000538,69,11.8297419,4.6,4.6,1,1.9,1.4,5,9.4,29.1,2343,2107,89.9,58,2.5,133,5.7,36,1.5
HP17 0,E14000538,69,11.8297419,0.8,6.6,1.5,2.8,1.7,2.6,2.3,17.8,1148,1098,95.6,19,1.7,18,1.6,12,1
NA,E14000539,67.12,11.3031159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IG11 7,E14000540,58.18,13.3768352,12.5,7,1.1,2.2,1.8,8,10.3,27.3,15960,6174,38.7,875,5.5,3896,24.4,4557,28.6
IG11 8,E14000540,58.18,13.3768352,11.1,5.7,1.2,2.1,2.8,9.3,13.8,27.2,8157,2332,28.6,412,5.1,3168,38.8,2026,24.8
IG11 9,E14000540,58.18,13.3768352,8,6.6,1.4,2.9,2.6,8.2,9.3,22.4,19587,8577,43.8,777,4,7462,38.1,2325,11.9
RM10 8,E14000540,58.18,13.3768352,7.8,6.5,1.4,3,2.8,6.6,7.3,23.1,14801,9863,66.6,520,3.5,1253,8.5,3010,20.3
RM9  5,E14000540,58.18,13.3768352,7.4,6.9,1.3,2.9,2.6,6.4,7.1,21.8,12027,8576,71.3,458,3.8,786,6.5,2088,17.4
RM10 7,E14000540,58.18,13.3768352,6.2,7.3,1.3,3.3,2.7,6.4,6.6,20.7,10993,7456,67.8,373,3.4,728,6.6,2371,21.6
RM8  2,E14000540,58.18,13.3768352,7.7,6.8,1.5,3,2.8,6.7,7.5,24,15833,10035,63.4,696,4.4,2111,13.3,2788,17.6
RM8  1,E14000540,58.18,13.3768352,6.4,7.2,1.5,2.8,2.6,7.1,8.3,23.8,11371,6831,60.1,499,4.4,1954,17.2,1931,17
RM8  3,E14000540,58.18,13.3768352,6.3,7,1.4,2.7,2.8,6,6.6,23.7,11869,8259,69.6,480,4,1161,9.8,1834,15.5
RM9  4,E14000540,58.18,13.3768352,9.8,8,1.5,3.1,2.6,6.4,6.9,23.3,12880,8411,65.3,553,4.3,1046,8.1,2712,21.1
IG11 0,E14000540,58.18,13.3768352,9.2,6.5,1.2,2.5,2.2,7,9,26.1,9655,4324,44.8,474,4.9,1461,15.1,3199,33.1
IG11 1,E14000540,58.18,13.3768352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
RM9  6,E14000540,58.18,13.3768352,8.5,6.6,1.5,2.9,2.4,5.9,7.1,24.3,11296,7560,66.9,449,4,844,7.5,2342,20.7
S70  4,E14000541,56.65,10.0742922,2.1,5.7,1.5,2.3,2.6,6.9,7.2,20.2,8132,7835,96.3,63,0.8,101,1.2,112,1.4
S70  2,E14000541,56.65,10.0742922,5.6,4.6,1.7,2.7,3.7,9.4,10.4,19.8,1620,1519,93.8,15,0.9,31,1.9,42,2.6
S71  1,E14000541,56.65,10.0742922,2,5.5,1.3,2.6,3,6.8,7.4,22,8048,7793,96.8,64,0.8,98,1.2,76,0.9
