postcode_sectors,code_constituency,turnout,women_age30to45,perc_eu,10to14%,15%,16to17%,18to19%,20to24%,25to29%,30to44%,All residents,WhiteTot,White%,MixedTot,Mixed%,Asian/Asian British,Asian/Asian British%,Black/African/Carribean/Black British,Black/African/Carribean/Black British%
HX3  9,E14000723,62.09,10.532351,1.3,6,1.3,2.2,2.6,6.1,6.7,20.7,7003,6805,97.2,71,1,94,1.3,19,0.3
HX3  5,E14000723,62.09,10.532351,2.6,6.9,1.5,3.1,2.5,6.9,6.8,20.2,8079,7744,95.9,150,1.9,107,1.3,69,0.9
HX2  0,E14000723,62.09,10.532351,2.6,5.7,1.4,2.4,2.3,5.4,6.5,19.9,8779,7883,89.8,151,1.7,696,7.9,42,0.5
HX1  3,E14000723,62.09,10.532351,3,7.7,1.6,3.2,3.2,8,8.9,21.7,7453,3189,42.8,121,1.6,4061,54.5,54,0.7
HX1  4,E14000723,62.09,10.532351,6.2,8.7,1.6,3.3,2.8,7.3,9.8,22.5,7457,2247,30.1,167,2.2,4874,65.4,98,1.3
HX1  2,E14000723,62.09,10.532351,3.5,5,1,2.2,2.4,6.7,10.1,22.3,4283,3295,76.9,85,2,853,19.9,25,0.6
HX1  5,E14000723,62.09,10.532351,5.7,7.7,1.8,3,2.6,8.1,8.5,22.5,4454,1214,27.3,82,1.8,3008,67.5,84,1.9
HX2  7,E14000723,62.09,10.532351,0.9,5,1.2,2.9,2.1,4.9,4.6,17.1,6087,5668,93.1,48,0.8,352,5.8,11,0.2
HX1  1,E14000723,62.09,10.532351,7.4,0.4,0,1.2,1.7,9.1,6.2,15.7,484,434,89.7,14,2.9,30,6.2,4,0.8
HX3  0,E14000723,62.09,10.532351,0.9,5.9,1.1,2.4,1.9,4.3,5,20.5,7592,6840,90.1,116,1.5,552,7.3,34,0.4
HX6  2,E14000723,62.09,10.532351,0.8,5.3,1.5,2.5,2.4,7.3,8.8,22.4,6179,5965,96.5,78,1.3,111,1.8,18,0.3
HX6  3,E14000723,62.09,10.532351,0.8,4.6,1.3,1.9,2.2,5.7,6,21.2,3073,3043,99,19,0.6,8,0.3,2,0.1
HX6  1,E14000723,62.09,10.532351,0.7,6.4,1.6,2.8,2.5,5.5,5.3,18.1,4262,4180,98.1,50,1.2,24,0.6,5,0.1
HX1  9,E14000723,62.09,10.532351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HX3  8,E14000723,62.09,10.532351,0.7,6.1,1.5,2.1,1.8,4.5,4.8,18.1,7215,7025,97.4,80,1.1,81,1.1,16,0.2
HX5  9,E14000723,62.09,10.532351,1.3,5.6,1.4,2.7,2.1,6.9,6.6,23.3,4431,4188,94.5,69,1.6,152,3.4,19,0.4
HX4  8,E14000723,62.09,10.532351,0.4,5.7,1.4,2.3,2.3,5.1,5.4,20.5,6305,6159,97.7,58,0.9,61,1,23,0.4
HU16 4,E14000724,68.48,8.8850408,1,5.1,1,2.4,1.6,5.2,4.4,16.5,6799,6595,97,57,0.8,82,1.2,19,0.3
HU16 5,E14000724,68.48,8.8850408,0.9,4.2,1,2,11.2,6.2,3.3,13.4,9667,9270,95.9,107,1.1,205,2.1,47,0.5
HU6  0,E14000724,68.48,8.8850408,0.6,5.2,1.2,2.5,2.3,4.5,2.7,17.5,485,471,97.1,7,1.4,6,1.2,1,0.2
HU16 9,E14000724,68.48,8.8850408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HU6  9,E14000724,68.48,8.8850408,2.7,6.8,1.5,3.5,3,7.7,7.3,17.8,11942,11368,95.2,200,1.7,96,0.8,224,1.9
HU20 3,E14000724,68.48,8.8850408,0.7,5.3,1.4,2.4,2.3,4.3,2.9,15.1,1015,987,97.2,7,0.7,19,1.9,2,0.2
HU5  4,E14000724,68.48,8.8850408,0.6,5.9,1.3,3.1,2.8,6,4.9,20.2,8945,8610,96.3,97,1.1,140,1.6,51,0.6
HU5  5,E14000724,68.48,8.8850408,0.8,4.9,1.2,2.3,2,6.1,7.8,20.8,17184,16882,98.2,136,0.8,90,0.5,51,0.3
HU6  8,E14000724,68.48,8.8850408,3.6,7.3,1.5,2.7,3.2,8.2,7.8,19.2,9568,8865,92.7,143,1.5,211,2.2,204,2.1
HU10 6,E14000724,68.48,8.8850408,0.6,6.2,1.3,2.4,2.3,4.6,4,18,10910,10648,97.6,93,0.9,109,1,21,0.2
HU15 1,E14000724,68.48,8.8850408,0.9,6,1.2,2.4,1.6,5.3,6.6,25.1,13163,12600,95.7,127,1,312,2.4,71,0.5
HU15 2,E14000724,68.48,8.8850408,0.6,5.9,1.3,2.5,2.1,4.2,4.3,18.1,10984,10810,98.4,69,0.6,93,0.8,11,0.1
HU17 8,E14000724,68.48,8.8850408,0.8,6.5,1.5,3.8,2.9,4.2,3,17.9,11492,11216,97.6,97,0.8,131,1.1,24,0.2
HU10 7,E14000724,68.48,8.8850408,0.8,5.3,1.1,2.4,2,4.1,2.6,15,8147,7864,96.5,81,1,160,2,21,0.3
DN14 7,E14000724,68.48,8.8850408,0.8,5.7,1.2,2.5,1.9,5,4.5,19.5,7172,7087,98.8,33,0.5,42,0.6,2,0
YO43 4,E14000724,68.48,8.8850408,0.7,5.3,1.5,2.4,2.3,4.6,4,20,4930,4884,99.1,27,0.5,9,0.2,8,0.2
YO8  6,E14000724,68.48,8.8850408,0.6,6.4,1.4,2.6,2.1,4.8,3.7,20.2,5096,5050,99.1,33,0.6,8,0.2,3,0.1
YO42 4,E14000724,68.48,8.8850408,1.4,6.2,1.2,2.4,2,3.4,3.4,17.5,4129,4091,99.1,18,0.4,9,0.2,4,0.1
YO43 3,E14000724,68.48,8.8850408,1.1,5.2,1.2,2.1,1.8,4.5,5.3,19.3,7358,7256,98.6,36,0.5,39,0.5,16,0.2
HU14 3,E14000724,68.48,8.8850408,0.8,6.7,1.4,2.7,1.6,3.1,2.5,17.6,8278,7941,95.9,78,0.9,210,2.5,26,0.3
HU4  7,E14000724,68.48,8.8850408,0.6,6,1.5,2.7,2.7,6,5.3,18.4,10621,10387,97.8,86,0.8,94,0.9,23,0.2
WA8  6,E14000725,61.82,10.4586647,0.7,4.9,1.2,2.3,2.8,7.3,8.3,19.1,7377,7197,97.6,77,1,83,1.1,7,0.1
WA8  0,E14000725,61.82,10.4586647,0.8,5.3,0.7,2.3,2.2,8,8.6,20.1,3275,3193,97.5,46,1.4,12,0.4,18,0.5
WA8  7,E14000725,61.82,10.4586647,0.9,6.3,1.2,3.1,2.4,7.1,6.9,18.5,10689,10492,98.2,103,1,55,0.5,22,0.2
WA8  9,E14000725,61.82,10.4586647,0.3,6.6,1.4,2.7,2.4,5.4,5.1,20.6,12221,11919,97.5,106,0.9,163,1.3,19,0.2
WA8  4,E14000725,61.82,10.4586647,0.3,6,1.2,2.6,2.6,6.7,5.8,19.3,6861,6698,97.6,81,1.2,51,0.7,16,0.2
WA8  5,E14000725,61.82,10.4586647,0.4,5.2,0.9,2,1.8,5.1,4.9,17.3,2003,1953,97.5,27,1.3,7,0.3,9,0.4
WA8  8,E14000725,61.82,10.4586647,0.7,5.5,1.3,2.7,2.8,6.9,7.1,18.7,12807,12619,98.5,105,0.8,55,0.4,16,0.1
WA88 1,E14000725,61.82,10.4586647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA7  2,E14000725,61.82,10.4586647,0.5,6.2,1.3,2.6,2.3,6.4,6.3,19.4,15518,15163,97.7,203,1.3,94,0.6,39,0.3
WA7  1,E14000725,61.82,10.4586647,1.3,5.9,1.2,2.3,2.6,7.9,9,25.1,6194,6002,96.9,75,1.2,88,1.4,19,0.3
WA8  3,E14000725,61.82,10.4586647,0.7,5.7,1,2.4,2.3,6,5.8,20.4,6701,6560,97.9,62,0.9,54,0.8,20,0.3
L35  6,E14000725,61.82,10.4586647,0.8,6.4,1.2,3.1,2.1,4.8,4.3,17.1,1444,1375,95.2,15,1,50,3.5,2,0.1
WA7  5,E14000725,61.82,10.4586647,0.6,6.7,1.7,3,2.9,6.6,6,19.7,13010,12779,98.2,114,0.9,85,0.7,28,0.2
L24  4,E14000725,61.82,10.4586647,0.2,5.1,1.2,2,2.3,4.8,4.3,17.4,902,884,98,13,1.4,2,0.2,3,0.3
L24  5,E14000725,61.82,10.4586647,0.1,4.4,1.2,2.4,3.3,4.3,4.3,14,939,921,98.1,10,1.1,4,0.4,4,0.4
WA7  4,E14000725,61.82,10.4586647,0.5,5.5,1.2,2.5,2.2,5.4,6.1,19.4,9182,9031,98.4,74,0.8,61,0.7,13,0.1
WA7  3,E14000725,61.82,10.4586647,0.7,4.2,1.1,2,1.8,5,6.2,21.1,3534,3460,97.9,29,0.8,32,0.9,7,0.2
WA8  2,E14000725,61.82,10.4586647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W14  0,E14000726,66.37,13.8591027,17.5,3.4,0.6,1.4,1.6,7.2,15.8,32.7,11591,8414,72.6,596,5.1,1027,8.9,846,7.3
W12  8,E14000726,66.37,13.8591027,13,3.3,0.7,1.5,1.7,9.9,16.3,30.7,9038,5400,59.7,589,6.5,936,10.4,1499,16.6
W6   7,E14000726,66.37,13.8591027,15.5,4.4,1.1,1.4,1.8,11.3,13.3,30,6062,4112,67.8,326,5.4,645,10.6,607,10
W12  9,E14000726,66.37,13.8591027,12.6,4.6,0.9,1.7,2,8.3,11.9,29.7,13884,9387,67.6,860,6.2,1188,8.6,1834,13.2
W3   7,E14000726,66.37,13.8591027,15.4,5.4,1.2,2.1,2,9.5,13.1,27.6,13762,7257,52.7,748,5.4,2130,15.5,1984,14.4
W6   8,E14000726,66.37,13.8591027,13.8,3.2,0.7,1.3,2.3,14.1,16.6,26.7,8872,5795,65.3,437,4.9,1168,13.2,1032,11.6
W14  8,E14000726,66.37,13.8591027,17.9,5.2,0.8,1.7,1.6,7.5,11.9,28.7,11738,7382,62.9,686,5.8,1503,12.8,749,6.4
W14  9,E14000726,66.37,13.8591027,16.6,3.1,0.7,1.4,1.8,11.9,17.9,31.7,14151,9249,65.4,776,5.5,1768,12.5,1406,9.9
W14  4,E14000726,66.37,13.8591027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W12  7,E14000726,66.37,13.8591027,11.9,5.9,1.2,2.2,2.4,8.8,12.7,25.7,11324,5539,48.9,705,6.2,1260,11.1,2983,26.3
W12  0,E14000726,66.37,13.8591027,11.1,5.9,1.3,2.3,2.4,8.7,11.5,26.5,14703,8209,55.8,1007,6.8,1595,10.8,2682,18.2
NW10 6,E14000726,66.37,13.8591027,17.6,5,1,1.7,1.6,7.4,11,30.8,2729,1384,50.7,198,7.3,370,13.6,586,21.5
NW10 4,E14000726,66.37,13.8591027,18,6.1,1.2,2.6,2.1,6.9,10.3,27.1,10100,3955,39.2,687,6.8,1449,14.3,3442,34.1
W10  6,E14000726,66.37,13.8591027,11.9,5.4,1,2.3,2,6.2,9,25.8,11800,7771,65.9,831,7,877,7.4,1460,12.4
NW10 5,E14000726,66.37,13.8591027,14.3,4.4,1,1.9,1.7,6.9,12.4,29.9,13687,7360,53.8,1029,7.5,1919,14,2716,19.8
W6   9,E14000726,66.37,13.8591027,12.5,3.8,1,1.6,2.1,10.4,13.5,26.2,8634,6128,71,460,5.3,728,8.4,862,10
SW6  7,E14000726,66.37,13.8591027,14.6,3.9,0.8,1.6,2,10.9,15.7,28.3,10184,7408,72.7,522,5.1,723,7.1,1017,10
SW6  6,E14000726,66.37,13.8591027,14.1,3.8,0.6,1.2,1.4,9.4,13.6,29.4,11475,9495,82.7,475,4.1,676,5.9,504,4.4
W6   0,E14000726,66.37,13.8591027,11.1,4.4,0.8,1.6,1.4,7.6,11.4,29.7,12160,8573,70.5,670,5.5,997,8.2,1249,10.3
W6   6,E14000726,66.37,13.8591027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
SW6  1,E14000726,66.37,13.8591027,15.5,3.1,0.7,1.3,2,11.4,16.1,28.7,7004,5050,72.1,331,4.7,698,10,584,8.3
W4   2,E14000726,66.37,13.8591027,10.6,4.5,0.7,1.7,1.4,5.2,9.3,28.1,9953,7903,79.4,420,4.2,760,7.6,544,5.5
W11  4,E14000726,66.37,13.8591027,11.1,5.6,1,2.2,1.9,5.7,8.3,24,9004,5743,63.8,600,6.7,582,6.5,1384,15.4
NW6  7,E14000727,67.29,14.5041705,14.4,3.7,0.6,1.4,1.4,7.5,14.4,31.4,12738,7886,61.9,848,6.7,1597,12.5,1504,11.8
NW10 3,E14000727,67.29,14.5041705,13.8,5.7,0.9,2.4,2,6.2,10.2,25.2,8483,4566,53.8,568,6.7,1421,16.8,1454,17.1
NW2  5,E14000727,67.29,14.5041705,20.8,4.1,0.8,1.7,1.9,9.8,15.7,28,10054,5345,53.2,694,6.9,1908,19,1544,15.4
NW2  4,E14000727,67.29,14.5041705,15.3,3.5,0.7,1.7,2.2,8.4,16.2,26.8,7841,4944,63.1,522,6.7,986,12.6,947,12.1
NW10 2,E14000727,67.29,14.5041705,18.3,6.4,1.1,2.5,2.3,8.3,11.8,26.5,9068,3686,40.6,589,6.5,2180,24,2006,22.1
NW6  5,E14000727,67.29,14.5041705,10.7,6.6,1.4,2.3,2.1,7.4,9.6,25.4,10843,4117,38,689,6.4,1317,12.1,3462,31.9
NW8  9,E14000727,67.29,14.5041705,14.8,3.5,0.6,1.4,1.3,6.4,12.2,30.6,6710,4045,60.3,279,4.2,1390,20.7,265,3.9
N8   1,E14000727,67.29,14.5041705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW6  1,E14000727,67.29,14.5041705,12.7,2.6,0.5,1.3,1.2,6.3,16,34.9,10868,8400,77.3,519,4.8,1118,10.3,419,3.9
NW6  9,E14000727,67.29,14.5041705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW6  6,E14000727,67.29,14.5041705,13,4.2,0.8,1.4,1.4,6,13.7,30.8,8575,5974,69.7,549,6.4,794,9.3,842,9.8
NW6  3,E14000727,67.29,14.5041705,15.2,3.2,0.7,0.9,0.9,5.8,16.6,35.3,7403,5545,74.9,327,4.4,1064,14.4,247,3.3
NW8  1,E14000727,67.29,14.5041705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW8  0,E14000727,67.29,14.5041705,11.5,6.4,1.2,2.3,1.8,5.5,9.2,25.7,7591,4557,60,347,4.6,1297,17.1,817,10.8
N8   0,E14000727,67.29,14.5041705,19.5,3.9,0.9,1.4,1.8,9.8,15,30.9,11252,7066,62.8,669,5.9,1501,13.3,1449,12.9
N8   9,E14000727,67.29,14.5041705,7.7,5,1,1.9,1.5,4.5,11.7,32.5,10308,7961,77.2,659,6.4,501,4.9,883,8.6
NW6  4,E14000727,67.29,14.5041705,11.3,4,0.8,1.5,1.2,7.5,15,30.1,7181,4582,63.8,369,5.1,965,13.4,767,10.7
N8   8,E14000727,67.29,14.5041705,8.3,4.3,1,1.5,1.6,5.5,13.4,30.4,8604,6876,79.9,484,5.6,497,5.8,517,6
W9   2,E14000727,67.29,14.5041705,15.6,3.7,0.7,1.5,1.5,5.8,14.7,34.8,11046,6740,61,633,5.7,1229,11.1,1147,10.4
N8   7,E14000727,67.29,14.5041705,8.4,5,1.1,2,1.9,5.4,10.4,30.7,9873,6971,70.6,681,6.9,649,6.6,1207,12.2
NW8  6,E14000727,67.29,14.5041705,8.9,4.4,1,1.9,1.6,5.9,7.6,23.4,4270,2609,61.1,136,3.2,963,22.6,174,4.1
NW8  8,E14000727,67.29,14.5041705,10.6,7.3,1.4,2.7,2.5,7.2,8.3,21.7,10635,4123,38.8,582,5.5,2412,22.7,1403,13.2
NW8  7,E14000727,67.29,14.5041705,13.4,4.6,0.8,1.7,1.9,5.7,9.7,27.3,5147,2891,56.2,222,4.3,1101,21.4,234,4.5
NW6  2,E14000727,67.29,14.5041705,10.3,3.3,0.7,1.6,1.8,7.5,17.6,31.5,6295,4064,64.6,384,6.1,819,13,765,12.2
NW10 5,E14000727,67.29,14.5041705,14.3,4.4,1,1.9,1.7,6.9,12.4,29.9,13687,7360,53.8,1029,7.5,1919,14,2716,19.8
W10  4,E14000727,67.29,14.5041705,9.6,6.9,1.6,2.7,2.3,7,9,26.4,10506,4929,46.9,814,7.7,1513,14.4,2047,19.5
W9   3,E14000727,67.29,14.5041705,12.7,5.2,0.9,2.1,1.9,7.3,11.4,31,13486,6520,48.3,972,7.2,1678,12.4,2540,18.8
NW3  4,E14000727,67.29,14.5041705,14.4,2.2,0.6,0.9,1,4.6,12.2,35.6,8626,6635,76.9,461,5.3,983,11.4,272,3.2
NW3  3,E14000727,67.29,14.5041705,11.1,5.2,1,1.6,1.6,4.9,10,27.8,8166,5638,69,431,5.3,1145,14,677,8.3
NW3  5,E14000727,67.29,14.5041705,16,3.8,0.5,1,1,5.8,11.2,30.6,5388,4024,74.7,288,5.3,807,15,87,1.6
NW2  3,E14000727,67.29,14.5041705,17,4.3,0.8,1.7,1.9,8.6,16.5,30.4,10316,6175,59.9,663,6.4,1574,15.3,1186,11.5
NW3  7,E14000727,67.29,14.5041705,11.9,5.1,0.9,1.7,4.7,6,6.6,22.9,5604,4200,74.9,361,6.4,693,12.4,137,2.4
NW2  2,E14000727,67.29,14.5041705,14.9,5.4,1.2,2.2,2.1,7.9,11.4,25,7460,4483,60.1,422,5.7,1121,15,767,10.3
NW3  6,E14000727,67.29,14.5041705,13.1,5.3,0.8,1.7,2.8,6.8,11.1,27.1,6067,4082,67.3,375,6.2,941,15.5,422,7
NW3  1,E14000727,67.29,14.5041705,13.5,4.3,0.7,1.3,1,3.3,7.5,29.6,5050,4247,84.1,234,4.6,346,6.9,119,2.4
NW3  9,E14000727,67.29,14.5041705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NW3  2,E14000727,67.29,14.5041705,10.9,4.6,1,1.9,1.5,5.2,10.6,29.3,12990,9500,73.1,842,6.5,1451,11.2,761,5.9
W9   1,E14000727,67.29,14.5041705,16.9,4,0.7,1.5,1.2,4.6,11,32.5,13037,8657,66.4,632,4.8,1522,11.7,551,4.2
LE17 6,E14000728,67.47,9.707329,1.1,6.2,1,1.7,1.8,4,3.7,20.3,3934,3864,98.2,18,0.5,40,1,6,0.2
NN6  6,E14000728,67.47,9.707329,0.5,7.3,1.2,3.2,2,3.5,2.7,17.7,3043,3010,98.9,26,0.9,6,0.2,0,0
LE8  8,E14000728,67.47,9.707329,0.9,7.6,2,2.8,2.5,4.5,3.8,21.7,4894,4729,96.6,69,1.4,80,1.6,11,0.2
LE2  4,E14000728,67.47,9.707329,1,8.2,2,3.4,2.5,5.5,4.8,19.4,12392,5728,46.2,309,2.5,5892,47.5,147,1.2
LE8  9,E14000728,67.47,9.707329,0.8,5.9,1.4,2.8,1.8,3.1,3.4,15.7,3673,3392,92.3,42,1.1,213,5.8,12,0.3
LE8  0,E14000728,67.47,9.707329,0.9,6.6,1.2,3,2.1,4.1,4.1,17.6,6415,6217,96.9,77,1.2,95,1.5,7,0.1
LE2  2,E14000728,67.47,9.707329,3.8,4.1,0.9,2.1,19.9,10.3,6.3,14.6,7686,4503,58.6,262,3.4,2505,32.6,207,2.7
LE16 7,E14000728,67.47,9.707329,2,6.4,1.2,3.1,1.9,4.3,4.9,23.2,11868,11310,95.3,164,1.4,259,2.2,103,0.9
LE16 9,E14000728,67.47,9.707329,1.9,5.8,1.2,2.7,1.9,4.4,5.4,19.8,12776,12372,96.8,141,1.1,188,1.5,49,0.4
LE16 0,E14000728,67.47,9.707329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LE94 0,E14000728,67.47,9.707329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LE16 8,E14000728,67.47,9.707329,1,5.8,1.1,2.3,1.7,3.5,4,17.7,10331,10115,97.9,78,0.8,100,1,33,0.3
LE2  5,E14000728,67.47,9.707329,1.7,5.9,1.2,2.9,2.4,5.5,4.7,17,8595,5407,62.9,210,2.4,2621,30.5,129,1.5
LE18 4,E14000728,67.47,9.707329,1.3,5,0.9,2.3,4.9,9.1,7.4,19.9,8177,7606,93,197,2.4,274,3.4,78,1
LE18 2,E14000728,67.47,9.707329,0.7,5.9,1.2,3,2.4,5.3,4.6,17.3,8628,7939,92,142,1.6,458,5.3,64,0.7
LE18 9,E14000728,67.47,9.707329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LE18 1,E14000728,67.47,9.707329,1.4,5.5,1.4,2.6,2.3,5.2,5.7,18.6,7885,6114,77.5,152,1.9,1406,17.8,116,1.5
LE87 2,E14000728,67.47,9.707329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LE18 3,E14000728,67.47,9.707329,0.7,5.4,1.1,2.2,2,5.8,5.7,18.4,8171,7383,90.4,117,1.4,575,7,63,0.8
LE8  5,E14000728,67.47,9.707329,0.5,6.3,1.3,2.8,2.1,4.3,3.7,18,6944,6819,98.2,48,0.7,63,0.9,7,0.1
LE8  6,E14000728,67.47,9.707329,0.8,7.4,1.3,2.9,2.3,4.8,5.5,23.2,6893,6571,95.3,85,1.2,194,2.8,30,0.4
EN10 6,E14000729,65.08,11.2845844,3.3,6.3,1.1,2.7,2.2,6.5,8,21.6,10904,9869,90.5,275,2.5,209,1.9,469,4.3
EN9  2,E14000729,65.08,11.2845844,2,5.4,1.3,2.7,2.2,5.1,3.9,16.4,4799,4598,95.8,79,1.6,68,1.4,33,0.7
EN11 0,E14000729,65.08,11.2845844,6.8,6.6,1.2,2.5,2.4,6,6,23.6,6488,6205,95.6,71,1.1,91,1.4,92,1.4
CM19 5,E14000729,65.08,11.2845844,2.8,5.4,1.1,2.5,2.2,5.6,6.6,21.5,7970,7391,92.7,153,1.9,166,2.1,217,2.7
CM21 9,E14000729,65.08,11.2845844,1.6,5.5,0.9,2.3,1.8,5.1,6.2,23.7,6530,6304,96.5,65,1,100,1.5,48,0.7
CM21 1,E14000729,65.08,11.2845844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM17 0,E14000729,65.08,11.2845844,1.5,5.5,1.2,2.5,2.2,4.9,4.7,18.3,6859,6561,95.7,83,1.2,108,1.6,78,1.1
CM22 7,E14000729,65.08,11.2845844,1.8,7,1.5,2.8,2.3,4.7,3.5,18.2,6392,6188,96.8,71,1.1,88,1.4,32,0.5
CM18 6,E14000729,65.08,11.2845844,3.2,6.1,1.3,2.6,2.3,6,6.5,19.9,12859,11712,91.1,314,2.4,358,2.8,430,3.3
CM18 7,E14000729,65.08,11.2845844,4,6.4,1.3,3.1,2.2,6,7,21.1,11566,10435,90.2,241,2.1,325,2.8,523,4.5
CM17 9,E14000729,65.08,11.2845844,2.2,6.2,1.2,2.5,1.7,4.5,6.8,26.9,14437,12959,89.8,354,2.5,622,4.3,399,2.8
CM19 4,E14000729,65.08,11.2845844,4.7,6.4,1.4,2.8,2.4,6.1,6.9,19.8,10841,9321,86,210,1.9,649,6,594,5.5
CM20 1,E14000729,65.08,11.2845844,4.5,4.8,1,2.3,2.7,8.3,11.2,22.6,6371,5135,80.6,137,2.2,753,11.8,315,4.9
CM20 2,E14000729,65.08,11.2845844,4.3,5.2,1,2.5,2.3,6.5,9.5,21.2,4013,3600,89.7,82,2,167,4.2,147,3.7
CM92 1,E14000729,65.08,11.2845844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CM20 3,E14000729,65.08,11.2845844,3.9,6.1,1.4,3,2.4,6.6,7.1,19,11016,9705,88.1,230,2.1,629,5.7,426,3.9
CM20 9,E14000729,65.08,11.2845844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,E14000730,69.85,9.9552854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA7  1,E14000731,69.03,11.1472953,11.1,6.8,1.4,3,2.3,7,8.4,23.7,8127,2373,29.2,283,3.5,4469,55,723,8.9
HA7  2,E14000731,69.03,11.1472953,7.7,6.8,1.2,3,2.6,6.4,6.7,20.6,12117,4765,39.3,341,2.8,5908,48.8,734,6.1
HA7  4,E14000731,69.03,11.1472953,5.6,5.3,1.1,2.4,1.7,5.5,7.1,21.1,8596,4607,53.6,307,3.6,2942,34.2,516,6
HA3  7,E14000731,69.03,11.1472953,9.4,6.4,1.3,2.9,2.4,7.1,8.2,23.2,11941,4703,39.4,476,4,4532,38,1725,14.4
HA3  8,E14000731,69.03,11.1472953,7.2,5.8,1.4,2.6,2.4,8,9.3,20,11810,3287,27.8,355,3,7074,59.9,845,7.2
HA8  7,E14000731,69.03,11.1472953,11.3,5.6,1.1,2.5,1.7,7.6,8.8,20.5,4646,2719,58.5,154,3.3,1231,26.5,341,7.3
HA8  6,E14000731,69.03,11.1472953,13.1,5.8,1.2,2.5,2.1,7.5,9.3,22.1,11406,4418,38.7,414,3.6,5099,44.7,1057,9.3
HA7  9,E14000731,69.03,11.1472953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA7  3,E14000731,69.03,11.1472953,4.6,5.6,1.5,2.9,2,5.9,5.6,18.3,8357,4808,57.5,285,3.4,2394,28.6,584,7
HA8  8,E14000731,69.03,11.1472953,7.5,7.1,1.4,2.8,2.2,6.9,6.9,19.4,14624,9106,62.3,559,3.8,2889,19.8,1452,9.9
HA8  5,E14000731,69.03,11.1472953,14.9,5.9,1.2,2.5,2.1,8.6,11,22.8,12361,3640,29.4,372,3,6684,54.1,1217,9.8
HA3  6,E14000731,69.03,11.1472953,5.7,6.3,1.2,3.1,2.5,6.8,6.5,18.4,8913,4691,52.6,384,4.3,2715,30.5,814,9.1
HA3  5,E14000731,69.03,11.1472953,8.5,6.6,1.4,2.9,2.6,7.4,9.2,23.2,10451,4036,38.6,562,5.4,3975,38,1440,13.8
HA5  4,E14000731,69.03,11.1472953,4.3,5.6,1.2,2.6,1.7,5,6,18.4,8766,5084,58,273,3.1,3035,34.6,245,2.8
HA3  9,E14000731,69.03,11.1472953,11.2,6.4,1.2,2.6,2.6,8.6,9.3,21.2,15353,4066,26.5,465,3,8985,58.5,1291,8.4
NW9  9,E14000731,69.03,11.1472953,12.5,5.8,1.2,2.5,2.4,7.5,9.8,22.3,9942,2848,28.6,330,3.3,5515,55.5,781,7.9
WD23 1,E14000731,69.03,11.1472953,3.6,5.5,1.2,2.4,1.5,3.7,5.2,18.4,5754,4933,85.7,129,2.2,552,9.6,67,1.2
HA1  1,E14000732,66.91,12.50608,10.7,4.1,0.6,1.6,1.7,8.8,12.7,28.8,7620,3346,43.9,377,4.9,2922,38.3,741,9.7
HA1  2,E14000732,66.91,12.50608,10.9,3.9,0.7,2,2.3,8.9,13,28.8,7338,2762,37.6,337,4.6,3326,45.3,639,8.7
HA2  2,E14000732,66.91,12.50608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
HA3  3,E14000732,66.91,12.50608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
